<X>, <Y>
2.421513670000000e-04, 1.719571638525435e+00
2.571931570000000e-04, 1.483228406565740e+00
2.722349720000000e-04, 3.528055832979438e-01
2.872767630000000e-04, -7.273729608295445e-01
3.023185530000000e-04, -3.560911100844894e+00
3.173603680000000e-04, -9.697679091428812e-01
3.324021590000000e-04, 1.535687425921552e+00
3.474439490000000e-04, 2.801243471567352e-01
3.624857640000000e-04, -9.196643267079101e-01
3.775275550000001e-04, -6.301876872113011e-01
3.925693690000000e-04, -2.658988213681479e-02
4.076111600000000e-04, -1.728323405059770e-01
4.226529510000000e-04, -1.110195026252999e-01
4.376947410000000e-04, 4.624057718413781e-02
4.527365790000000e-04, -3.003719507668605e-01
4.677783700000001e-04, -8.654830267029757e-02
4.828201610000000e-04, 2.296113944196613e-01
4.978619520000000e-04, 8.888581967483120e-01
5.129037420000001e-04, 9.895675289023479e-01
5.279455330000001e-04, 6.028928639556008e-01
5.429873710000000e-04, 1.032675898985944e-01
5.580291620000000e-04, -1.652741748933921e-01
5.730709530000001e-04, -1.126030611919637e-01
5.881127440000001e-04, -1.260835553325084e-01
6.031545340000000e-04, 1.050663186853133e-01
6.181963720000000e-04, 6.726646623298200e-01
6.332381630000001e-04, 7.519616725075106e-01
6.482799540000000e-04, 3.163964836196445e-01
6.633217450000001e-04, 1.406907762446941e-01
6.783635360000000e-04, 3.188552861108317e-01
6.934053260000000e-04, -1.007574099039282e-01
7.084471640000001e-04, -7.807489176098488e-01
7.234889550000001e-04, -7.049660041994817e-01
7.385307460000000e-04, -3.615145651700839e-01
7.535725370000001e-04, -4.589033729812612e-01
7.686143280000000e-04, -3.734366425207589e-01
7.836561650000001e-04, -4.762078445434024e-01
7.986979560000000e-04, -6.780605332683965e-01
8.137397470000000e-04, -5.972448189651367e-01
8.287815380000001e-04, -3.916780217857810e-01
8.438233290000000e-04, -2.609473419118868e-01
8.588651200000001e-04, -2.567948234459276e-01
8.739069100000001e-04, -4.143343432873040e-01
8.889487010000001e-04, -6.702574481887284e-02
9.039905850000001e-04, 1.402777886635805e-01
9.190323760000001e-04, 3.388218756668754e-01
