<X>, <Y>
2.421513670000000e-04, 1.056170204735086e+05
2.571931570000000e-04, 9.984347784763869e+04
2.722349720000000e-04, 9.415759409257796e+04
2.872767630000000e-04, 8.859320967144884e+04
3.023185530000000e-04, 8.317891892451074e+04
3.173603680000000e-04, 7.793818351266012e+04
3.324021590000000e-04, 7.288956899311136e+04
3.474439490000000e-04, 6.804700464631866e+04
3.624857640000000e-04, 6.342019668821340e+04
3.775275550000001e-04, 5.901509072275704e+04
3.925693690000000e-04, 5.483428932722398e+04
4.076111600000000e-04, 5.087758605309910e+04
4.226529510000000e-04, 4.714238968475864e+04
4.376947410000000e-04, 4.362419791082366e+04
4.527365790000000e-04, 4.031699386824449e+04
4.677783700000001e-04, 3.721366125824214e+04
4.828201610000000e-04, 3.430624905144319e+04
4.978619520000000e-04, 3.158629419577625e+04
5.129037420000001e-04, 2.904504504610112e+04
5.279455330000001e-04, 2.667365038609185e+04
5.429873710000000e-04, 2.446330283662381e+04
5.580291620000000e-04, 2.240537816520954e+04
5.730709530000001e-04, 2.049147563243266e+04
5.881127440000001e-04, 1.871350132394083e+04
6.031545340000000e-04, 1.706369481632613e+04
6.181963720000000e-04, 1.553464081607465e+04
6.332381630000001e-04, 1.411929217856860e+04
6.482799540000000e-04, 1.281093491913790e+04
6.633217450000001e-04, 1.160319529807970e+04
6.783635360000000e-04, 1.049001822524570e+04
6.934053260000000e-04, 9.465648506926253e+03
7.084471640000001e-04, 8.524608282662068e+03
7.234889550000001e-04, 7.661689930888112e+03
7.385307460000000e-04, 6.871920465627582e+03
7.535725370000001e-04, 6.150557732050714e+03
7.686143280000000e-04, 5.493073592577536e+03
7.836561650000001e-04, 4.895140679964928e+03
7.986979560000000e-04, 4.352630216762350e+03
8.137397470000000e-04, 3.861593777654918e+03
8.287815380000001e-04, 3.418265252924930e+03
8.438233290000000e-04, 3.019054862832842e+03
8.588651200000001e-04, 2.660546189838818e+03
8.739069100000001e-04, 2.339493976379834e+03
8.889487010000001e-04, 2.052822226669105e+03
9.039905850000001e-04, 1.797621136476781e+03
9.190323760000001e-04, 1.571151257137106e+03
9.340741670000000e-04, 1.370831863950226e+03
