<X>, <Y>, <dY>
2.120677610000000e-04, 1.183852340000000e+05, 2.372757720000000e+02
2.271095760000000e-04, 1.168861950000000e+05, 1.540842290000000e+02
2.421513670000000e-04, 1.122009690000000e+05, 1.260523830000000e+02
2.571931570000000e-04, 1.055493910000000e+05, 1.087096330000000e+02
2.722349720000000e-04, 9.948170310000000e+04, 9.653005980000000e+01
2.872767630000000e-04, 9.389987500000000e+04, 8.730324550000000e+01
3.023185530000000e-04, 8.826419530000001e+04, 7.978887180000000e+01
3.173603680000000e-04, 8.250785159999999e+04, 7.323664090000000e+01
3.324021590000000e-04, 7.706936719999999e+04, 6.726808930000000e+01
3.474439490000000e-04, 7.193439060000000e+04, 6.246587370000000e+01
3.624857640000000e-04, 6.675507030000001e+04, 5.795695500000000e+01
3.775275550000001e-04, 6.213956640000000e+04, 5.388006970000000e+01
3.925693690000000e-04, 5.802391410000000e+04, 5.040380480000000e+01
4.076111600000000e-04, 5.378477730000000e+04, 4.689003750000000e+01
4.226529510000000e-04, 4.969523440000000e+04, 4.384980390000000e+01
4.376947410000000e-04, 4.593771880000000e+04, 4.110191350000000e+01
4.527365790000000e-04, 4.238711330000000e+04, 3.848996350000000e+01
4.677783700000001e-04, 3.902481640000000e+04, 3.610213470000000e+01
4.828201610000000e-04, 3.588964060000000e+04, 3.377524950000000e+01
4.978619520000000e-04, 3.287257420000000e+04, 3.164026260000000e+01
5.129037420000001e-04, 3.014864650000000e+04, 2.966535760000000e+01
5.279455330000001e-04, 2.750406640000000e+04, 2.770957370000000e+01
5.429873710000000e-04, 2.518629300000000e+04, 2.604104800000000e+01
5.580291620000000e-04, 2.296232030000000e+04, 2.437784770000000e+01
5.730709530000001e-04, 2.089589260000000e+04, 2.288066100000000e+01
5.881127440000001e-04, 1.897504690000000e+04, 2.144062420000000e+01
6.031545340000000e-04, 1.715180860000000e+04, 2.003284650000000e+01
6.181963720000000e-04, 1.554150290000000e+04, 1.864314460000000e+01
6.332381630000001e-04, 1.412688960000000e+04, 1.704814530000000e+01
6.482799540000000e-04, 1.276235840000000e+04, 1.570287900000000e+01
6.633217450000001e-04, 1.154456640000000e+04, 1.466698170000000e+01
6.783635360000000e-04, 1.037530760000000e+04, 1.373453810000000e+01
6.934053260000000e-04, 9.309499019999999e+03, 1.287708760000000e+01
7.084471640000001e-04, 8.298475590000000e+03, 1.201092050000000e+01
7.234889550000001e-04, 7.382405760000000e+03, 1.119053840000000e+01
7.385307460000000e-04, 6.612224610000000e+03, 1.046957210000000e+01
7.535725370000001e-04, 5.884452150000000e+03, 9.772004129999999e+00
7.686143280000000e-04, 5.233223630000000e+03, 9.135328290000000e+00
7.836561650000001e-04, 4.626894040000000e+03, 8.504164700000000e+00
7.986979560000000e-04, 4.090937990000000e+03, 7.932998660000000e+00
8.137397470000000e-04, 3.585714360000000e+03, 7.358330250000000e+00
8.287815380000001e-04, 3.157427250000000e+03, 6.849585530000000e+00
8.438233290000000e-04, 2.775295900000000e+03, 6.379107950000000e+00
8.588651200000001e-04, 2.425190920000000e+03, 5.912852760000000e+00
8.739069100000001e-04, 2.124377690000000e+03, 5.499827860000000e+00
8.889487010000001e-04, 1.850838750000000e+03, 5.098840710000000e+00
9.039905850000001e-04, 1.605466060000000e+03, 4.723752500000000e+00
9.190323760000001e-04, 1.386959470000000e+03, 4.368471620000000e+00
9.340741670000000e-04, 1.200451660000000e+03, 4.044416430000000e+00
9.491159580000000e-04, 1.033233890000000e+03, 3.742585900000000e+00
9.641577490000001e-04, 8.913875730000000e+02, 3.460845230000000e+00
9.791995400000001e-04, 7.650612790000000e+02, 3.198238130000000e+00
