<X> <Y>
2.571931570000000e-04 -2.402349805030958e-01
2.722349720000000e-04 -3.741014074781149e-01
2.872767630000000e-04 1.757728431306704e+00
3.023185530000000e-04 -5.393503633740169e-03
3.173603680000000e-04 -2.620567817977651e-01
3.324021590000000e-04 -2.953603729742352e-01
3.474439490000000e-04 -5.494583076458053e-01
3.624857640000000e-04 -1.451227390635977e+00
3.775275550000001e-04 3.378293291104363e-01
3.925693690000000e-04 2.382721141582816e-01
4.076111600000000e-04 5.585715969261903e-02
4.226529510000000e-04 8.266197952746540e-01
4.376947410000000e-04 -3.526699411510156e-01
4.527365790000000e-04 -6.479968547004038e-01
4.677783700000001e-04 -1.437130561895860e-01
4.828201610000000e-04 1.676128289924315e-01
4.978619520000000e-04 2.873776407640477e-01
5.129037420000001e-04 3.392647820600698e-01
5.279455330000001e-04 2.945192498071517e-01
5.429873710000000e-04 -5.065839388441813e-02
5.580291620000000e-04 -1.473007765098896e-01
5.730709530000001e-04 -4.515680758646376e-01
5.881127440000001e-04 -2.125423144327274e-02
6.031545340000000e-04 -1.157560363475581e-02
6.181963720000000e-04 -4.890661616777393e-01
6.332381630000001e-04 -1.582747854816420e-01
6.482799540000000e-04 1.330486945760893e-01
6.633217450000001e-04 -1.365373303740633e-01
6.783635360000000e-04 2.826477463720606e-01
6.934053260000000e-04 3.334904953237302e-01
7.084471640000001e-04 2.785494260281973e-01
7.234889550000001e-04 3.146090104790739e-01
7.385307460000000e-04 4.449938732240589e-01
7.535725370000001e-04 -2.057342612941807e-02
7.686143280000000e-04 1.709934139937484e-01
7.836561650000001e-04 1.481111779809987e-01
7.986979560000000e-04 1.718292040935574e-01
8.137397470000000e-04 3.633854210665662e-02
8.287815380000001e-04 1.555918121846246e-01
8.438233290000000e-04 1.384326942629048e-01
8.588651200000001e-04 2.818911659663410e-01
8.739069100000001e-04 1.026798001917782e-01
8.889487010000001e-04 6.814679405859751e-02
9.039905850000001e-04 -1.020255081069490e-01
9.190323760000001e-04 8.209959119763931e-02
9.340741670000000e-04 1.116430907000947e-02
9.491159580000000e-04 1.521448238206141e-01
9.641577490000001e-04 -5.455454580353669e-02
9.791995400000001e-04 -6.000573191125105e-02
9.942413310000001e-04 -2.418258711114190e-01
1.009283120000000e-03 -3.486107131781132e-01
1.024324910000000e-03 -4.500093333515714e-01
1.039366700000000e-03 -5.428266732046670e-01
1.054408490000000e-03 -4.976906180738352e-01
1.069450380000000e-03 -7.135066842546309e-01
1.084492170000000e-03 -4.832243987549591e-01
1.099533960000000e-03 -5.051062262488966e-01
1.114575750000000e-03 -5.668626414402440e-01
1.129617540000000e-03 -5.106691879463580e-01
1.144659330000000e-03 -6.130700747639752e-01
1.159701120000000e-03 -5.105076466491028e-01
1.174742910000000e-03 -2.004290162502628e-01
1.189784710000000e-03 -7.610367452026348e-03
1.204826500000000e-03 1.888451650273125e-01
1.219868290000000e-03 3.090535173434797e-01
1.234910170000000e-03 3.333627715240184e-01
1.249951960000000e-03 5.414097995263383e-01
1.264993750000000e-03 7.457268995630754e-01
1.280035540000000e-03 7.920143540809951e-01
1.295077340000000e-03 1.126713872912742e+00
1.310119130000000e-03 1.045244605905081e+00
1.325160920000000e-03 9.923440614349720e-01
1.340202710000000e-03 1.104284779707531e+00
1.355244500000000e-03 1.073075353492677e+00
1.370286290000000e-03 9.752456046872395e-01
1.385328080000000e-03 9.990827675017631e-01
1.400369960000000e-03 1.078851331959867e+00
1.415411760000000e-03 9.662515400071564e-01
1.430453550000000e-03 9.267328373686298e-01
1.445495340000000e-03 6.545932464828478e-01
1.460537130000000e-03 5.774555552664530e-01
1.475578920000000e-03 4.487964171114617e-01
1.490620710000000e-03 4.131673654362629e-01
1.505662500000000e-03 1.200650687794138e-01
1.520704290000000e-03 -8.913680204403679e-02
1.535746080000000e-03 -2.716807379880159e-01
1.550787870000000e-03 -5.410864633697379e-01
1.565829660000000e-03 -7.410306521831692e-01
1.580871460000000e-03 -1.075684343838336e+00
1.595913250000000e-03 -1.126917381840584e+00
1.610955040000000e-03 -1.271471921977709e+00
1.625996830000000e-03 -1.244941584121028e+00
1.641038620000000e-03 -1.234871602857579e+00
1.656080600000000e-03 -1.256937517357574e+00
1.671122390000000e-03 -1.178002325422514e+00
1.686164180000000e-03 -1.034528393529241e+00
1.701205970000000e-03 -8.998947568962828e-01
1.716247760000000e-03 -7.585301009149847e-01
1.731289550000000e-03 -6.646501964133068e-01
1.746331340000000e-03 -5.095609813244094e-01
1.761373130000000e-03 -1.950752474202416e-01
1.776414920000000e-03 -2.402680952803321e-01
1.791456710000000e-03 -3.755563153814868e-02
1.806498510000000e-03 2.757427095727268e-01
1.821540300000000e-03 3.662305599048626e-01
1.836582090000000e-03 4.771450228484398e-01
1.851623880000000e-03 7.617385121135276e-01
1.866665670000000e-03 8.855964676291370e-01
1.881707460000000e-03 9.222886768256446e-01
1.896749250000000e-03 7.410049139406456e-01
1.911791040000000e-03 8.562727256716878e-01
1.926832830000000e-03 8.268147314326386e-01
1.956916410000000e-03 7.562287227520652e-01
2.002041970000000e-03 7.016605587202829e-01
2.047167350000000e-03 3.529241322589469e-01
2.092292720000000e-03 2.801686580415423e-01
2.137418090000000e-03 9.296467071592061e-03
2.182543460000000e-03 5.721391136090809e-02
2.227668840000000e-03 1.541712665982217e-01
2.272794210000000e-03 3.449002706516027e-01
2.317919770000000e-03 6.421296111865211e-01
2.363045140000000e-03 9.285540949934815e-01
2.408170510000000e-03 1.311895295038414e+00
2.453295890000000e-03 1.310377355111713e+00
2.498421260000000e-03 1.300225835013924e+00
2.543546630000000e-03 1.057766253895363e+00
2.588672000000000e-03 7.682109781075054e-01
2.648839350000000e-03 1.925113586217107e-01
2.724048310000000e-03 -4.601010962823033e-01
2.799257260000000e-03 -9.446935655961632e-01
2.874466220000000e-03 -1.212817286450706e+00
2.949675170000000e-03 -1.394502754179126e+00
3.024884310000000e-03 -1.166728706510753e+00
3.100093270000000e-03 -8.487128050943775e-01
3.175302220000000e-03 -3.199110918186330e-01
3.250511360000000e-03 1.897786017510508e-02
