<X>, <Y>
2.571931570000000e-04, -1.203079180803137e-01
2.722349720000000e-04, 7.065904061287458e-03
2.872767630000000e-04, -1.715194911649946e-01
3.023185530000000e-04, -3.149981456767302e-01
3.173603680000000e-04, 1.664751514433349e-01
3.324021590000000e-04, 9.457457614287983e-01
3.474439490000000e-04, 1.712893085193272e-01
3.624857640000000e-04, -5.227693202511186e-01
3.775275550000001e-04, -9.798071859540561e-01
3.925693690000000e-04, 3.174419382066665e-01
4.076111600000000e-04, 3.089768468326390e-01
4.226529510000000e-04, -1.742048704070799e-02
4.376947410000000e-04, -3.354190489551993e-01
4.527365790000000e-04, -3.888423924019602e-02
4.677783700000001e-04, 2.671238146706247e-01
4.828201610000000e-04, 5.129262289577078e-01
4.978619520000000e-04, -2.270190258279659e-01
5.129037420000001e-04, -2.431584535593059e-01
5.279455330000001e-04, -4.605205389647755e-02
5.429873710000000e-04, -2.608085276406084e-01
5.580291620000000e-04, -1.926778367128087e-01
5.730709530000001e-04, -6.755840899218155e-02
5.881127440000001e-04, 8.387679716724300e-02
6.031545340000000e-04, -3.394993804447831e-01
6.181963720000000e-04, -3.796170499601102e-01
6.332381630000001e-04, 1.618431624362650e-01
6.482799540000000e-04, 2.020190086073699e-01
6.633217450000001e-04, 3.585298502256528e-01
6.783635360000000e-04, 2.124156065098159e-01
6.934053260000000e-04, 6.135540552855172e-02
7.084471640000001e-04, -1.063526844633978e-01
7.234889550000001e-04, 1.823409416503895e-02
7.385307460000000e-04, 1.202929470751881e-01
7.535725370000001e-04, 2.481490855734539e-02
7.686143280000000e-04, -5.003095843772323e-02
7.836561650000001e-04, -1.777489718281056e-01
7.986979560000000e-04, -2.071086530966994e-02
8.137397470000000e-04, -1.536336613705895e-01
8.287815380000001e-04, -2.364146861880740e-01
8.438233290000000e-04, -2.052639089858747e-03
8.588651200000001e-04, -9.781549265239212e-02
8.739069100000001e-04, -7.377041965405925e-02
8.889487010000001e-04, 4.236127582956135e-02
9.039905850000001e-04, -5.550702704245976e-02
9.190323760000001e-04, -6.563501504402493e-02
9.340741670000000e-04, -5.660044846101860e-02
9.491159580000000e-04, -3.960475766555503e-02
9.641577490000001e-04, -6.288884874708152e-02
9.791995400000001e-04, -1.982635510807581e-01
9.942413310000001e-04, 4.230184193750536e-02
1.009283120000000e-03, -1.791099636102922e-01
1.024324910000000e-03, -2.832825270816545e-01
1.039366700000000e-03, -6.007223397289401e-02
1.054408490000000e-03, 1.355399372848689e-01
1.069450380000000e-03, -2.149138011639999e-02
1.084492170000000e-03, 9.652550296267094e-03
1.099533960000000e-03, -6.028876630510972e-02
1.114575750000000e-03, 6.476279664349347e-03
1.129617540000000e-03, -1.186041560525182e-01
1.144659330000000e-03, -8.156193472434732e-02
1.159701120000000e-03, -2.090239681678893e-03
1.174742910000000e-03, -1.952250267056320e-02
1.189784710000000e-03, 1.476491579563762e-01
1.204826500000000e-03, 1.577374576072575e-01
1.219868290000000e-03, 2.234500878331658e-01
1.234910170000000e-03, 8.123512614407755e-02
1.249951960000000e-03, 7.696505177620165e-02
1.264993750000000e-03, 9.997042196055594e-02
1.280035540000000e-03, 4.341546854248222e-01
1.295077340000000e-03, 2.342969133851239e-01
1.310119130000000e-03, 1.955773122311111e-01
1.325160920000000e-03, 2.927539332215409e-01
1.340202710000000e-03, 3.208445701331221e-01
1.355244500000000e-03, 2.380845028236102e-01
1.370286290000000e-03, 3.476407423533661e-01
1.385328080000000e-03, 3.763242422354405e-01
1.400369960000000e-03, 3.402292037943713e-01
1.415411760000000e-03, 3.329871750460546e-01
1.430453550000000e-03, 3.488438056418482e-01
1.445495340000000e-03, 1.914884899586625e-01
1.460537130000000e-03, 2.710342527254617e-01
1.475578920000000e-03, 1.173180139033202e-01
1.490620710000000e-03, 1.187541563286506e-01
1.505662500000000e-03, 6.547290002406674e-03
1.520704290000000e-03, -1.854833323455701e-01
1.535746080000000e-03, 1.363434056065147e-02
1.550787870000000e-03, -7.179396460745020e-02
1.565829660000000e-03, -2.762073832599127e-01
1.580871460000000e-03, -1.413700406752021e-01
1.595913250000000e-03, -1.408769247784698e-01
1.610955040000000e-03, -2.885668638397437e-01
1.625996830000000e-03, -2.619002998958179e-01
1.641038620000000e-03, -2.484150845447247e-01
1.656080600000000e-03, -6.120939703706466e-02
1.671122390000000e-03, -1.222850829693859e-01
1.686164180000000e-03, -1.593588404859488e-01
1.701205970000000e-03, -5.517620366049657e-02
1.716247760000000e-03, -1.269426510104583e-01
1.731289550000000e-03, -1.673518522926231e-01
1.746331340000000e-03, -1.091280327018760e-01
1.761373130000000e-03, -2.311387118524734e-01
1.776414920000000e-03, -7.560295445950434e-02
1.791456710000000e-03, -1.222671169069926e-02
1.806498510000000e-03, 8.321734018964434e-02
1.821540300000000e-03, 9.497641139603365e-02
1.836582090000000e-03, -1.503190473081399e-01
1.851623880000000e-03, -1.657896717860443e-01
1.866665670000000e-03, -2.305822944612216e-01
1.881707460000000e-03, -3.834797054642139e-01
1.896749250000000e-03, -2.932835284643933e-01
1.911791040000000e-03, -4.027189525856251e-01
1.926832830000000e-03, -5.180025194635707e-01
1.956916410000000e-03, -6.648275599934427e-01
2.002041970000000e-03, -7.732388029612745e-01
2.047167350000000e-03, -9.783422231175256e-01
2.092292720000000e-03, -1.028841145444366e+00
2.137418090000000e-03, -7.963131773365949e-01
2.182543460000000e-03, -5.305602596410071e-01
2.227668840000000e-03, -1.289589547088132e-01
2.272794210000000e-03, 2.249235637904652e-01
2.317919770000000e-03, 5.565670794463605e-01
2.363045140000000e-03, 7.206493765976784e-01
2.408170510000000e-03, 5.938148036859091e-01
2.453295890000000e-03, 5.805557182944693e-01
2.498421260000000e-03, 2.401633871417595e-01
2.543546630000000e-03, -1.018678490029537e-01
2.588672000000000e-03, -3.090364333149029e-01
2.648839350000000e-03, -5.530573226487995e-01
2.724048310000000e-03, -8.547169704807929e-01
2.799257260000000e-03, -7.617962568783749e-01
2.874466220000000e-03, -5.089259070426863e-01
2.949675170000000e-03, -9.067830732279414e-02
3.024884310000000e-03, 3.722631520023436e-01
3.100093270000000e-03, 7.783337498293997e-01
3.175302220000000e-03, 1.074049707999809e+00
3.250511360000000e-03, 1.269527398399552e+00
3.325720130000000e-03, 1.349071424003398e+00
3.400929270000000e-03, 1.248234291321020e+00
3.476138410000000e-03, 1.173272650847145e+00
3.551347180000000e-03, 1.035832487486427e+00
3.626556320000000e-03, 9.961645767583867e-01
3.701765090000000e-03, 6.846971171165128e-01
3.776974230000000e-03, 5.034142695170060e-01
3.852183370000000e-03, 2.568129277173900e-01
3.942434120000000e-03, -2.701886436574010e-02
4.047726470000000e-03, -2.086760241791751e-01
4.153019190000000e-03, -3.264931266621478e-01
4.258311910000000e-03, -2.367446699505393e-01
4.363604260000000e-03, -1.096508363204960e-01
4.468896990000000e-03, 1.519215466886784e-01
4.574189710000000e-03, 3.402059391799599e-01
4.679482060000000e-03, 4.817623112313104e-01
4.784774780000001e-03, 6.038583534713780e-01
4.890067500000000e-03, 5.996127174575505e-01
4.995359850000001e-03, 6.183354058886783e-01
5.100652580000000e-03, 5.592576199926581e-01
5.205945300000001e-03, 5.026666203126233e-01
5.326279630000000e-03, 3.436740101749745e-01
5.461655930000000e-03, 1.596776144984426e-01
5.597031860000001e-03, -9.055223560885376e-03
5.732408170000001e-03, -8.693457127262344e-02
5.867784470000001e-03, -1.386091292571192e-01
6.003160400000001e-03, -2.798556752380634e-03
6.138536710000000e-03, 8.495491121115956e-02
6.273912640000000e-03, 1.901799746764441e-01
6.409288940000001e-03, 3.066336189767908e-01
6.559707220000000e-03, 3.713663731536889e-01
6.725166740000001e-03, 4.159874890116033e-01
6.890627000000001e-03, 4.025006476660577e-01
7.056086510000000e-03, 3.733391962967417e-01
7.221546020000000e-03, 3.912465580679803e-01
7.387006280000000e-03, 4.080755922134547e-01
7.552465800000000e-03, 4.230514161244689e-01
7.717925310000000e-03, 4.115486473805050e-01
7.898427550000002e-03, 4.286455150324966e-01
8.093971010000001e-03, 4.027545005247627e-01
8.289513740000001e-03, 3.707352772463121e-01
8.485057200000000e-03, 2.985088058572022e-01
8.680600670000000e-03, 2.901468839092216e-01
8.876144140000000e-03, 2.642627398830476e-01
9.071687610000000e-03, 2.471921260177176e-01
9.282273050000001e-03, 2.581821440359985e-01
9.507899730000000e-03, 2.385658800725225e-01
9.733527150000001e-03, 2.131395677909872e-01
9.959153830000001e-03, 1.771508172205715e-01
1.018478050000000e-02, 1.662306883122200e-01
1.041040790000000e-02, 1.403894464596467e-01
1.065107660000000e-02, 1.203803984375037e-01
1.090678720000000e-02, 1.126850797118418e-01
1.116249780000000e-02, 9.119641600641371e-02
1.141820850000000e-02, 6.212509094579081e-02
1.167391910000000e-02, 6.648855165039756e-02
1.194467100000000e-02, 3.483502946785668e-02
1.223046560000000e-02, 4.069595685951568e-02
1.251626010000000e-02, 3.393665134284884e-02
