<X>, <Y>, <dY>
2.120677610000000e-04, 1.529468590000000e+05, 2.635792240000000e+02
2.271095760000000e-04, 1.308959060000000e+05, 1.607652890000000e+02
2.421513670000000e-04, 1.195733360000000e+05, 1.291906280000000e+02
2.571931570000000e-04, 1.108514300000000e+05, 1.107962800000000e+02
2.722349720000000e-04, 1.027986090000000e+05, 9.765490720000000e+01
2.872767630000000e-04, 9.541257030000001e+04, 8.761988830000000e+01
3.023185530000000e-04, 8.859225000000000e+04, 7.953376770000000e+01
3.173603680000000e-04, 8.259424219999999e+04, 7.293013759999999e+01
3.324021590000000e-04, 7.644061719999999e+04, 6.669139860000000e+01
3.474439490000000e-04, 7.004097659999999e+04, 6.133706670000000e+01
3.624857640000000e-04, 6.450683200000000e+04, 5.675862120000000e+01
3.775275550000001e-04, 5.940973830000000e+04, 5.248064420000000e+01
3.925693690000000e-04, 5.449788670000000e+04, 4.863396840000000e+01
4.076111600000000e-04, 4.991994140000000e+04, 4.499750520000000e+01
4.226529510000000e-04, 4.549468750000000e+04, 4.177186580000000e+01
4.376947410000000e-04, 4.157636330000000e+04, 3.896065140000000e+01
4.527365790000000e-04, 3.784492970000000e+04, 3.624489590000000e+01
4.677783700000001e-04, 3.432717190000000e+04, 3.373347090000000e+01
4.828201610000000e-04, 3.121280660000000e+04, 3.139468380000000e+01
4.978619520000000e-04, 2.815628520000000e+04, 2.919044690000000e+01
5.129037420000001e-04, 2.534762300000000e+04, 2.710201260000000e+01
5.279455330000001e-04, 2.291208790000000e+04, 2.522697260000000e+01
5.429873710000000e-04, 2.052888670000000e+04, 2.343810270000000e+01
5.580291620000000e-04, 1.843171680000000e+04, 2.178077130000000e+01
5.730709530000001e-04, 1.651399410000000e+04, 2.029379270000000e+01
5.881127440000001e-04, 1.470205760000000e+04, 1.882588200000000e+01
6.031545340000000e-04, 1.303707230000000e+04, 1.742611310000000e+01
6.181963720000000e-04, 1.156767770000000e+04, 1.606018830000000e+01
6.332381630000001e-04, 1.035635160000000e+04, 1.458139130000000e+01
6.482799540000000e-04, 9.167753909999999e+03, 1.330609990000000e+01
6.633217450000001e-04, 8.095001460000000e+03, 1.227939800000000e+01
6.783635360000000e-04, 7.124691410000000e+03, 1.138315490000000e+01
6.934053260000000e-04, 6.262990720000000e+03, 1.056772610000000e+01
7.084471640000001e-04, 5.487530270000000e+03, 9.777263639999999e+00
7.234889550000001e-04, 4.794175780000000e+03, 9.044924740000001e+00
7.385307460000000e-04, 4.198961430000000e+03, 8.372711180000000e+00
7.535725370000001e-04, 3.656259520000000e+03, 7.738114360000000e+00
7.686143280000000e-04, 3.199304200000000e+03, 7.176729200000000e+00
7.836561650000001e-04, 2.809573240000000e+03, 6.668475150000000e+00
7.986979560000000e-04, 2.442435060000000e+03, 6.173493860000000e+00
8.137397470000000e-04, 2.144247310000000e+03, 5.742757320000000e+00
8.287815380000001e-04, 1.886676270000000e+03, 5.341780660000000e+00
