<X>, <Y>, <dY>
2.120677610000000e-04, 1.396293280000000e+05, 2.532378850000000e+02
2.271095760000000e-04, 1.285587190000000e+05, 1.598923650000000e+02
2.421513670000000e-04, 1.185610620000000e+05, 1.286770320000000e+02
2.571931570000000e-04, 1.096796640000000e+05, 1.102168120000000e+02
2.722349720000000e-04, 1.025739300000000e+05, 9.758721160000000e+01
2.872767630000000e-04, 9.564925780000001e+04, 8.777757260000000e+01
3.023185530000000e-04, 8.876152340000001e+04, 7.962049100000000e+01
3.173603680000000e-04, 8.286086719999999e+04, 7.300371550000000e+01
3.324021590000000e-04, 7.708740620000000e+04, 6.694695280000001e+01
3.474439490000000e-04, 7.119143750000000e+04, 6.182935710000000e+01
3.624857640000000e-04, 6.559901560000000e+04, 5.723003390000000e+01
3.775275550000001e-04, 5.999188280000000e+04, 5.272289280000000e+01
3.925693690000000e-04, 5.500219920000000e+04, 4.888079830000000e+01
4.076111600000000e-04, 5.044735940000000e+04, 4.521909330000000e+01
4.226529510000000e-04, 4.628089450000000e+04, 4.214168930000000e+01
4.376947410000000e-04, 4.218481640000000e+04, 3.923690410000000e+01
4.527365790000000e-04, 3.849212110000000e+04, 3.655353930000000e+01
4.677783700000001e-04, 3.482424610000000e+04, 3.398060230000000e+01
4.828201610000000e-04, 3.153311910000000e+04, 3.155055430000000e+01
4.978619520000000e-04, 2.849538480000000e+04, 2.936989400000000e+01
5.129037420000001e-04, 2.565612700000000e+04, 2.727601050000000e+01
5.279455330000001e-04, 2.317709380000000e+04, 2.538137820000000e+01
5.429873710000000e-04, 2.069106640000000e+04, 2.352217480000000e+01
5.580291620000000e-04, 1.852248630000000e+04, 2.183431430000000e+01
5.730709530000001e-04, 1.657061330000000e+04, 2.032689090000000e+01
5.881127440000001e-04, 1.477230080000000e+04, 1.887373160000000e+01
6.031545340000000e-04, 1.311066890000000e+04, 1.747538380000000e+01
6.181963720000000e-04, 1.161660250000000e+04, 1.609008410000000e+01
6.332381630000001e-04, 1.037092480000000e+04, 1.459103680000000e+01
6.482799540000000e-04, 9.219151370000000e+03, 1.334719090000000e+01
6.633217450000001e-04, 8.119675290000000e+03, 1.229919620000000e+01
6.783635360000000e-04, 7.114795900000000e+03, 1.138091950000000e+01
6.934053260000000e-04, 6.242431150000000e+03, 1.055142690000000e+01
7.084471640000001e-04, 5.459742680000000e+03, 9.756071090000001e+00
7.234889550000001e-04, 4.785758790000000e+03, 9.040156359999999e+00
7.385307460000000e-04, 4.192903320000000e+03, 8.366914749999999e+00
7.535725370000001e-04, 3.647635740000000e+03, 7.727322100000000e+00
7.686143280000000e-04, 3.193105220000000e+03, 7.172854900000000e+00
7.836561650000001e-04, 2.782459470000000e+03, 6.636123660000000e+00
7.986979560000000e-04, 2.444417240000000e+03, 6.179492950000000e+00
8.137397470000000e-04, 2.134208740000000e+03, 5.722688670000000e+00
8.287815380000001e-04, 1.892898440000000e+03, 5.353884220000000e+00
8.438233290000000e-04, 1.670372680000000e+03, 4.999049660000000e+00
8.588651200000001e-04, 1.485636840000000e+03, 4.682384010000000e+00
8.739069100000001e-04, 1.336817500000000e+03, 4.411325450000000e+00
8.889487010000001e-04, 1.229869260000000e+03, 4.200484280000000e+00
9.039905850000001e-04, 1.125651120000000e+03, 3.989131690000000e+00
9.190323760000001e-04, 1.044180300000000e+03, 3.819034810000000e+00
9.340741670000000e-04, 9.925525510000000e+02, 3.690393920000000e+00
9.491159580000000e-04, 9.547540890000000e+02, 3.590732340000000e+00
9.641577490000001e-04, 9.162328490000000e+02, 3.484976770000000e+00
9.791995400000001e-04, 8.907094730000000e+02, 3.407485490000000e+00
9.942413310000001e-04, 8.794850460000000e+02, 3.357084750000000e+00
1.009283120000000e-03, 8.677413330000001e+02, 3.299790140000000e+00
1.024324910000000e-03, 8.716185910000000e+02, 3.280898810000000e+00
1.039366700000000e-03, 8.722823490000000e+02, 3.249228480000000e+00
1.054408490000000e-03, 8.688579710000000e+02, 3.214874030000000e+00
1.069450380000000e-03, 8.726900020000000e+02, 3.191776280000000e+00
1.084492170000000e-03, 8.852167360000000e+02, 3.186336520000000e+00
1.099533960000000e-03, 8.871647950000000e+02, 3.163570640000000e+00
1.114575750000000e-03, 8.820972900000000e+02, 3.123639580000000e+00
1.129617540000000e-03, 8.788109130000000e+02, 3.093410020000000e+00
1.144659330000000e-03, 8.739295040000000e+02, 3.062229630000000e+00
1.159701120000000e-03, 8.617424930000000e+02, 3.016297340000000e+00
1.174742910000000e-03, 8.526969600000000e+02, 2.982125280000000e+00
1.189784710000000e-03, 8.396749880000000e+02, 2.935553310000000e+00
1.204826500000000e-03, 8.271166380000000e+02, 2.895685200000000e+00
1.219868290000000e-03, 8.043103030000000e+02, 2.836204770000000e+00
1.234910170000000e-03, 7.793661499999999e+02, 2.775095460000000e+00
1.249951960000000e-03, 7.536953119999999e+02, 2.712759260000000e+00
1.264993750000000e-03, 7.234552610000000e+02, 2.640324830000000e+00
1.280035540000000e-03, 6.913221440000000e+02, 2.564582110000000e+00
1.295077340000000e-03, 6.567100830000001e+02, 2.485240460000000e+00
1.310119130000000e-03, 6.231865840000000e+02, 2.408501860000000e+00
1.325160920000000e-03, 5.908525390000000e+02, 2.336198570000000e+00
1.340202710000000e-03, 5.580830079999999e+02, 2.258372310000000e+00
1.355244500000000e-03, 5.157859500000000e+02, 2.159605980000000e+00
1.370286290000000e-03, 4.789010310000000e+02, 2.073788640000000e+00
1.385328080000000e-03, 4.443723450000000e+02, 1.990209100000000e+00
1.400369960000000e-03, 4.084414980000000e+02, 1.904263140000000e+00
1.415411760000000e-03, 3.724985960000000e+02, 1.811976080000000e+00
1.430453550000000e-03, 3.422152710000000e+02, 1.732689740000000e+00
1.445495340000000e-03, 3.096122740000000e+02, 1.645620230000000e+00
1.460537130000000e-03, 2.788204650000000e+02, 1.560212970000000e+00
1.475578920000000e-03, 2.517410890000000e+02, 1.481566910000000e+00
1.490620710000000e-03, 2.259561920000000e+02, 1.404279230000000e+00
1.505662500000000e-03, 2.009406590000000e+02, 1.325828310000000e+00
1.520704290000000e-03, 1.827949070000000e+02, 1.267118220000000e+00
1.535746080000000e-03, 1.599856110000000e+02, 1.185842630000000e+00
1.550787870000000e-03, 1.431556700000000e+02, 1.127157690000000e+00
1.565829660000000e-03, 1.266056590000000e+02, 1.064669730000000e+00
1.580871460000000e-03, 1.156566850000000e+02, 1.021594640000000e+00
1.595913250000000e-03, 1.056846920000000e+02, 9.769793750000000e-01
1.610955040000000e-03, 9.555359650000000e+01, 9.321714639999999e-01
1.625996830000000e-03, 8.725973510000000e+01, 8.943468330000000e-01
1.641038620000000e-03, 7.897355650000000e+01, 8.528333310000000e-01
1.656080600000000e-03, 7.540266420000000e+01, 8.363489510000000e-01
1.671122390000000e-03, 7.193483730000000e+01, 8.124418260000000e-01
1.686164180000000e-03, 6.877341460000000e+01, 7.940933110000000e-01
1.701205970000000e-03, 6.683097840000001e+01, 7.820831539999999e-01
1.716247760000000e-03, 6.656472780000000e+01, 7.759901880000000e-01
1.731289550000000e-03, 6.547705080000000e+01, 7.635276910000000e-01
1.746331340000000e-03, 6.395063020000000e+01, 7.520031330000000e-01
1.761373130000000e-03, 6.354764560000000e+01, 7.445435520000000e-01
1.776414920000000e-03, 6.564626310000000e+01, 7.522077560000000e-01
1.791456710000000e-03, 6.588710020000001e+01, 7.461453680000000e-01
1.806498510000000e-03, 6.685261540000000e+01, 7.449917200000000e-01
1.821540300000000e-03, 6.651675419999999e+01, 7.371542450000000e-01
1.836582090000000e-03, 6.756568150000000e+01, 7.394838330000000e-01
1.851623880000000e-03, 6.658106990000000e+01, 7.317211630000000e-01
1.866665670000000e-03, 6.652787780000000e+01, 7.286486030000000e-01
1.881707460000000e-03, 6.542491149999999e+01, 7.230346200000000e-01
1.896749250000000e-03, 6.483721920000001e+01, 7.295542360000000e-01
1.911791040000000e-03, 6.343673320000000e+01, 7.263776660000000e-01
1.926832830000000e-03, 6.318585210000000e+01, 7.235286830000000e-01
1.956916410000000e-03, 6.018964260000000e+01, 4.100635000000000e-01
2.002041970000000e-03, 5.348076500000000e+01, 3.899353250000000e-01
2.047167350000000e-03, 4.689781570000000e+01, 3.676132770000000e-01
