<X>, <Y>
2.571931570000000e-04, -6.456570522851055e-01
2.722349720000000e-04, -3.606791683992498e-01
2.872767630000000e-04, -3.106336199160977e-01
3.023185530000000e-04, -1.054756395681826e+00
3.173603680000000e-04, 5.932878885034391e-01
3.324021590000000e-04, 1.772461345440545e+00
3.474439490000000e-04, 1.486270174074472e+00
3.624857640000000e-04, 1.203233207362028e+00
3.775275550000001e-04, -3.709729380884174e-01
3.925693690000000e-04, -7.114766213473831e-01
4.076111600000000e-04, -4.406521537221436e-01
4.226529510000000e-04, 3.316308093488415e-01
4.376947410000000e-04, 1.581789072547085e-01
4.527365790000000e-04, 6.383785554267752e-01
4.677783700000001e-04, -1.076344039656164e-01
4.828201610000000e-04, -2.348032969749241e-01
4.978619520000000e-04, -3.099783877327195e-01
5.129037420000001e-04, -5.985382663288522e-01
5.279455330000001e-04, 5.093532253536726e-03
5.429873710000000e-04, -8.209176333208158e-01
5.580291620000000e-04, -8.572250028084766e-01
5.730709530000001e-04, -6.554572900237209e-01
5.881127440000001e-04, -6.033261950011274e-01
6.031545340000000e-04, -7.817411135852937e-01
6.181963720000000e-04, -8.496287732941843e-01
6.332381630000001e-04, 1.135575937737089e-01
6.482799540000000e-04, 7.845847295220937e-01
6.633217450000001e-04, 7.506567546250216e-01
6.783635360000000e-04, 4.738367586224942e-01
6.934053260000000e-04, 4.939418068081577e-01
7.084471640000001e-04, 4.113942885992820e-01
7.234889550000001e-04, 5.941037604101471e-01
7.385307460000000e-04, 7.900031775142772e-01
7.535725370000001e-04, 5.662165017969413e-01
7.686143280000000e-04, 7.109113335836890e-01
7.836561650000001e-04, 5.423770674628198e-01
7.986979560000000e-04, 6.925418291612939e-01
8.137397470000000e-04, 3.879826615867761e-01
8.287815380000001e-04, 5.972537172832760e-01
8.438233290000000e-04, 3.235221186480758e-01
8.588651200000001e-04, 8.310314231186781e-02
8.739069100000001e-04, -4.708211214954964e-02
8.889487010000001e-04, 2.368204568458424e-01
9.039905850000001e-04, -6.767761227078621e-02
9.190323760000001e-04, -3.139721850173741e-01
9.340741670000000e-04, -1.656861684893817e-01
9.491159580000000e-04, -2.499750400012480e-02
9.641577490000001e-04, -2.932453550317722e-01
9.791995400000001e-04, -4.547212409583350e-01
9.942413310000001e-04, -3.891449860520987e-01
1.009283120000000e-03, -5.364451908478379e-01
1.024324910000000e-03, -2.918703718305487e-01
1.039366700000000e-03, -2.509216580924139e-01
1.054408490000000e-03, -4.014049094338807e-01
1.069450380000000e-03, -3.209656398923925e-01
1.084492170000000e-03, 6.628148743177519e-02
1.099533960000000e-03, 1.341796300563525e-01
1.114575750000000e-03, 2.534489671599895e-02
1.129617540000000e-03, 5.070418723936632e-02
1.144659330000000e-03, 1.088884791926543e-01
1.159701120000000e-03, 1.444404847499605e-02
1.174742910000000e-03, 1.266457939098280e-01
1.189784710000000e-03, 2.060571279467209e-01
1.204826500000000e-03, 4.049593800970928e-01
1.219868290000000e-03, 3.493421529778870e-01
1.234910170000000e-03, 3.116283138616682e-01
1.249951960000000e-03, 3.358393730825415e-01
1.264993750000000e-03, 2.739500736911098e-01
1.280035540000000e-03, 2.105066115931666e-01
1.295077340000000e-03, 1.101718597185966e-01
1.310119130000000e-03, 9.908670494215890e-02
1.325160920000000e-03, 1.750267516832892e-01
1.340202710000000e-03, 2.627889731321482e-01
1.355244500000000e-03, -4.784251331499813e-02
1.370286290000000e-03, -1.373833241656973e-01
1.385328080000000e-03, -1.380882205095418e-01
1.400369960000000e-03, -2.395040954696177e-01
1.415411760000000e-03, -3.972109585971488e-01
1.430453550000000e-03, -3.217738743842824e-01
1.445495340000000e-03, -4.482349984624249e-01
1.460537130000000e-03, -5.700791331292273e-01
1.475578920000000e-03, -5.733969482768393e-01
1.490620710000000e-03, -6.094485619017738e-01
1.505662500000000e-03, -7.282862093831397e-01
1.520704290000000e-03, -4.840599006614291e-01
1.535746080000000e-03, -7.422694386332109e-01
1.550787870000000e-03, -6.866932771966845e-01
1.565829660000000e-03, -7.736616798084561e-01
1.580871460000000e-03, -5.104249211628726e-01
1.595913250000000e-03, -3.041945345929490e-01
1.610955040000000e-03, -2.731975404222728e-01
1.625996830000000e-03, -2.166121689071428e-01
1.641038620000000e-03, -3.266178889301489e-01
1.656080600000000e-03, -5.500633013626751e-02
1.671122390000000e-03, 9.068171482951561e-02
1.686164180000000e-03, 1.418650498058930e-01
1.701205970000000e-03, 2.194628039159927e-01
1.716247760000000e-03, 3.942705602343403e-01
1.731289550000000e-03, 3.808427719653263e-01
1.746331340000000e-03, 2.378952349349243e-01
1.761373130000000e-03, 1.713376557803160e-01
1.776414920000000e-03, 3.662453692048466e-01
1.791456710000000e-03, 3.026088847910826e-01
1.806498510000000e-03, 3.074975452687469e-01
1.821540300000000e-03, 1.476060108581882e-01
1.836582090000000e-03, 1.568651830348394e-01
1.851623880000000e-03, -7.109416954632790e-02
1.866665670000000e-03, -1.696162599613684e-01
1.881707460000000e-03, -3.779238008714469e-01
1.896749250000000e-03, -4.967992576158608e-01
1.911791040000000e-03, -6.927232650008011e-01
1.926832830000000e-03, -7.083323828701719e-01
1.956916410000000e-03, -9.760863077512743e-01
2.002041970000000e-03, -1.488466967916699e+00
2.047167350000000e-03, -1.810241551340799e+00
2.092292720000000e-03, -2.132013937088962e+00
2.137418090000000e-03, -2.148343167784299e+00
2.182543460000000e-03, -1.962758095125881e+00
2.227668840000000e-03, -1.747853446476697e+00
2.272794210000000e-03, -1.394998376059476e+00
2.317919770000000e-03, -8.906103362707912e-01
2.363045140000000e-03, -7.226353069862955e-01
2.408170510000000e-03, -2.511900492395450e-01
2.453295890000000e-03, -2.461637260647695e-01
2.498421260000000e-03, 3.496359465421751e-03
2.543546630000000e-03, 4.105008711473655e-02
2.588672000000000e-03, 1.072631281128053e-02
2.648839350000000e-03, 8.955837526917640e-02
2.724048310000000e-03, 2.264192332629098e-02
2.799257260000000e-03, 4.572904921761783e-02
2.874466220000000e-03, 2.317335138425238e-01
2.949675170000000e-03, 4.000982732185551e-01
3.024884310000000e-03, 6.135477553444946e-01
3.100093270000000e-03, 8.325694006466924e-01
3.175302220000000e-03, 9.984293201474200e-01
3.250511360000000e-03, 9.725150061579907e-01
3.325720130000000e-03, 7.808043018001979e-01
3.400929270000000e-03, 4.898761646915895e-01
3.476138410000000e-03, 1.996098192929281e-01
3.551347180000000e-03, -2.890546560543371e-01
3.626556320000000e-03, -4.725045286407291e-01
3.701765090000000e-03, -5.609959250135945e-01
3.776974230000000e-03, -5.808457548651565e-01
3.852183370000000e-03, -4.952181369527773e-01
3.942434120000000e-03, -3.591118920813520e-01
4.047726470000000e-03, -1.519303396388998e-01
4.153019190000000e-03, 2.568107817630330e-02
4.258311910000000e-03, 2.953870491211673e-01
4.363604260000000e-03, 5.259500177328756e-01
4.468896990000000e-03, 7.209590349661968e-01
4.574189710000000e-03, 8.207364574555379e-01
4.679482060000000e-03, 6.803872663918351e-01
4.784774780000001e-03, 5.735412634880516e-01
4.890067500000000e-03, 2.680672456445587e-01
4.995359850000001e-03, 6.106302394501468e-02
5.100652580000000e-03, -9.377247859540469e-02
5.205945300000001e-03, -2.278691024462963e-01
5.326279630000000e-03, -2.388691916802413e-01
5.461655930000000e-03, -2.123260892161025e-01
5.597031860000001e-03, -9.275682332775172e-02
5.732408170000001e-03, 7.507803371804303e-02
5.867784470000001e-03, 2.561604274708899e-01
6.003160400000001e-03, 3.279966428111110e-01
6.138536710000000e-03, 2.538514390880480e-01
6.273912640000000e-03, 2.086216826110739e-01
6.409288940000001e-03, 1.674025911272490e-01
6.559707220000000e-03, 1.844302958282229e-01
6.725166740000001e-03, 1.796780012414158e-01
6.890627000000001e-03, 2.728822671949038e-01
7.056086510000000e-03, 3.859590373982210e-01
7.221546020000000e-03, 4.084622374462727e-01
7.387006280000000e-03, 4.551314229294620e-01
7.552465800000000e-03, 4.359319487627517e-01
7.717925310000000e-03, 4.013506509934798e-01
7.898427550000002e-03, 3.476422940134947e-01
8.093971010000001e-03, 3.279222314996891e-01
8.289513740000001e-03, 3.060597977251123e-01
