<X>, <Y>
2.271095760000000e-04, 1.278419921875000e+05
2.421513670000000e-04, 1.196149218750000e+05
2.571931570000000e-04, 1.117107890625000e+05
2.722349720000000e-04, 1.041405468750000e+05
2.872767630000000e-04, 9.690813281250000e+04
3.023185530000000e-04, 9.001307812500000e+04
3.173603680000000e-04, 8.345235937500000e+04
3.324021590000000e-04, 7.722193750000000e+04
3.474439490000000e-04, 7.131752343750000e+04
3.624857640000000e-04, 6.573425000000000e+04
3.775275550000001e-04, 6.046707421875000e+04
3.925693690000000e-04, 5.551024609375000e+04
4.076111600000000e-04, 5.085683203125000e+04
4.226529510000000e-04, 4.649897656250000e+04
4.376947410000000e-04, 4.242750390625000e+04
4.527365790000000e-04, 3.863222656250000e+04
4.677783700000001e-04, 3.510200781250000e+04
4.828201610000000e-04, 3.182538867187500e+04
4.978619520000000e-04, 2.879029882812500e+04
5.129037420000001e-04, 2.598476953125000e+04
5.279455330000001e-04, 2.339703320312500e+04
5.429873710000000e-04, 2.101560351562500e+04
5.580291620000000e-04, 1.882919140625000e+04
5.730709530000001e-04, 1.682702539062500e+04
5.881127440000001e-04, 1.499847460937500e+04
6.031545340000000e-04, 1.333332324218750e+04
6.181963720000000e-04, 1.182154492187500e+04
6.332381630000001e-04, 1.045341015625000e+04
6.482799540000000e-04, 9.219349609375000e+03
6.633217450000001e-04, 8.110182128906250e+03
6.783635360000000e-04, 7.116949218750000e+03
6.934053260000000e-04, 6.231040039062500e+03
7.084471640000001e-04, 5.444169921875000e+03
7.234889550000001e-04, 4.748431640625000e+03
7.385307460000000e-04, 4.136255859375000e+03
7.535725370000001e-04, 3.600441162109375e+03
7.686143280000000e-04, 3.134130126953125e+03
7.836561650000001e-04, 2.730829345703125e+03
7.986979560000000e-04, 2.384388427734375e+03
8.137397470000000e-04, 2.089011230468750e+03
8.287815380000001e-04, 1.839252685546875e+03
8.438233290000000e-04, 1.630023071289062e+03
8.588651200000001e-04, 1.456589721679688e+03
8.739069100000001e-04, 1.314569702148438e+03
8.889487010000001e-04, 1.199922241210938e+03
9.039905850000001e-04, 1.108932861328125e+03
9.190323760000001e-04, 1.038203735351562e+03
9.340741670000000e-04, 9.846271362304688e+02
9.491159580000000e-04, 9.453734130859375e+02
9.641577490000001e-04, 9.178731079101562e+02
9.791995400000001e-04, 8.998025512695312e+02
9.942413310000001e-04, 8.890717773437500e+02
1.009283120000000e-03, 8.838173217773438e+02
1.024324910000000e-03, 8.823892822265625e+02
1.039366700000000e-03, 8.833471679687500e+02
1.054408490000000e-03, 8.854489135742188e+02
1.069450380000000e-03, 8.876376342773438e+02
1.084492170000000e-03, 8.890355834960938e+02
1.099533960000000e-03, 8.889281005859375e+02
1.114575750000000e-03, 8.867501220703125e+02
1.129617540000000e-03, 8.820748901367188e+02
1.144659330000000e-03, 8.746019287109375e+02
1.159701120000000e-03, 8.641411132812500e+02
1.174742910000000e-03, 8.506060791015625e+02
1.189784710000000e-03, 8.339975585937500e+02
1.204826500000000e-03, 8.143981323242188e+02
1.219868290000000e-03, 7.919563598632812e+02
1.234910170000000e-03, 7.668757324218750e+02
1.249951960000000e-03, 7.394113769531250e+02
1.264993750000000e-03, 7.098468017578125e+02
1.280035540000000e-03, 6.784957275390625e+02
1.295077340000000e-03, 6.456873168945312e+02
1.310119130000000e-03, 6.117583007812500e+02
1.325160920000000e-03, 5.770469360351562e+02
1.340202710000000e-03, 5.418889770507812e+02
1.355244500000000e-03, 5.066080322265625e+02
1.370286290000000e-03, 4.715173339843750e+02
1.385328080000000e-03, 4.369116516113281e+02
1.400369960000000e-03, 4.030647277832031e+02
1.415411760000000e-03, 3.702275085449219e+02
1.430453550000000e-03, 3.386253356933594e+02
1.445495340000000e-03, 3.084539794921875e+02
1.460537130000000e-03, 2.798792724609375e+02
1.475578920000000e-03, 2.530367736816406e+02
1.490620710000000e-03, 2.280303039550781e+02
1.505662500000000e-03, 2.049326171875000e+02
1.520704290000000e-03, 1.837868804931641e+02
1.535746080000000e-03, 1.646082305908203e+02
1.550787870000000e-03, 1.473854217529297e+02
1.565829660000000e-03, 1.320831298828125e+02
1.580871460000000e-03, 1.186444931030273e+02
1.595913250000000e-03, 1.069938430786133e+02
1.610955040000000e-03, 9.703841400146484e+01
1.625996830000000e-03, 8.867182159423828e+01
1.641038620000000e-03, 8.177623748779297e+01
1.656080600000000e-03, 7.622529602050781e+01
1.671122390000000e-03, 7.188687133789062e+01
1.686164180000000e-03, 6.862567138671875e+01
1.701205970000000e-03, 6.630555725097656e+01
1.716247760000000e-03, 6.479204559326172e+01
1.731289550000000e-03, 6.395416641235352e+01
1.746331340000000e-03, 6.366627120971680e+01
1.761373130000000e-03, 6.380939865112305e+01
1.776414920000000e-03, 6.427229309082031e+01
1.791456710000000e-03, 6.495227050781250e+01
1.806498510000000e-03, 6.575645446777344e+01
1.821540300000000e-03, 6.660138702392578e+01
1.836582090000000e-03, 6.741422271728516e+01
1.851623880000000e-03, 6.813260650634766e+01
1.866665670000000e-03, 6.870484924316406e+01
1.881707460000000e-03, 6.909017181396484e+01
1.896749250000000e-03, 6.925802612304688e+01
1.911791040000000e-03, 6.918787384033203e+01
1.926832830000000e-03, 6.886817169189453e+01
1.956916410000000e-03, 6.747691345214844e+01
2.002041970000000e-03, 6.367569351196289e+01
2.047167350000000e-03, 5.834321594238281e+01
2.092292720000000e-03, 5.226289749145508e+01
2.137418090000000e-03, 4.623870468139648e+01
2.182543460000000e-03, 4.093535232543945e+01
2.227668840000000e-03, 3.678519058227539e+01
2.272794210000000e-03, 3.396329879760742e+01
2.317919770000000e-03, 3.240704727172852e+01
2.363045140000000e-03, 3.186424827575684e+01
2.408170510000000e-03, 3.196530914306641e+01
2.453295890000000e-03, 3.230620956420898e+01
2.498421260000000e-03, 3.252090454101562e+01
2.543546630000000e-03, 3.233065414428711e+01
2.588672000000000e-03, 3.157154083251953e+01
2.648839350000000e-03, 2.961178398132324e+01
2.724048310000000e-03, 2.591032028198242e+01
2.799257260000000e-03, 2.151012420654297e+01
2.874466220000000e-03, 1.723543930053711e+01
2.949675170000000e-03, 1.368949794769287e+01
3.024884310000000e-03, 1.111829566955566e+01
3.100093270000000e-03, 9.450478553771973e+00
3.175302220000000e-03, 8.438392639160156e+00
3.250511360000000e-03, 7.803259372711182e+00
3.325720130000000e-03, 7.336265087127686e+00
3.400929270000000e-03, 6.937242984771729e+00
3.476138410000000e-03, 6.589550018310547e+00
3.551347180000000e-03, 6.310253620147705e+00
3.626556320000000e-03, 6.108380317687988e+00
3.701765090000000e-03, 5.966737747192383e+00
3.776974230000000e-03, 5.841871261596680e+00
3.852183370000000e-03, 5.681679248809814e+00
3.942434120000000e-03, 5.387915134429932e+00
4.047726470000000e-03, 4.882987022399902e+00
4.153019190000000e-03, 4.254404544830322e+00
4.258311910000000e-03, 3.604220390319824e+00
4.363604260000000e-03, 3.027176141738892e+00
4.468896990000000e-03, 2.576510906219482e+00
4.574189710000000e-03, 2.262077093124390e+00
4.679482060000000e-03, 2.064546108245850e+00
4.784774780000001e-03, 1.952569007873535e+00
4.890067500000000e-03, 1.892612457275391e+00
4.995359850000001e-03, 1.853406906127930e+00
5.100652580000000e-03, 1.809933781623840e+00
5.205945300000001e-03, 1.745512247085571e+00
5.326279630000000e-03, 1.637367367744446e+00
5.461655930000000e-03, 1.477423429489136e+00
5.597031860000001e-03, 1.299625277519226e+00
5.732408170000001e-03, 1.133450388908386e+00
5.867784470000001e-03, 1.000983834266663e+00
6.003160400000001e-03, 9.096450805664062e-01
6.138536710000000e-03, 8.543363809585571e-01
6.273912640000000e-03, 8.218693733215332e-01
6.409288940000001e-03, 7.970013618469238e-01
6.559707220000000e-03, 7.640266418457031e-01
6.725166740000001e-03, 7.139251232147217e-01
6.890627000000001e-03, 6.527693271636963e-01
7.056086510000000e-03, 5.910437107086182e-01
7.221546020000000e-03, 5.389931797981262e-01
7.387006280000000e-03, 5.012755990028381e-01
7.552465800000000e-03, 4.761548936367035e-01
7.717925310000000e-03, 4.579450488090515e-01
7.898427550000002e-03, 4.391426146030426e-01
8.093971010000001e-03, 4.156747758388519e-01
8.289513740000001e-03, 3.894027769565582e-01
8.485057200000000e-03, 3.643230199813843e-01
8.680600670000000e-03, 3.437021970748901e-01
8.876144140000000e-03, 3.282048106193542e-01
9.071687610000000e-03, 3.162312209606171e-01
9.282273050000001e-03, 3.045585751533508e-01
9.507899730000000e-03, 2.918101549148560e-01
9.733527150000001e-03, 2.790173590183258e-01
9.959153830000001e-03, 2.674915790557861e-01
1.018478050000000e-02, 2.579693496227264e-01
1.041040790000000e-02, 2.501621842384338e-01
1.065107660000000e-02, 2.428382337093353e-01
1.090678720000000e-02, 2.354639172554016e-01
1.116249780000000e-02, 2.285332977771759e-01
1.141820850000000e-02, 2.223500609397888e-01
1.167391910000000e-02, 2.170665860176086e-01
