<X>, <Y>
2.421513670000000e-04, 1.194240078125000e+05
2.571931570000000e-04, 1.119050390625000e+05
2.722349720000000e-04, 1.046156015625000e+05
2.872767630000000e-04, 9.757792187500000e+04
3.023185530000000e-04, 9.080818750000000e+04
3.173603680000000e-04, 8.431857031250000e+04
3.324021590000000e-04, 7.811716406250000e+04
3.474439490000000e-04, 7.220940625000000e+04
3.624857640000000e-04, 6.659827343750000e+04
3.775275550000001e-04, 6.128483593750000e+04
3.925693690000000e-04, 5.626830859375000e+04
4.076111600000000e-04, 5.154588281250000e+04
4.226529510000000e-04, 4.711336328125000e+04
4.376947410000000e-04, 4.296465234375000e+04
4.527365790000000e-04, 3.909241796875000e+04
4.677783700000001e-04, 3.548804687500000e+04
4.828201610000000e-04, 3.214182812500000e+04
4.978619520000000e-04, 2.904337109375000e+04
5.129037420000001e-04, 2.618158984375000e+04
5.279455330000001e-04, 2.354513867187500e+04
5.429873710000000e-04, 2.112246679687500e+04
5.580291620000000e-04, 1.890205468750000e+04
5.730709530000001e-04, 1.687246679687500e+04
5.881127440000001e-04, 1.502240039062500e+04
6.031545340000000e-04, 1.334084179687500e+04
6.181963720000000e-04, 1.181699511718750e+04
6.332381630000001e-04, 1.044037011718750e+04
6.482799540000000e-04, 9.200841796875000e+03
6.633217450000001e-04, 8.088552734375000e+03
6.783635360000000e-04, 7.094087402343750e+03
6.934053260000000e-04, 6.208358886718750e+03
7.084471640000001e-04, 5.422711425781250e+03
7.234889550000001e-04, 4.728884765625000e+03
7.385307460000000e-04, 4.119030761718750e+03
7.535725370000001e-04, 3.585712402343750e+03
7.686143280000000e-04, 3.121911132812500e+03
7.836561650000001e-04, 2.721007080078125e+03
7.986979560000000e-04, 2.376781494140625e+03
8.137397470000000e-04, 2.083406250000000e+03
8.287815380000001e-04, 1.835421020507812e+03
8.438233290000000e-04, 1.627747680664062e+03
8.588651200000001e-04, 1.455657470703125e+03
8.739069100000001e-04, 1.314782470703125e+03
8.889487010000001e-04, 1.201083862304688e+03
9.039905850000001e-04, 1.110854248046875e+03
9.190323760000001e-04, 1.040698120117188e+03
9.340741670000000e-04, 9.875180664062500e+02
9.491159580000000e-04, 9.484982910156250e+02
9.641577490000001e-04, 9.210900878906250e+02
9.791995400000001e-04, 9.029980468750000e+02
9.942413310000001e-04, 8.921647949218750e+02
1.009283120000000e-03, 8.867562866210938e+02
1.024324910000000e-03, 8.851530151367188e+02
1.039366700000000e-03, 8.859371948242188e+02
1.054408490000000e-03, 8.878805541992188e+02
1.069450380000000e-03, 8.899343872070312e+02
1.084492170000000e-03, 8.912224731445312e+02
1.099533960000000e-03, 8.910245971679688e+02
1.114575750000000e-03, 8.887685546875000e+02
1.129617540000000e-03, 8.840193481445312e+02
1.144659330000000e-03, 8.764658813476562e+02
1.159701120000000e-03, 8.659107666015625e+02
1.174742910000000e-03, 8.522589111328125e+02
1.189784710000000e-03, 8.355059814453125e+02
1.204826500000000e-03, 8.157266235351562e+02
1.219868290000000e-03, 7.930632324218750e+02
1.234910170000000e-03, 7.677208862304688e+02
1.249951960000000e-03, 7.399485473632812e+02
1.264993750000000e-03, 7.100350952148438e+02
1.280035540000000e-03, 6.782968750000000e+02
1.295077340000000e-03, 6.450717773437500e+02
1.310119130000000e-03, 6.107069702148438e+02
1.325160920000000e-03, 5.755520629882812e+02
1.340202710000000e-03, 5.399561157226562e+02
1.355244500000000e-03, 5.042570800781250e+02
1.370286290000000e-03, 4.687786865234375e+02
1.385328080000000e-03, 4.338249511718750e+02
1.400369960000000e-03, 3.996775207519531e+02
1.415411760000000e-03, 3.665939331054688e+02
1.430453550000000e-03, 3.348001403808594e+02
1.445495340000000e-03, 3.044946289062500e+02
1.460537130000000e-03, 2.758442687988281e+02
1.475578920000000e-03, 2.489842224121094e+02
1.490620710000000e-03, 2.240171203613281e+02
1.505662500000000e-03, 2.010148315429688e+02
1.520704290000000e-03, 1.800183715820312e+02
1.535746080000000e-03, 1.610401306152344e+02
1.550787870000000e-03, 1.440645599365234e+02
1.565829660000000e-03, 1.290515899658203e+02
1.580871460000000e-03, 1.159389572143555e+02
1.595913250000000e-03, 1.046442489624023e+02
1.610955040000000e-03, 9.506781005859375e+01
1.625996830000000e-03, 8.709650421142578e+01
1.641038620000000e-03, 8.060553741455078e+01
1.656080600000000e-03, 7.546200561523438e+01
1.671122390000000e-03, 7.152720642089844e+01
1.686164180000000e-03, 6.865972137451172e+01
1.701205970000000e-03, 6.671767425537109e+01
1.716247760000000e-03, 6.556113433837891e+01
1.731289550000000e-03, 6.505418395996094e+01
1.746331340000000e-03, 6.506693267822266e+01
1.761373130000000e-03, 6.547681427001953e+01
1.776414920000000e-03, 6.617028045654297e+01
1.791456710000000e-03, 6.704350280761719e+01
1.806498510000000e-03, 6.800309753417969e+01
1.821540300000000e-03, 6.896702575683594e+01
1.836582090000000e-03, 6.986427307128906e+01
1.851623880000000e-03, 7.063533020019531e+01
1.866665670000000e-03, 7.123183441162109e+01
1.881707460000000e-03, 7.161657714843750e+01
1.896749250000000e-03, 7.176290130615234e+01
1.911791040000000e-03, 7.165370941162109e+01
1.926832830000000e-03, 7.128138732910156e+01
1.956916410000000e-03, 6.975690460205078e+01
2.002041970000000e-03, 6.573329925537109e+01
2.047167350000000e-03, 6.021514511108398e+01
2.092292720000000e-03, 5.403232574462891e+01
2.137418090000000e-03, 4.800458526611328e+01
2.182543460000000e-03, 4.278503417968750e+01
2.227668840000000e-03, 3.877281188964844e+01
2.272794210000000e-03, 3.609275054931641e+01
2.317919770000000e-03, 3.462934112548828e+01
2.363045140000000e-03, 3.409220504760742e+01
2.408170510000000e-03, 3.409548187255859e+01
2.453295890000000e-03, 3.423770904541016e+01
2.498421260000000e-03, 3.417024230957031e+01
2.543546630000000e-03, 3.364339065551758e+01
2.588672000000000e-03, 3.252687454223633e+01
2.648839350000000e-03, 3.011420440673828e+01
2.724048310000000e-03, 2.597250175476074e+01
2.799257260000000e-03, 2.132419967651367e+01
2.874466220000000e-03, 1.696946525573730e+01
2.949675170000000e-03, 1.344896507263184e+01
3.024884310000000e-03, 1.094469070434570e+01
3.100093270000000e-03, 9.344756126403809e+00
3.175302220000000e-03, 8.388366699218750e+00
3.250511360000000e-03, 7.806395053863525e+00
3.325720130000000e-03, 7.404332637786865e+00
3.400929270000000e-03, 7.085124492645264e+00
3.476138410000000e-03, 6.823990821838379e+00
3.551347180000000e-03, 6.622539043426514e+00
3.626556320000000e-03, 6.472895622253418e+00
3.701765090000000e-03, 6.344894886016846e+00
3.776974230000000e-03, 6.193382740020752e+00
3.852183370000000e-03, 5.973741531372070e+00
3.942434120000000e-03, 5.583288192749023e+00
4.047726470000000e-03, 4.961457252502441e+00
4.153019190000000e-03, 4.239933013916016e+00
4.258311910000000e-03, 3.531642913818359e+00
4.363604260000000e-03, 2.931333541870117e+00
4.468896990000000e-03, 2.487384319305420e+00
4.574189710000000e-03, 2.202723503112793e+00
4.679482060000000e-03, 2.049567222595215e+00
4.784774780000001e-03, 1.985007643699646e+00
4.890067500000000e-03, 1.964469432830811e+00
4.995359850000001e-03, 1.948995471000671e+00
5.100652580000000e-03, 1.910028696060181e+00
5.205945300000001e-03, 1.832130312919617e+00
5.326279630000000e-03, 1.693057298660278e+00
5.461655930000000e-03, 1.492205739021301e+00
5.597031860000001e-03, 1.281603217124939e+00
5.732408170000001e-03, 1.099837303161621e+00
5.867784470000001e-03, 9.700807332992554e-01
6.003160400000001e-03, 8.952469825744629e-01
6.138536710000000e-03, 8.615959882736206e-01
6.273912640000000e-03, 8.473259210586548e-01
6.409288940000001e-03, 8.313113451004028e-01
6.559707220000000e-03, 7.954907417297363e-01
6.725166740000001e-03, 7.312372922897339e-01
6.890627000000001e-03, 6.536212563514709e-01
7.056086510000000e-03, 5.814173221588135e-01
7.221546020000000e-03, 5.285357236862183e-01
7.387006280000000e-03, 4.977445304393768e-01
7.552465800000000e-03, 4.818071722984314e-01
7.717925310000000e-03, 4.698705375194550e-01
7.898427550000002e-03, 4.516357779502869e-01
8.093971010000001e-03, 4.226297736167908e-01
8.289513740000001e-03, 3.897195458412170e-01
8.485057200000000e-03, 3.613187670707703e-01
8.680600670000000e-03, 3.418928384780884e-01
8.876144140000000e-03, 3.300284743309021e-01
9.071687610000000e-03, 3.208682537078857e-01
9.282273050000001e-03, 3.094001710414886e-01
9.507899730000000e-03, 2.942864596843719e-01
9.733527150000001e-03, 2.791239619255066e-01
9.959153830000001e-03, 2.671078145503998e-01
1.018478050000000e-02, 2.586894035339355e-01
1.041040790000000e-02, 2.520834803581238e-01
1.065107660000000e-02, 2.448873817920685e-01
1.090678720000000e-02, 2.366121560335159e-01
1.116249780000000e-02, 2.288882732391357e-01
1.141820850000000e-02, 2.227240055799484e-01
1.167391910000000e-02, 2.178662419319153e-01
1.194467100000000e-02, 2.132023423910141e-01
1.223046560000000e-02, 2.082987576723099e-01
