q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBacetic38ACNphcn90C_eiger2_12602_sub.dat_00001_[sub(TAPBacetic38ACNphcn90C_eiger2_12602_ave.h5_00001_[AN_3_30_29_RXN_90C]-TAPBacetic38ACNphcn90C_eiger2_11907_av_ave.h5_00001_[AN_3_30_29_PRM_90C])],1,0.0050)	error
0.000212067761	126212.656	243.819687
0.000227109576	125571.812	159.467957
0.00024215136700000002	120454.875	130.516495
0.000257193157	113938.742	113.041718
0.000272234972	106341.117	99.9065323
0.00028727676300000003	99591.6797	90.054718
0.000302318553	92764.7109	81.8758774
0.00031736036800000003	86051.0703	74.8387222
0.00033240215900000005	80288.5312	68.7956314
0.000347443949	74039.4531	63.4729958
0.00036248576400000005	68100.0234	58.6540794
0.00037752755500000006	62780.1172	54.293129
0.000392569369	57633.1094	50.3474998
0.00040761116	52830.0938	46.5722008
0.000422652951	48358.4531	43.3732758
0.00043769474100000005	43926.2773	40.3129349
0.000452736579	39965.7617	37.4989052
0.00046777837000000006	36303.4492	34.9335594
0.000482820161	32855.5977	32.4231873
0.000497861952	29601.334	30.1353073
0.0005129037420000001	26663.4043	27.9942856
0.0005279455330000001	23913.3594	25.9472599
0.000542987371	21419.4336	24.1152287
0.000558029162	19111.0488	22.3281879
0.0005730709530000001	17043.1836	20.7596054
0.0005881127440000001	15179.2275	19.2635574
0.000603154534	13468.3164	17.8399963
0.000618196372	11909.5654	16.4091778
0.000633238163	10584.1328	14.8446836
0.000648279954	9356.32031	13.5375423
0.0006633217450000001	8244.58691	12.4811993
0.000678363536	7209.13477	11.5345488
0.000693405326	6318.68945	10.6939392
0.0007084471640000001	5506.03809	9.86995602
0.0007234889550000001	4788.2041	9.11039639
0.000738530746	4170.68408	8.40712833
0.0007535725370000001	3626.43262	7.76702309
0.000768614328	3153.05444	7.18162394
0.0007836561650000001	2738.91431	6.63571358
0.000798697956	2395.52832	6.16772747
0.000813739747	2096.86572	5.7254324
0.0008287815380000001	1841.0481	5.32725286
0.000843823329	1621.71643	4.96636009
0.0008588651200000001	1449.04956	4.66221952
0.0008739069100000001	1307.08728	4.40496969
0.0008889487010000001	1191.31201	4.16846991
0.0009039905850000001	1105.61499	3.98613119
0.0009190323760000001	1039.86755	3.84154749
0.000934074167	989.810242	3.71401072
0.000949115958	953.259705	3.6162703
0.0009641577490000001	920.022827	3.51717472
0.00097919954	901.063354	3.45282078
0.000994241331	892.757141	3.40332866
0.0010092831199999999	890.541504	3.3660562
0.0010243249100000001	892.916748	3.34187031
0.0010393667000000001	893.656128	3.30674362
0.0010544084900000002	897.056885	3.28507638
0.00106945038	901.247253	3.26438832
0.00108449217	905.407898	3.24346447
0.00109953396	906.881104	3.21959877
0.00111457575	906.379822	3.18824744
0.00112961754	903.02002	3.15635085
0.0011446593300000001	896.938538	3.12025619
0.0011597011200000001	889.242188	3.08606458
0.0011747429100000002	865.240356	3.02373552
0.00118978471	848.438049	2.97108865
0.0012048265000000002	831.163147	2.92331362
0.0012198682900000002	809.520752	2.86628819
0.00123491017	780.287292	2.7951467
0.00124995196	754.037842	2.73387575
0.00126499375	720.100647	2.6499114
0.0012800355400000001	690.910706	2.58519316
0.00129507734	646.899841	2.48324609
0.0013101191300000001	614.407593	2.41243482
0.0013251609200000002	574.238525	2.32184124
0.0013402027100000002	534.06842	2.22562909
0.0013552445	500.317444	2.14979434
0.00137028629	463.235535	2.05985045
0.00138532808	422.823975	1.95883548
0.0014003699600000001	385.596008	1.86757839
0.00141541176	351.835419	1.7820375
0.0014304535500000001	318.334167	1.68998241
0.0014454953400000001	288.469177	1.60611153
0.00146053713	260.516388	1.52615213
0.00147557892	233.672302	1.44500089
0.0014906207100000002	207.462952	1.36103058
0.0015056625000000002	184.49971	1.28806806
0.00152070429	165.670395	1.22300386
0.00153574608	149.873856	1.16569078
0.00155078787	133.69191	1.10412407
0.00156582966	119.080269	1.04604447
0.00158087146	107.982658	0.999865174
0.00159591325	97.0128326	0.948984385
0.00161095504	92.1007843	0.928936481
0.0016259968300000001	84.0389175	0.887211204
0.0016410386200000002	79.6526031	0.863525808
0.0016560806	74.8641357	0.837565064
0.0016711223899999999	73.8942184	0.828505099
0.0016861641800000001	73.9806976	0.824729025
0.00170120597	71.6050415	0.807553291
0.0017162477600000002	70.9570236	0.800676346
0.0017312895500000002	70.7881927	0.793638587
0.00174633134	70.4712524	0.787064254
0.0017613731300000002	71.025444	0.783284187
0.00177641492	73.0384827	0.787142694
0.00179145671	73.5264587	0.783231914
0.00180649851	73.4083252	0.777372718
0.0018215403000000003	73.8207245	0.77430141
0.00183658209	73.9475479	0.771203756
0.0018516238800000001	74.0172272	0.767692327
0.00186666567	73.1745071	0.759577036
0.0018817074600000002	72.3500061	0.759325325
0.00189674925	71.3362274	0.762296617
0.0019117910400000002	68.7521515	0.751330674
0.00192683283	68.3804016	0.752128839
0.00195691641	63.3693288	0.420875359
0.00200204197	56.3199145	0.400507758
0.00204716735	48.9076767	0.376566948
0.00209229272	41.924071	0.342804264
0.0021374180900000004	35.9882164	0.316136241
0.00218254346	32.8221741	0.299690796
0.00222766884	30.1181348	0.285186623
0.00227279421	30.3576425	0.280458901
0.0023179197700000003	31.0917575	0.277049541
0.00236304514	32.7991231	0.277681374
0.00240817051	34.1433996	0.276791545
0.00245329589	35.706248	0.277151184
0.00249842126	36.2633349	0.274467865
0.0025435466300000003	36.0651843	0.270357151
0.002588672	34.6056392	0.262607136
0.00264883935	31.3877815	0.192479287
0.0027240483100000002	27.0089916	0.177979878
0.00279925726	22.0206188	0.166571172
0.00287446622	17.9714249	0.15580539
0.0029496751700000003	14.695841	0.145299989
0.00302488431	12.9944113	0.138720786
0.00310009327	12.2067944	0.134656378
0.0031753022200000005	11.0860478	0.129456815
0.0032505113600000005	10.1065161	0.124667142
0.00332572013	9.12401486	0.119062939
0.0034009292700000002	7.93786182	0.10912566
0.0034761384100000002	6.7133914	0.101050258
0.0035513471800000004	5.70744543	0.0950635545
0.0036265563200000004	5.41658592	0.091655744
0.0037017650899999997	5.45266485	0.0900610608
0.00377697423	5.37105541	0.0878738714
0.00385218337	5.63109875	0.0871381411
0.00394243412	5.54306814	0.072120633
0.0040477264700000005	5.41816269	0.0701429435
0.00415301919	4.9661667	0.0671600026
0.00425831191	4.57268851	0.0644293965
0.00436360426	4.26571751	0.0622453282
0.00446889699	4.01573263	0.0600073951
0.00457418971	3.63625649	0.0576819277
0.00467948206	3.20301901	0.0550896126
0.004784774780000001	2.69157216	0.0522508887
0.0048900675	2.19474224	0.0496465374
0.0049953598500000005	1.9692494	0.048538495
0.00510065258	1.77411791	0.0483941738
0.0052059453000000006	1.65204649	0.0478621496
0.00532627963	1.5224742	0.0415833339
0.00546165593	1.45391699	0.0408721822
0.005597031860000001	1.39142312	0.0397191029
0.005732408170000001	1.33074674	0.0379632119
0.005867784470000001	1.32630596	0.0370435356
0.006003160400000001	1.25382978	0.0361770141
0.00613853671	1.1562747	0.0352012562
0.0062739126400000005	1.03472592	0.0341918395
0.0064092889400000005	1.00508287	0.033500141
0.00655970722	0.989017628	0.0296958281
0.006725166740000001	0.963424314	0.0290565484
0.006890627000000001	0.967056101	0.0285608556
0.00705608651	0.988181006	0.0281606944
0.0072215460200000005	0.994681104	0.0277257627
0.00738700628	0.96972401	0.0272362085
0.0075524658	0.929209167	0.0267094975
0.00771792531	0.876771363	0.0262048075
0.007898427550000002	0.814164584	0.0236308384
0.008093971010000001	0.724152313	0.0230753762
0.00828951374	0.665341148	0.022609286
0.0084850572	0.604864785	0.022117877
0.00868060067	0.541097655	0.0216386492
0.00887614414	0.528868904	0.0212951974
0.00907168761	0.49537279	0.0209244558
0.009282273050000001	0.445949811	0.0191125008
0.00950789973	0.422613529	0.0187808748
0.00973352715	0.395490696	0.0184692573
0.009959153830000001	0.377986302	0.0181827431
0.0101847805	0.336882619	0.0178835056
0.010410407900000002	0.333818019	0.0176620458
0.010651076600000002	0.294801609	0.0162898889
0.0109067872	0.280643134	0.0160212556
0.0111624978	0.259013987	0.0160340725
0.0114182085	0.239299954	0.0161768985
0.011673919100000001	0.239240269	0.0160479124
0.011944671	0.219075194	0.0146887336
0.0122304656	0.207506228	0.014392623
0.012516260100000003	0.208232481	0.0141758002
0.012802054	0.219208502	0.0139795318
0.0131028906	0.184653359	0.0130218095
0.013418768300000002	0.172925456	0.0130481028
0.013734646100000001	0.173526181	0.0133351635
0.0140505239	0.167525599	0.0137123512
0.014381443	0.165743019	0.0133173004
0.0147274047	0.165927759	0.0134535164
0.015073365	0.171632732	0.0135667356
0.0154193267	0.168499983	0.0136740866
0.0157803297	0.169771395	0.0132141918
0.016156375400000002	0.170476283	0.0132943899
0.0165324196	0.163889668	0.013359646
0.0169084653	0.1434642	0.0133835245
0.017299552300000003	0.136200601	0.0129127807
0.017705680400000003	0.12655794	0.0132285337
0.0181118086	0.115237248	0.013779134
0.0185329795	0.119441563	0.013739663
0.0189691916	0.110548339	0.0141436363
0.019405403700000004	0.109855639	0.0147591157
0.0198566571	0.103283773	0.0159080313
0.0203229532	0.0958173561	0.017393325
0.020789249200000002	0.0784358717	0.0189279365
0.021270586600000002	0.0767356477	0.0199495273
0.021766966600000003	0.0721150732	0.0222790023
0.0222633451	0.0680994617	0.0250330109
0.0227747664	0.0681683873	0.0272532857
0.0233012304	0.0537497111	0.0313909754
0.0238427341	0.0503675258	0.0363170432
0.024399280500000002	0.0405912942	0.0420095667
0.024970869700000002	0.0497006728	0.0498732361
0.025557500100000005	0.0337440603	0.0699298465
