<X>, <Y>
1.998967260000000e-04, -4.483742176573902e+00
2.150044310000000e-04, 3.847903973087940e+00
2.301121600000000e-04, 7.437948324906354e-01
2.452198650000000e-04, 1.906777887171184e+00
2.603275700000000e-04, -4.381010265431493e-03
2.754352750000000e-04, 1.365891532365081e+00
2.905429810000000e-04, -3.580481980469425e+00
3.056507090000000e-04, -2.712038853054495e+00
3.207584140000001e-04, 9.038735218293907e-01
3.358661200000000e-04, 3.154081625932755e-01
3.509738250000000e-04, 1.500244982814422e+00
3.660815540000000e-04, 2.426043896309813e+00
3.811892590000000e-04, 2.279691985707444e+00
3.962969870000000e-04, -1.355309931289613e+00
4.114046690000001e-04, -4.886583969260106e-01
4.265123980000001e-04, -1.120915012072588e+00
4.416200800000000e-04, 2.460354075148923e-01
4.567278080000000e-04, 1.023883555816120e+00
4.718355370000000e-04, 1.707543316024410e-01
4.869432190000000e-04, 3.837349528123283e-01
5.020509470000000e-04, 8.622611892476046e-01
5.171586760000000e-04, 3.211537116271979e+00
5.322663580000001e-04, 1.701324499648948e+00
5.473740860000001e-04, 9.066762159955003e-01
5.624817680000000e-04, 1.173015035695240e+00
5.775894970000000e-04, -1.287997616492753e+00
5.926972260000001e-04, -7.764741605101838e-01
6.078049070000000e-04, -1.314712187136000e-01
6.229126360000000e-04, 2.769698386943547e-01
6.380203180000000e-04, 9.661377966431295e-01
6.531280470000000e-04, 9.425739868006779e-01
6.682357750000000e-04, 1.465319902260758e+00
6.833434570000000e-04, 1.073923220256049e+00
6.984511860000000e-04, 6.345637368723106e-01
7.135589140000000e-04, 2.564903919074350e-01
7.286665960000000e-04, -1.152715543635410e+00
7.437743250000000e-04, -2.606230895880451e-01
7.588820070000001e-04, -1.155976595699661e+00
7.739897350000001e-04, -9.840240701446038e-01
7.890974170000001e-04, -4.145463838924738e-01
8.042051460000000e-04, 9.039352097155301e-02
8.193128740000000e-04, 3.601819620044802e-01
8.344206030000001e-04, -2.356348902514448e-01
8.495283310000001e-04, 1.040134010212625e+00
8.646359669999999e-04, -2.780304107270213e-01
8.797436949999999e-04, 2.595236537342489e-01
8.948514240000000e-04, -1.216577317455764e+00
9.099591520000000e-04, -4.125913846897182e-01
9.250668809999999e-04, 2.176479895490351e-02
9.401745160000001e-04, -4.188264832730837e-01
9.552822450000000e-04, -9.930415485205737e-01
9.703899730000000e-04, -1.309869942436367e+00
9.854977020000001e-04, -2.410039851524798e-01
1.000605430000000e-03, -1.722310204464728e+00
1.015713070000000e-03, -1.416723167475758e+00
1.030820790000000e-03, -5.607823208027451e-01
1.045928520000000e-03, -4.240249291023810e-01
1.061036250000000e-03, 1.726739162190060e-02
1.076143980000000e-03, -4.222815540913806e-01
1.091251710000000e-03, -1.114527928415245e+00
1.106359340000000e-03, 4.099267786298230e-01
1.121467070000000e-03, 2.951000077955103e-01
1.136574800000000e-03, -3.185094458883782e-01
1.151682530000000e-03, -6.339598853803240e-01
1.166790260000000e-03, 4.262564672250863e-01
1.181897890000000e-03, 5.875648256990273e-01
1.197005620000000e-03, -3.261015200964553e-01
1.212113350000000e-03, 8.254680405688539e-02
1.227221080000000e-03, 5.674266941040057e-01
1.242328810000000e-03, 3.140738670061795e-01
1.257436440000000e-03, 4.044924390587633e-01
1.272544170000000e-03, -1.244609197371183e-01
1.287651900000000e-03, 1.412983093383534e-01
1.302759630000000e-03, 3.277673377252507e-01
1.317867360000000e-03, 3.594914329424222e-01
1.332974990000000e-03, 1.658378247075639e-02
1.348082720000000e-03, 1.707131536957460e-01
1.363190450000000e-03, 3.647651784829878e-01
1.378298180000000e-03, 2.775712182744043e-01
1.393405910000000e-03, 8.148266077837982e-01
1.408513640000000e-03, 6.867558790812921e-01
1.423621270000000e-03, 3.302769833250622e-01
1.438729000000000e-03, 2.442696818049438e-01
1.453836730000000e-03, -5.706858228370862e-01
1.468944460000000e-03, 2.941327783277837e-01
1.484052180000000e-03, 4.634723971750049e-01
1.499159820000000e-03, -2.823798294612571e-02
1.514267550000000e-03, 5.717600799092692e-02
1.529375280000000e-03, 1.998080486367489e-01
1.544483010000000e-03, 1.295023474427483e-01
1.559590730000000e-03, 6.348193026909968e-01
1.574698460000000e-03, 1.579681817953266e-01
1.589806190000000e-03, 1.760477648248395e-01
1.604913920000000e-03, 2.539006697269180e-01
1.620021460000000e-03, -1.540168811564133e-01
1.635129190000000e-03, 3.929406560249695e-01
1.650236920000000e-03, 5.143347798353400e-01
1.665344650000000e-03, 3.920925961336914e-01
1.680452380000000e-03, 1.208663864505898e-01
1.695560110000000e-03, -3.661235127377080e-01
1.710667830000000e-03, -7.222433498989766e-01
1.725775560000000e-03, -2.370732986542283e-02
1.740883290000000e-03, 1.380545491377581e-01
1.755991020000000e-03, 2.806257014593225e-01
1.771098560000000e-03, 4.344610791268849e-01
1.786206290000000e-03, 7.466994985469926e-02
1.801314020000000e-03, 2.052445466752685e-01
1.816421750000000e-03, -6.830097206771356e-02
1.831529480000000e-03, -1.580578580951755e-01
1.846637200000000e-03, -8.270496377014930e-02
1.861744930000000e-03, 3.534846228655214e-01
1.876852660000000e-03, -1.751828076985197e-02
1.891960390000000e-03, 3.889300147094980e-01
1.907068120000000e-03, 9.720117113232391e-03
1.922175850000000e-03, 2.655190591043170e-02
1.937283390000000e-03, -9.889932721624288e-02
1.967498850000000e-03, -2.163641095914230e-01
2.012822030000000e-03, 1.659877523358968e-01
2.058145220000000e-03, -3.446442006173001e-01
2.103468220000000e-03, -1.015518569520251e-01
2.148791400000000e-03, 8.786456810941863e-02
2.194114590000000e-03, -6.788018810945712e-02
2.239437770000000e-03, 8.287770169027794e-02
2.284760770000000e-03, -3.072579887206670e-02
2.330083960000000e-03, 4.445836310674822e-03
2.375407140000000e-03, 6.384786495615935e-02
2.420730140000000e-03, 1.133503764520317e-01
