<X>, <Y>, <dY>
1.092504590000000e-04, 1.746712500000000e+05, 2.697346440000000e+03
1.243581760000000e-04, 3.831750000000000e+03, 1.130196170000000e+03
1.394658820000000e-04, -9.022812500000000e+04, 6.190855100000000e+02
1.545735980000000e-04, 1.391506250000000e+04, 3.711838680000000e+02
1.696813040000000e-04, 3.242953120000000e+03, 2.284871980000000e+02
1.847890210000000e-04, 2.483640620000000e+03, 1.598241120000000e+02
1.998967260000000e-04, 3.291207030000000e+03, 1.204645690000000e+02
2.150044310000000e-04, 2.781343750000000e+03, 9.420362849999999e+01
2.301121600000000e-04, 2.321439450000000e+03, 7.594132230000000e+01
2.452198650000000e-04, 1.813152340000000e+03, 6.202176280000000e+01
2.603275700000000e-04, 1.550799800000000e+03, 5.187461090000000e+01
2.754352750000000e-04, 1.166569340000000e+03, 4.372651670000000e+01
2.905429810000000e-04, 7.485732420000001e+02, 3.643305210000000e+01
3.056507090000000e-04, 6.006420900000001e+02, 3.054728320000000e+01
3.207584140000001e-04, 4.507724610000000e+02, 2.596342660000000e+01
3.358661200000000e-04, 4.377470700000000e+02, 2.297666930000000e+01
3.509738250000000e-04, 3.868908690000000e+02, 2.063887210000000e+01
3.660815540000000e-04, 3.370249020000000e+02, 1.851465030000000e+01
3.811892590000000e-04, 2.876362300000000e+02, 1.665545080000000e+01
3.962969870000000e-04, 2.670905760000000e+02, 1.519672200000000e+01
4.114046690000001e-04, 2.474172360000000e+02, 1.393152430000000e+01
4.265123980000001e-04, 2.441424560000000e+02, 1.292076110000000e+01
4.416200800000000e-04, 2.133303220000000e+02, 1.194324780000000e+01
4.567278080000000e-04, 2.193674320000000e+02, 1.118977070000000e+01
4.718355370000000e-04, 2.121478270000000e+02, 1.039563180000000e+01
4.869432190000000e-04, 1.956247560000000e+02, 9.772832870000000e+00
5.020509470000000e-04, 1.830747070000000e+02, 9.222221370000000e+00
5.171586760000000e-04, 1.698438720000000e+02, 8.612288480000000e+00
5.322663580000001e-04, 1.608294680000000e+02, 8.053191180000001e+00
5.473740860000001e-04, 1.373220830000000e+02, 7.458765030000000e+00
5.624817680000000e-04, 1.281935420000000e+02, 6.974437710000000e+00
5.775894970000000e-04, 1.061678470000000e+02, 6.555477140000000e+00
5.926972260000001e-04, 9.861437990000000e+01, 6.210147860000000e+00
6.078049070000000e-04, 9.511639400000000e+01, 5.866315360000000e+00
6.229126360000000e-04, 7.581762700000000e+01, 5.469046120000000e+00
6.380203180000000e-04, 7.406390380000001e+01, 5.181440830000000e+00
6.531280470000000e-04, 7.168218990000000e+01, 4.939857010000000e+00
