<X>, <Y>
2.603275700000000e-04, 6.048850097656250e+03
2.754352750000000e-04, 5.808648437500000e+03
2.905429810000000e-04, 5.570470214843750e+03
3.056507090000000e-04, 5.335578125000000e+03
3.207584140000001e-04, 5.105038574218750e+03
3.358661200000000e-04, 4.879794921875000e+03
3.509738250000000e-04, 4.660603515625000e+03
3.660815540000000e-04, 4.448085449218750e+03
3.811892590000000e-04, 4.242707031250000e+03
3.962969870000000e-04, 4.044810058593750e+03
4.114046690000001e-04, 3.854595458984375e+03
4.265123980000001e-04, 3.672177490234375e+03
4.416200800000000e-04, 3.497560791015625e+03
4.567278080000000e-04, 3.330681640625000e+03
4.718355370000000e-04, 3.171395263671875e+03
4.869432190000000e-04, 3.019521240234375e+03
5.020509470000000e-04, 2.874821777343750e+03
5.171586760000000e-04, 2.737046386718750e+03
5.322663580000001e-04, 2.605919677734375e+03
5.473740860000001e-04, 2.481154052734375e+03
5.624817680000000e-04, 2.362458984375000e+03
5.775894970000000e-04, 2.249545898437500e+03
5.926972260000001e-04, 2.142133789062500e+03
6.078049070000000e-04, 2.039958984375000e+03
6.229126360000000e-04, 1.942756225585938e+03
6.380203180000000e-04, 1.850282958984375e+03
6.531280470000000e-04, 1.762302978515625e+03
6.682357750000000e-04, 1.678599121093750e+03
6.833434570000000e-04, 1.598958862304688e+03
6.984511860000000e-04, 1.523187500000000e+03
7.135589140000000e-04, 1.451100097656250e+03
7.286665960000000e-04, 1.382520874023438e+03
7.437743250000000e-04, 1.317277221679688e+03
7.588820070000001e-04, 1.255208984375000e+03
7.739897350000001e-04, 1.196167114257812e+03
7.890974170000001e-04, 1.140001342773438e+03
8.042051460000000e-04, 1.086571655273438e+03
8.193128740000000e-04, 1.035742919921875e+03
8.344206030000001e-04, 9.873855590820312e+02
8.495283310000001e-04, 9.413754882812500e+02
8.646359669999999e-04, 8.975971069335938e+02
8.797436949999999e-04, 8.559371948242188e+02
8.948514240000000e-04, 8.162895507812500e+02
9.099591520000000e-04, 7.785520019531250e+02
9.250668809999999e-04, 7.426286621093750e+02
9.401745160000001e-04, 7.084304199218750e+02
9.552822450000000e-04, 6.758713989257812e+02
9.703899730000000e-04, 6.448696289062500e+02
9.854977020000001e-04, 6.153512573242188e+02
1.000605430000000e-03, 5.872438964843750e+02
1.015713070000000e-03, 5.604785766601562e+02
1.030820790000000e-03, 5.349924926757812e+02
1.045928520000000e-03, 5.107229919433594e+02
1.061036250000000e-03, 4.876139221191406e+02
1.076143980000000e-03, 4.656103820800781e+02
1.091251710000000e-03, 4.446571350097656e+02
1.106359340000000e-03, 4.247076110839844e+02
1.121467070000000e-03, 4.057116699218750e+02
1.136574800000000e-03, 3.876254577636719e+02
1.151682530000000e-03, 3.704030151367188e+02
1.166790260000000e-03, 3.540046691894531e+02
1.181897890000000e-03, 3.383898010253906e+02
1.197005620000000e-03, 3.235208435058594e+02
1.212113350000000e-03, 3.093612365722656e+02
1.227221080000000e-03, 2.958778381347656e+02
1.242328810000000e-03, 2.830367126464844e+02
1.257436440000000e-03, 2.708077392578125e+02
1.272544170000000e-03, 2.591615600585938e+02
1.287651900000000e-03, 2.480700378417969e+02
1.302759630000000e-03, 2.375068664550781e+02
1.317867360000000e-03, 2.274469909667969e+02
1.332974990000000e-03, 2.178669586181641e+02
1.348082720000000e-03, 2.087435302734375e+02
1.363190450000000e-03, 2.000552825927734e+02
1.378298180000000e-03, 1.917813110351562e+02
1.393405910000000e-03, 1.839025115966797e+02
1.408513640000000e-03, 1.763997802734375e+02
1.423621270000000e-03, 1.692550048828125e+02
1.438729000000000e-03, 1.624510650634766e+02
1.453836730000000e-03, 1.559712982177734e+02
1.468944460000000e-03, 1.498001403808594e+02
1.484052180000000e-03, 1.439223632812500e+02
1.499159820000000e-03, 1.383237915039062e+02
1.514267550000000e-03, 1.329906158447266e+02
1.529375280000000e-03, 1.279096450805664e+02
1.544483010000000e-03, 1.230685806274414e+02
1.559590730000000e-03, 1.184556427001953e+02
1.574698460000000e-03, 1.140596008300781e+02
1.589806190000000e-03, 1.098696441650391e+02
1.604913920000000e-03, 1.058758087158203e+02
1.620021460000000e-03, 1.020684661865234e+02
1.635129190000000e-03, 9.843834686279297e+01
1.650236920000000e-03, 9.497677612304688e+01
1.665344650000000e-03, 9.167553710937500e+01
1.680452380000000e-03, 8.852677154541016e+01
1.695560110000000e-03, 8.552287292480469e+01
1.710667830000000e-03, 8.265663146972656e+01
1.725775560000000e-03, 7.992130279541016e+01
1.740883290000000e-03, 7.731018066406250e+01
1.755991020000000e-03, 7.481713867187500e+01
1.771098560000000e-03, 7.243614196777344e+01
1.786206290000000e-03, 7.016146087646484e+01
1.801314020000000e-03, 6.798765563964844e+01
1.816421750000000e-03, 6.590977478027344e+01
1.831529480000000e-03, 6.392269897460938e+01
1.846637200000000e-03, 6.202182769775391e+01
1.861744930000000e-03, 6.020284652709961e+01
1.876852660000000e-03, 5.846144104003906e+01
1.891960390000000e-03, 5.679383468627930e+01
1.907068120000000e-03, 5.519618225097656e+01
1.922175850000000e-03, 5.366497039794922e+01
1.937283390000000e-03, 5.219685745239258e+01
1.967498850000000e-03, 4.943748092651367e+01
2.012822030000000e-03, 4.569754409790039e+01
2.058145220000000e-03, 4.237533187866211e+01
2.103468220000000e-03, 3.941078567504883e+01
2.148791400000000e-03, 3.675231552124023e+01
2.194114590000000e-03, 3.435644531250000e+01
2.239437770000000e-03, 3.218663406372070e+01
2.284760770000000e-03, 3.021254730224609e+01
2.330083960000000e-03, 2.840858650207520e+01
2.375407140000000e-03, 2.675297355651855e+01
2.420730140000000e-03, 2.522719001770020e+01
2.466053330000000e-03, 2.381552124023438e+01
2.511376520000000e-03, 2.250481224060059e+01
2.556699700000000e-03, 2.128418540954590e+01
2.602022700000000e-03, 2.014457893371582e+01
2.662453610000000e-03, 1.873783874511719e+01
2.737992070000000e-03, 1.713917350769043e+01
2.813530710000000e-03, 1.569557285308838e+01
2.889069170000000e-03, 1.438864994049072e+01
2.964607810000000e-03, 1.320383548736572e+01
3.040146270000000e-03, 1.212854194641113e+01
3.115684910000000e-03, 1.115181064605713e+01
3.191223370000000e-03, 1.026456546783447e+01
3.266762200000000e-03, 9.458818435668945e+00
3.342300650000000e-03, 8.726936340332031e+00
3.417839110000000e-03, 8.061799049377441e+00
3.493377570000001e-03, 7.457126140594482e+00
3.568916400000000e-03, 6.907193183898926e+00
3.644454850000000e-03, 6.406487464904785e+00
3.719993310000000e-03, 5.949931144714355e+00
3.795531760000000e-03, 5.533108234405518e+00
3.871070590000001e-03, 5.152004241943359e+00
3.961716590000000e-03, 4.736462593078613e+00
4.067470880000000e-03, 4.302103996276855e+00
4.173224790000000e-03, 3.915196895599365e+00
4.278978710000000e-03, 3.569325923919678e+00
4.384732620000001e-03, 3.259037494659424e+00
4.490486530000000e-03, 2.980207204818726e+00
4.596240450000000e-03, 2.729182958602905e+00
4.701994730000001e-03, 2.502878189086914e+00
4.807748650000001e-03, 2.298898458480835e+00
4.913502560000001e-03, 2.115005254745483e+00
5.019256470000000e-03, 1.949190139770508e+00
5.125010390000000e-03, 1.799763917922974e+00
5.230764300000000e-03, 1.665124297142029e+00
5.351626130000000e-03, 1.527411580085754e+00
5.487595500000000e-03, 1.390522718429565e+00
