<X>, <Y>
2.150044310000000e-04, 1.023773730468750e+04
2.301121600000000e-04, 9.465258789062500e+03
2.452198650000000e-04, 8.744872070312500e+03
2.603275700000000e-04, 8.079244628906250e+03
2.754352750000000e-04, 7.468885742187500e+03
2.905429810000000e-04, 6.912510742187500e+03
3.056507090000000e-04, 6.407444335937500e+03
3.207584140000001e-04, 5.950041992187500e+03
3.358661200000000e-04, 5.536062988281250e+03
3.509738250000000e-04, 5.161023437500000e+03
3.660815540000000e-04, 4.820484863281250e+03
3.811892590000000e-04, 4.510260253906250e+03
3.962969870000000e-04, 4.226562500000000e+03
4.114046690000001e-04, 3.966093750000000e+03
4.265123980000001e-04, 3.726052490234375e+03
4.416200800000000e-04, 3.504127441406250e+03
4.567278080000000e-04, 3.298427001953125e+03
4.718355370000000e-04, 3.107422363281250e+03
4.869432190000000e-04, 2.929856689453125e+03
5.020509470000000e-04, 2.764671142578125e+03
5.171586760000000e-04, 2.610941650390625e+03
5.322663580000001e-04, 2.467829101562500e+03
5.473740860000001e-04, 2.334539794921875e+03
5.624817680000000e-04, 2.210313232421875e+03
5.775894970000000e-04, 2.094410644531250e+03
5.926972260000001e-04, 1.986122314453125e+03
6.078049070000000e-04, 1.884776245117188e+03
6.229126360000000e-04, 1.789747436523438e+03
6.380203180000000e-04, 1.700469848632812e+03
6.531280470000000e-04, 1.616439575195312e+03
6.682357750000000e-04, 1.537220825195312e+03
6.833434570000000e-04, 1.462439575195312e+03
6.984511860000000e-04, 1.391777221679688e+03
7.135589140000000e-04, 1.324962890625000e+03
7.286665960000000e-04, 1.261761108398438e+03
7.437743250000000e-04, 1.201959960937500e+03
7.588820070000001e-04, 1.145365844726562e+03
7.739897350000001e-04, 1.091792968750000e+03
7.890974170000001e-04, 1.041060791015625e+03
8.042051460000000e-04, 9.929924926757812e+02
8.193128740000000e-04, 9.474148559570312e+02
8.344206030000001e-04, 9.041614990234375e+02
8.495283310000001e-04, 8.630747070312500e+02
8.646359669999999e-04, 8.240087890625000e+02
8.797436949999999e-04, 7.868305664062500e+02
8.948514240000000e-04, 7.514229736328125e+02
9.099591520000000e-04, 7.176826782226562e+02
9.250668809999999e-04, 6.855200195312500e+02
9.401745160000001e-04, 6.548567504882812e+02
9.552822450000000e-04, 6.256217651367188e+02
9.703899730000000e-04, 5.977516479492188e+02
9.854977020000001e-04, 5.711847534179688e+02
1.000605430000000e-03, 5.458617553710938e+02
1.015713070000000e-03, 5.217232055664062e+02
1.030820790000000e-03, 4.987102355957031e+02
1.045928520000000e-03, 4.767643432617188e+02
1.061036250000000e-03, 4.558281860351562e+02
1.076143980000000e-03, 4.358470458984375e+02
1.091251710000000e-03, 4.167690734863281e+02
1.106359340000000e-03, 3.985473937988281e+02
1.121467070000000e-03, 3.811389770507812e+02
1.136574800000000e-03, 3.645060119628906e+02
1.151682530000000e-03, 3.486142883300781e+02
1.166790260000000e-03, 3.334337463378906e+02
1.181897890000000e-03, 3.189363403320312e+02
1.197005620000000e-03, 3.050954895019531e+02
1.212113350000000e-03, 2.918857421875000e+02
1.227221080000000e-03, 2.792813720703125e+02
