<X>, <Y>
2.150044310000000e-04, 4.698271811892600e-02
2.301121600000000e-04, -8.804560549936272e-01
2.452198650000000e-04, 1.231989917088775e+00
2.603275700000000e-04, 2.505851739956154e-01
2.754352750000000e-04, 1.321860559268470e-01
2.905429810000000e-04, -1.153493580533345e+00
3.056507090000000e-04, 4.229206679749359e-01
3.207584140000001e-04, -1.430433285187984e+00
3.358661200000000e-04, 1.252395401825698e+00
3.509738250000000e-04, 2.121244674464062e+00
3.660815540000000e-04, 7.266572099206637e-01
3.811892590000000e-04, -4.626109487858897e-01
3.962969870000000e-04, -1.312122933149789e+00
4.114046690000001e-04, -1.741891557471634e+00
4.265123980000001e-04, -5.340728636633530e-01
4.416200800000000e-04, -4.777026894273809e-01
4.567278080000000e-04, 3.216393479955161e-01
4.718355370000000e-04, 6.535829211564029e-01
4.869432190000000e-04, 2.844427414849140e-02
5.020509470000000e-04, -9.448594758038564e-02
5.171586760000000e-04, -9.677055096160717e-01
5.322663580000001e-04, -5.072028509579218e-03
5.473740860000001e-04, 4.382706618457262e-01
5.624817680000000e-04, 3.781783355326145e-01
5.775894970000000e-04, -1.074706647917947e-01
5.926972260000001e-04, -5.905647839495397e-01
6.078049070000000e-04, 1.019729026603761e-01
6.229126360000000e-04, 2.878186076244528e-01
6.380203180000000e-04, 7.440939139608217e-02
6.531280470000000e-04, 4.220903798127761e-01
6.682357750000000e-04, 2.495755728952034e-01
6.833434570000000e-04, 5.933256540653558e-01
6.984511860000000e-04, 2.530121759386381e-01
7.135589140000000e-04, 8.578391102488014e-02
7.286665960000000e-04, 2.872582420064889e-01
7.437743250000000e-04, 7.172331505497469e-01
7.588820070000001e-04, 4.075779850630678e-01
7.739897350000001e-04, 8.872028696781672e-01
7.890974170000001e-04, 5.853804272388821e-01
8.042051460000000e-04, 5.231748744536729e-01
8.193128740000000e-04, 9.844748801511286e-01
8.344206030000001e-04, 6.955790771610969e-01
8.495283310000001e-04, 2.571103732943988e-01
8.646359669999999e-04, -4.033108190752701e-01
8.797436949999999e-04, -4.076783721922422e-01
8.948514240000000e-04, -4.261760554858749e-01
9.099591520000000e-04, 9.562548759241368e-02
9.250668809999999e-04, 1.615320987588184e-01
9.401745160000001e-04, -1.895904545650090e-02
9.552822450000000e-04, -1.286356736651751e-01
9.703899730000000e-04, -7.235873842982536e-02
9.854977020000001e-04, -2.262909257093866e-01
1.000605430000000e-03, -2.383052922388441e-01
1.015713070000000e-03, -1.906714531323528e-01
1.030820790000000e-03, -2.978613942441658e-01
1.045928520000000e-03, -4.750259125398333e-01
1.061036250000000e-03, -4.716655789529463e-01
1.076143980000000e-03, -2.975613533606949e-01
1.091251710000000e-03, -2.102218189975163e-01
1.106359340000000e-03, -4.353951145668679e-01
1.121467070000000e-03, -4.292202418853068e-01
1.136574800000000e-03, -4.897665300616049e-01
1.151682530000000e-03, -4.565876410024629e-01
1.166790260000000e-03, -4.162974367327307e-01
1.181897890000000e-03, -7.055034564835022e-01
1.197005620000000e-03, -7.709411550188013e-01
1.212113350000000e-03, -3.788149941162084e-01
1.227221080000000e-03, -7.781462348755992e-01
1.242328810000000e-03, -4.116915065570001e-01
1.257436440000000e-03, -1.286416024253809e-01
1.272544170000000e-03, -1.153597598834735e-01
1.287651900000000e-03, -2.988106024048318e-01
1.302759630000000e-03, -4.487300145558700e-01
1.317867360000000e-03, -1.586205166374426e-01
1.332974990000000e-03, -4.069526408353487e-01
1.348082720000000e-03, -2.989671438678344e-01
1.363190450000000e-03, -2.166440924805583e-01
1.378298180000000e-03, -3.776843793187362e-04
1.393405910000000e-03, -2.199216021928024e-01
1.408513640000000e-03, -1.568353502963059e-01
1.423621270000000e-03, 1.092725013522322e-01
1.438729000000000e-03, 1.751371348263063e-01
1.453836730000000e-03, -1.192380380619644e-01
1.468944460000000e-03, -1.650861951120484e-01
1.484052180000000e-03, 2.440582730436228e-01
1.499159820000000e-03, 2.505977349408791e-01
1.514267550000000e-03, 5.341160749108523e-02
1.529375280000000e-03, 3.480829991906005e-01
1.544483010000000e-03, 1.524366798213848e-01
1.559590730000000e-03, 2.355948677195164e-01
1.574698460000000e-03, 3.331858674176545e-01
1.589806190000000e-03, 1.570853072930079e-01
1.604913920000000e-03, 6.731665019154275e-02
1.620021460000000e-03, 7.790720960689190e-02
1.635129190000000e-03, 2.652523534962317e-01
1.650236920000000e-03, 4.085355439234768e-01
1.665344650000000e-03, 5.307353119891678e-01
1.680452380000000e-03, 3.731824512972102e-01
1.695560110000000e-03, 1.693067236233156e-01
1.710667830000000e-03, 3.887842745531888e-01
1.725775560000000e-03, 2.653785041035759e-01
1.740883290000000e-03, 3.365265397690801e-01
1.755991020000000e-03, 3.746284498792962e-01
1.771098560000000e-03, 4.546854717051929e-01
1.786206290000000e-03, 4.925276870409871e-01
1.801314020000000e-03, 4.494080649550942e-01
1.816421750000000e-03, 3.737092984221518e-01
1.831529480000000e-03, 3.700446682099943e-01
1.846637200000000e-03, 5.582837141420813e-01
1.861744930000000e-03, 3.890364454448536e-01
1.876852660000000e-03, 3.008420414848335e-01
1.891960390000000e-03, -7.030169156489441e-03
1.907068120000000e-03, 3.536673807391576e-01
1.922175850000000e-03, 1.869203386326408e-01
1.937283390000000e-03, 1.924716046951223e-01
1.967498850000000e-03, 2.586252518009842e-01
2.012822030000000e-03, 1.505754599063920e-01
2.058145220000000e-03, 1.476065241962088e-02
2.103468220000000e-03, 1.206332255307932e-02
2.148791400000000e-03, 8.181449788903502e-03
2.194114590000000e-03, -1.765332526830496e-01
2.239437770000000e-03, -2.574169681818892e-01
2.284760770000000e-03, -3.076367863109236e-01
2.330083960000000e-03, -5.197933550288841e-01
2.375407140000000e-03, -3.760893573523791e-01
2.420730140000000e-03, -5.967278229205379e-01
2.466053330000000e-03, -5.193688473466378e-01
2.511376520000000e-03, -4.131170091571114e-01
2.556699700000000e-03, -5.337609366631366e-01
2.602022700000000e-03, -5.844201082058533e-01
2.662453610000000e-03, -6.584091262484486e-01
2.737992070000000e-03, -6.110056362670568e-01
2.813530710000000e-03, -4.822506711007729e-01
2.889069170000000e-03, -3.190928006935613e-01
2.964607810000000e-03, -1.648607433176226e-01
3.040146270000000e-03, -1.421119929004122e-01
3.115684910000000e-03, -6.447415995169818e-02
3.191223370000000e-03, -2.513098232226681e-03
3.266762200000000e-03, 1.948679699984475e-01
3.342300650000000e-03, 2.838339074151487e-01
3.417839110000000e-03, 2.851364028631214e-01
3.493377570000001e-03, 3.886494125739689e-01
3.568916400000000e-03, 4.105978956762265e-01
3.644454850000000e-03, 5.614950217565837e-01
3.719993310000000e-03, 3.777626205246536e-01
3.795531760000000e-03, 4.261843899391963e-01
3.871070590000001e-03, 3.703195388556824e-01
3.961716590000000e-03, 2.192155806215612e-01
4.067470880000000e-03, 7.988164232737310e-02
4.173224790000000e-03, 8.707403336197120e-02
4.278978710000000e-03, 6.241892894288926e-02
4.384732620000001e-03, -8.414356625656495e-02
4.490486530000000e-03, -8.213581385277910e-02
4.596240450000000e-03, -1.134695410446509e-01
4.701994730000001e-03, -1.533095263734519e-01
4.807748650000001e-03, -2.115454811223568e-01
4.913502560000001e-03, -1.902042790993423e-01
5.019256470000000e-03, -1.385717962361019e-01
5.125010390000000e-03, -1.523815033190228e-01
5.230764300000000e-03, -5.378511252391913e-02
5.351626130000000e-03, -9.059183688479601e-02
5.487595500000000e-03, -9.091293992883828e-02
5.623564870000000e-03, -1.218938771608530e-01
5.759534240000000e-03, -1.306983852359117e-01
5.895503610000000e-03, -2.294512511906830e-01
6.031472980000001e-03, -3.305878605830120e-01
6.167442350000000e-03, -3.437386314336226e-01
6.303411720000001e-03, -2.481115739088808e-01
6.439381090000001e-03, -2.716317648932058e-01
6.590458750000000e-03, -3.370069268525087e-01
6.756643210000001e-03, -2.322804667485466e-01
6.922828410000000e-03, -1.449744823975203e-01
7.089012860000000e-03, -1.394991981115075e-01
7.255197320000000e-03, -9.185082328612174e-02
7.421382520000000e-03, -6.925836055151695e-02
7.587566970000000e-03, -4.226600891548605e-02
7.753752170000000e-03, -1.205971241437466e-01
7.935044909999999e-03, -1.557507354534745e-01
8.131445200000000e-03, -7.784749992845183e-02
8.327845480000000e-03, -1.237736381252250e-01
8.524245020000000e-03, -7.097219469353071e-02
8.720645310000000e-03, -4.884210134787543e-02
8.917045590000000e-03, 2.767589272790533e-02
9.113445879999999e-03, 1.276317039318040e-01
9.324953710000000e-03, 4.294852181429847e-02
9.551569820000001e-03, 8.335061131344311e-04
9.778185190000000e-03, 4.680799236637460e-02
1.000480130000000e-02, -4.598399878690596e-03
1.023141670000000e-02, -2.202625253193892e-03
