<X>, <Y>
1.696813040000000e-04, 3.774771484375000e+04
1.847890210000000e-04, 3.380588281250000e+04
1.998967260000000e-04, 3.019087500000000e+04
2.150044310000000e-04, 2.691893554687500e+04
2.301121600000000e-04, 2.398915429687500e+04
2.452198650000000e-04, 2.138779687500000e+04
2.603275700000000e-04, 1.909268554687500e+04
2.754352750000000e-04, 1.707665234375000e+04
2.905429810000000e-04, 1.531047460937500e+04
3.056507090000000e-04, 1.376498437500000e+04
3.207584140000001e-04, 1.241240332031250e+04
3.358661200000000e-04, 1.122725390625000e+04
3.509738250000000e-04, 1.018666406250000e+04
3.660815540000000e-04, 9.270565429687500e+03
3.811892590000000e-04, 8.461558593750000e+03
3.962969870000000e-04, 7.744745605468750e+03
4.114046690000001e-04, 7.107418945312500e+03
4.265123980000001e-04, 6.538790527343750e+03
4.416200800000000e-04, 6.029760742187500e+03
4.567278080000000e-04, 5.572575195312500e+03
4.718355370000000e-04, 5.160667968750000e+03
4.869432190000000e-04, 4.788447265625000e+03
5.020509470000000e-04, 4.451111816406250e+03
5.171586760000000e-04, 4.144530273437500e+03
5.322663580000001e-04, 3.865139892578125e+03
5.473740860000001e-04, 3.609861572265625e+03
5.624817680000000e-04, 3.376018066406250e+03
5.775894970000000e-04, 3.161283935546875e+03
5.926972260000001e-04, 2.963634521484375e+03
6.078049070000000e-04, 2.781316162109375e+03
6.229126360000000e-04, 2.612793457031250e+03
6.380203180000000e-04, 2.456727294921875e+03
6.531280470000000e-04, 2.311948974609375e+03
6.682357750000000e-04, 2.177430664062500e+03
6.833434570000000e-04, 2.052270019531250e+03
6.984511860000000e-04, 1.935664306640625e+03
7.135589140000000e-04, 1.826902221679688e+03
7.286665960000000e-04, 1.725344116210938e+03
7.437743250000000e-04, 1.630418457031250e+03
7.588820070000001e-04, 1.541601440429688e+03
7.739897350000001e-04, 1.458429077148438e+03
7.890974170000001e-04, 1.380465942382812e+03
8.042051460000000e-04, 1.307323120117188e+03
8.193128740000000e-04, 1.238645019531250e+03
8.344206030000001e-04, 1.174104736328125e+03
8.495283310000001e-04, 1.113406005859375e+03
8.646359669999999e-04, 1.056277343750000e+03
8.797436949999999e-04, 1.002475158691406e+03
8.948514240000000e-04, 9.517711791992188e+02
9.099591520000000e-04, 9.039613647460938e+02
9.250668809999999e-04, 8.588563842773438e+02
9.401745160000001e-04, 8.162854003906250e+02
9.552822450000000e-04, 7.760859375000000e+02
9.703899730000000e-04, 7.381119384765625e+02
9.854977020000001e-04, 7.022244262695312e+02
1.000605430000000e-03, 6.682955932617188e+02
1.015713070000000e-03, 6.362069702148438e+02
1.030820790000000e-03, 6.058458251953125e+02
1.045928520000000e-03, 5.771068725585938e+02
1.061036250000000e-03, 5.498950195312500e+02
1.076143980000000e-03, 5.241188964843750e+02
1.091251710000000e-03, 4.996941528320312e+02
1.106359340000000e-03, 4.765441894531250e+02
1.121467070000000e-03, 4.545957641601562e+02
1.136574800000000e-03, 4.337817687988281e+02
1.151682530000000e-03, 4.140400390625000e+02
1.166790260000000e-03, 3.953123779296875e+02
1.181897890000000e-03, 3.775440979003906e+02
1.197005620000000e-03, 3.606827087402344e+02
1.212113350000000e-03, 3.446810302734375e+02
1.227221080000000e-03, 3.294927673339844e+02
1.242328810000000e-03, 3.150740051269531e+02
1.257436440000000e-03, 3.013848876953125e+02
1.272544170000000e-03, 2.883851928710938e+02
1.287651900000000e-03, 2.760391235351562e+02
1.302759630000000e-03, 2.643111267089844e+02
1.317867360000000e-03, 2.531712799072266e+02
1.332974990000000e-03, 2.425868835449219e+02
1.348082720000000e-03, 2.325306854248047e+02
1.363190450000000e-03, 2.229752807617188e+02
1.378298180000000e-03, 2.138953399658203e+02
1.393405910000000e-03, 2.052676239013672e+02
1.408513640000000e-03, 1.970686798095703e+02
1.423621270000000e-03, 1.892768249511719e+02
1.438729000000000e-03, 1.818712921142578e+02
1.453836730000000e-03, 1.748326873779297e+02
1.468944460000000e-03, 1.681416778564453e+02
1.484052180000000e-03, 1.617800598144531e+02
1.499159820000000e-03, 1.557313537597656e+02
1.514267550000000e-03, 1.499790649414062e+02
1.529375280000000e-03, 1.445075988769531e+02
1.544483010000000e-03, 1.393027496337891e+02
1.559590730000000e-03, 1.343502502441406e+02
1.574698460000000e-03, 1.296366882324219e+02
1.589806190000000e-03, 1.251497268676758e+02
