<X>, <Y>
1.847890210000000e-04, 2.934883289961474e+00
1.998967260000000e-04, -2.018780924547888e+00
2.150044310000000e-04, -8.246507692805003e-01
2.301121600000000e-04, -1.443807829684179e+00
2.452198650000000e-04, -2.837357374598439e+00
2.603275700000000e-04, 6.631167507422558e-01
2.754352750000000e-04, 6.491783624019881e+00
2.905429810000000e-04, 6.981792563888435e-02
3.056507090000000e-04, -2.404251618093538e+00
3.207584140000001e-04, -6.463756632367179e-01
3.358661200000000e-04, 9.846834017803434e-01
3.509738250000000e-04, 7.851145157050775e-02
3.660815540000000e-04, -3.185434568534483e-01
3.811892590000000e-04, 6.512379467768933e-01
3.962969870000000e-04, -7.231923267794053e-01
4.114046690000001e-04, -7.614415026061980e-01
4.265123980000001e-04, -1.321939100913332e-01
4.416200800000000e-04, 5.718545202568260e-01
4.567278080000000e-04, 1.191591174861381e+00
4.718355370000000e-04, 1.110948144740479e-01
4.869432190000000e-04, -1.366816991650455e+00
5.020509470000000e-04, -6.791486386294360e-01
5.171586760000000e-04, -2.413169034555295e-01
5.322663580000001e-04, 2.218251981492415e-02
5.473740860000001e-04, -1.151026698496231e-01
5.624817680000000e-04, -2.599768502435135e-01
5.775894970000000e-04, -2.066287552381706e-01
5.926972260000001e-04, 5.516050915321999e-03
6.078049070000000e-04, 2.669536621552822e-01
6.229126360000000e-04, 5.732355930288252e-01
6.380203180000000e-04, 4.730392369711873e-01
6.531280470000000e-04, 5.499751045436140e-01
6.682357750000000e-04, 1.528726085629059e-01
6.833434570000000e-04, 3.259593063039403e-01
6.984511860000000e-04, 5.253493381873293e-02
7.135589140000000e-04, -2.603937533879193e-01
7.286665960000000e-04, -4.751209185989570e-01
7.437743250000000e-04, 3.901054893538571e-01
7.588820070000001e-04, 8.296996400304722e-02
7.739897350000001e-04, -1.833235076881871e-01
7.890974170000001e-04, -1.915092154071519e-01
8.042051460000000e-04, -1.491470287297360e-02
8.193128740000000e-04, -2.002981948526761e-01
8.344206030000001e-04, -1.042670650848759e-01
8.495283310000001e-04, -6.959440851383200e-02
8.646359669999999e-04, 2.762942432757737e-01
8.797436949999999e-04, 5.682921060835611e-01
8.948514240000000e-04, 3.013822300716840e-01
9.099591520000000e-04, 2.204131589308012e-01
9.250668809999999e-04, -1.818766849870963e-01
9.401745160000001e-04, -4.135218576828325e-01
9.552822450000000e-04, 1.285894870391538e-02
9.703899730000000e-04, -3.687330535396568e-01
9.854977020000001e-04, -1.532765726555959e-01
1.000605430000000e-03, 1.950812411515296e-01
1.015713070000000e-03, -1.056666934394518e-01
1.030820790000000e-03, 9.918049486608597e-02
1.045928520000000e-03, 1.151446811094916e-01
1.061036250000000e-03, 8.512615826541703e-02
1.076143980000000e-03, -1.905159748825527e-01
1.091251710000000e-03, -7.233173484295040e-02
1.106359340000000e-03, 3.763740332487520e-02
1.121467070000000e-03, 9.393480104807714e-02
1.136574800000000e-03, 5.787870812535636e-03
1.151682530000000e-03, -2.122452598476236e-01
1.166790260000000e-03, -3.139515599949760e-01
1.181897890000000e-03, -1.613895317637493e-01
1.197005620000000e-03, -1.564210824151212e-01
1.212113350000000e-03, 5.415787256284407e-02
1.227221080000000e-03, 9.365210234896129e-02
1.242328810000000e-03, 1.049901503077870e-01
1.257436440000000e-03, 8.493800312431815e-02
1.272544170000000e-03, -1.005682529776444e-01
1.287651900000000e-03, 1.148071353054855e-01
1.302759630000000e-03, 1.697324781306267e-01
1.317867360000000e-03, 9.536902824414856e-02
1.332974990000000e-03, -8.406667272113676e-02
1.348082720000000e-03, -6.057163009714846e-02
1.363190450000000e-03, 1.250778272902227e-01
1.378298180000000e-03, -9.356939005277795e-02
1.393405910000000e-03, -3.134993835431926e-02
1.408513640000000e-03, 2.880306016112373e-01
1.423621270000000e-03, -1.625274298221358e-01
1.438729000000000e-03, 8.520446195230046e-02
1.453836730000000e-03, -1.993614247728674e-02
1.468944460000000e-03, -2.129548754104535e-02
1.484052180000000e-03, -3.411332902103492e-02
1.499159820000000e-03, -2.046613354974135e-02
1.514267550000000e-03, -1.296526764578260e-01
1.529375280000000e-03, 6.014340985386805e-02
1.544483010000000e-03, 1.435992975952649e-01
1.559590730000000e-03, 2.049466791459802e-02
1.574698460000000e-03, -2.564658411040816e-01
1.589806190000000e-03, 1.104204736775710e-01
1.604913920000000e-03, -1.348609890807126e-01
1.620021460000000e-03, -1.476687689868291e-02
1.635129190000000e-03, 3.382898910933657e-03
1.650236920000000e-03, -4.504933722479115e-02
1.665344650000000e-03, 1.885880942624543e-01
1.680452380000000e-03, 1.573744193094771e-01
1.695560110000000e-03, -1.003254124455753e-01
1.710667830000000e-03, -2.477759232864240e-02
1.725775560000000e-03, -2.016005074095613e-01
1.740883290000000e-03, 3.315884748441027e-02
1.755991020000000e-03, -1.920267070623126e-02
1.771098560000000e-03, -2.903403547999240e-01
1.786206290000000e-03, -1.679911493060587e-02
1.801314020000000e-03, 3.475317704436423e-01
1.816421750000000e-03, -1.860154583329477e-01
1.831529480000000e-03, -1.723407370475676e-01
1.846637200000000e-03, -1.788257357336004e-01
1.861744930000000e-03, -1.777509901956710e-01
1.876852660000000e-03, -1.997124595906198e-01
1.891960390000000e-03, -9.115306079871417e-02
1.907068120000000e-03, -1.458523918675990e-01
