<X>, <Y>, <dY>
1.092504590000000e-04, -6.773418750000000e+05, 2.182947020000000e+03
1.243581760000000e-04, -4.579612500000000e+04, 1.067027470000000e+03
1.394658820000000e-04, 1.070134380000000e+05, 6.816515500000000e+02
1.545735980000000e-04, 7.182853120000000e+04, 3.872294620000000e+02
1.696813040000000e-04, 4.756375000000000e+04, 2.519722750000000e+02
1.847890210000000e-04, 3.800193750000000e+04, 1.832633360000000e+02
1.998967260000000e-04, 3.373600780000000e+04, 1.441806950000000e+02
2.150044310000000e-04, 3.134441800000000e+04, 1.197271350000000e+02
2.301121600000000e-04, 2.773421480000000e+04, 1.011065600000000e+02
2.452198650000000e-04, 2.482378910000000e+04, 8.694350430000000e+01
2.603275700000000e-04, 2.221262500000000e+04, 7.605630490000000e+01
2.754352750000000e-04, 1.975897270000000e+04, 6.713551330000000e+01
2.905429810000000e-04, 1.751136330000000e+04, 5.809193040000000e+01
3.056507090000000e-04, 1.541795310000000e+04, 5.026669690000000e+01
3.207584140000001e-04, 1.410881840000000e+04, 4.442767330000000e+01
3.358661200000000e-04, 1.300582420000000e+04, 4.056576920000000e+01
3.509738250000000e-04, 1.152666020000000e+04, 3.706358720000000e+01
3.660815540000000e-04, 1.021107520000000e+04, 3.382597350000000e+01
3.811892590000000e-04, 9.321167970000000e+03, 3.136316110000000e+01
3.962969870000000e-04, 8.573944340000000e+03, 2.931070140000000e+01
4.114046690000001e-04, 7.820791500000000e+03, 2.730776410000000e+01
4.265123980000001e-04, 7.170159670000000e+03, 2.555792050000000e+01
4.416200800000000e-04, 6.534545900000000e+03, 2.389823340000000e+01
4.567278080000000e-04, 5.964605470000000e+03, 2.240732570000000e+01
4.718355370000000e-04, 5.407412110000000e+03, 2.092407990000000e+01
4.869432190000000e-04, 5.006105470000000e+03, 1.977319720000000e+01
5.020509470000000e-04, 4.670829590000000e+03, 1.875141910000000e+01
5.171586760000000e-04, 4.436437990000000e+03, 1.792061230000000e+01
5.322663580000001e-04, 4.187328610000000e+03, 1.705861090000000e+01
5.473740860000001e-04, 3.876260010000000e+03, 1.613367650000000e+01
5.624817680000000e-04, 3.606478030000000e+03, 1.531942460000000e+01
5.775894970000000e-04, 3.370968020000000e+03, 1.459118750000000e+01
5.926972260000001e-04, 3.155243160000000e+03, 1.389224910000000e+01
6.078049070000000e-04, 2.992895510000000e+03, 1.333791540000000e+01
6.229126360000000e-04, 2.767092770000000e+03, 1.262307360000000e+01
6.380203180000000e-04, 2.602649660000000e+03, 1.205954270000000e+01
6.531280470000000e-04, 2.460125980000000e+03, 1.158489700000000e+01
6.682357750000000e-04, 2.281488770000000e+03, 1.101525690000000e+01
6.833434570000000e-04, 2.160662110000000e+03, 1.060334300000000e+01
6.984511860000000e-04, 2.020050660000000e+03, 1.011728290000000e+01
7.135589140000000e-04, 1.919356930000000e+03, 9.747427940000000e+00
7.286665960000000e-04, 1.799706050000000e+03, 9.323540690000000e+00
7.437743250000000e-04, 1.704030270000000e+03, 8.983827590000001e+00
7.588820070000001e-04, 1.602150150000000e+03, 8.617965699999999e+00
7.739897350000001e-04, 1.512857790000000e+03, 8.282625200000000e+00
7.890974170000001e-04, 1.426817380000000e+03, 7.964365480000000e+00
8.042051460000000e-04, 1.346928470000000e+03, 7.658994670000000e+00
8.193128740000000e-04, 1.263768070000000e+03, 7.339476590000000e+00
8.344206030000001e-04, 1.208814580000000e+03, 7.119323250000000e+00
8.495283310000001e-04, 1.148861330000000e+03, 6.870022300000000e+00
8.646359669999999e-04, 1.084708010000000e+03, 6.626491070000000e+00
8.797436949999999e-04, 1.016134580000000e+03, 6.363683700000000e+00
8.948514240000000e-04, 9.665809940000000e+02, 6.147161010000000e+00
9.099591520000000e-04, 9.296597900000000e+02, 5.977322100000000e+00
9.250668809999999e-04, 8.807033690000000e+02, 5.775765900000000e+00
9.401745160000001e-04, 8.264898070000000e+02, 5.551817890000000e+00
9.552822450000000e-04, 7.849412840000000e+02, 5.360779290000000e+00
9.703899730000000e-04, 7.494180300000000e+02, 5.195552350000000e+00
9.854977020000001e-04, 7.101126710000000e+02, 5.032254220000000e+00
1.000605430000000e-03, 6.656090090000000e+02, 4.840600970000000e+00
1.015713070000000e-03, 6.409141240000000e+02, 4.710703370000000e+00
1.030820790000000e-03, 6.111978150000000e+02, 4.568641660000000e+00
1.045928520000000e-03, 5.746732790000000e+02, 4.403154850000000e+00
1.061036250000000e-03, 5.463964230000000e+02, 4.256090160000000e+00
1.076143980000000e-03, 5.295031130000000e+02, 4.158528800000000e+00
1.091251710000000e-03, 5.028937380000000e+02, 4.027004240000000e+00
1.106359340000000e-03, 4.790521550000000e+02, 3.909840350000000e+00
1.121467070000000e-03, 4.495992430000000e+02, 3.757550720000000e+00
1.136574800000000e-03, 4.369351810000000e+02, 3.680578950000000e+00
1.151682530000000e-03, 4.206583560000000e+02, 3.585298540000000e+00
1.166790260000000e-03, 3.990743100000000e+02, 3.467756750000000e+00
1.181897890000000e-03, 3.795949100000000e+02, 3.370110510000000e+00
1.197005620000000e-03, 3.593343510000000e+02, 3.264144900000000e+00
1.212113350000000e-03, 3.460684200000000e+02, 3.184155460000000e+00
1.227221080000000e-03, 3.281983340000000e+02, 3.085868600000000e+00
1.242328810000000e-03, 3.090406490000000e+02, 2.975363490000000e+00
1.257436440000000e-03, 2.963750920000000e+02, 2.900957580000000e+00
1.272544170000000e-03, 2.901298220000000e+02, 2.854998830000000e+00
1.287651900000000e-03, 2.818979800000000e+02, 2.789794450000000e+00
1.302759630000000e-03, 2.693990780000000e+02, 2.721056220000000e+00
1.317867360000000e-03, 2.498528900000000e+02, 2.610661980000000e+00
1.332974990000000e-03, 2.396440890000000e+02, 2.545264720000000e+00
1.348082720000000e-03, 2.330165410000000e+02, 2.500000720000000e+00
1.363190450000000e-03, 2.260225220000000e+02, 2.444242720000000e+00
1.378298180000000e-03, 2.182035520000000e+02, 2.393815760000000e+00
1.393405910000000e-03, 2.075227050000000e+02, 2.321484800000000e+00
1.408513640000000e-03, 1.999518280000000e+02, 2.267887590000000e+00
1.423621270000000e-03, 1.947502290000000e+02, 2.229760170000000e+00
