# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-prm/plot_files/3-28-4-prm_hs102_198_0003.txt
# SPEC date/time stamp	Sat Apr 01 11:00:47 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680364847.359
# Rayonix Save date/time stamp	04/01 11:00:47.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267410 408073 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0509921 199.944 45.7589 23.634 88.804 123.145 624.956 1525.83 2.39 3998.88 2144.72 97.7655 96.7286 96.7629 25.732 1422.76 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-prm/3-28-4-prm_hs102_198_0003.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2674.10000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	816146.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.6376843E-01	 1.6526094E-03	 4.8081222E-01	 2.3118039E-01	 6.4649281E-04	 6.5238466E-06	 3.1084164E-04	 3.1367452E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.0972667E+03	 1.1072667E+01	 4.1048458E-01	 4.1422555E-03	 1.3445848E-03	 1.3568388E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.6473262E-01	 1.6622513E-03	 4.8611382E-01	 2.3630664E-01	 6.5746946E-04	 6.6342627E-06	 3.1960499E-04	 3.2250068E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1037269E+03	 1.1137269E+01	 4.1290130E-01	 4.1664228E-03	 1.3525011E-03	 1.3647550E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.6504560E-01	 1.6653812E-03	 4.9144444E-01	 2.4151763E-01	 6.6594199E-04	 6.7196413E-06	 3.2727349E-04	 3.3023303E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1058239E+03	 1.1158239E+01	 4.1368580E-01	 4.1742678E-03	 1.3550708E-03	 1.3673247E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.6573076E-01	 1.6722328E-03	 4.9680407E-01	 2.4681429E-01	 6.7599938E-04	 6.8208719E-06	 3.3583925E-04	 3.3886370E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1104146E+03	 1.1204146E+01	 4.1540315E-01	 4.1914413E-03	 1.3606961E-03	 1.3729501E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.6581086E-01	 1.6730337E-03	 5.0219273E-01	 2.5219754E-01	 6.8366195E-04	 6.8981579E-06	 3.4333006E-04	 3.4642047E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1109512E+03	 1.1209512E+01	 4.1560391E-01	 4.1934488E-03	 1.3613537E-03	 1.3736077E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.6641096E-01	 1.6790347E-03	 5.0761040E-01	 2.5766832E-01	 6.9353831E-04	 6.9975854E-06	 3.5204726E-04	 3.5520471E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1149720E+03	 1.1249720E+01	 4.1710806E-01	 4.2084903E-03	 1.3662807E-03	 1.3785347E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.6727404E-01	 1.6876656E-03	 5.1305709E-01	 2.6322758E-01	 7.0461563E-04	 7.1090261E-06	 3.6150805E-04	 3.6473363E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1207547E+03	 1.1307547E+01	 4.1927138E-01	 4.2301235E-03	 1.3733669E-03	 1.3856208E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.6751163E-01	 1.6900415E-03	 5.1853280E-01	 2.6887626E-01	 7.1314727E-04	 7.1950134E-06	 3.6979025E-04	 3.7308505E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1223466E+03	 1.1323466E+01	 4.1986689E-01	 4.2360787E-03	 1.3753176E-03	 1.3875715E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.6847247E-01	 1.6996498E-03	 5.2403752E-01	 2.7461532E-01	 7.2485200E-04	 7.3127353E-06	 3.7984965E-04	 3.8321477E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1287843E+03	 1.1387843E+01	 4.2227522E-01	 4.2601620E-03	 1.3832063E-03	 1.3954603E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.6930982E-01	 1.7080233E-03	 5.2957125E-01	 2.8044571E-01	 7.3614703E-04	 7.4263637E-06	 3.8984230E-04	 3.9327887E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1343946E+03	 1.1443946E+01	 4.2437403E-01	 4.2811500E-03	 1.3900812E-03	 1.4023351E-05	 3.9700000E+02
