# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-prm/plot_files/3-28-4-prm_hs102_199_0001.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Sat Apr 01 11:02:17 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680364937.619
# Rayonix Save date/time stamp	04/01 11:02:14.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267771 408797 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 45.4534 23.653 90.299 123.166 624.954 1525.83 2.4 3998.87 2130.4 99.8782 98.9131 98.8937 25.7614 1422.76 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-prm/3-28-4-prm_hs102_199_0001.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2677.71000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	817594.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.6542750E-01	 1.6691737E-03	 4.8081222E-01	 2.3118039E-01	 6.5304218E-04	 6.5892359E-06	 3.1399066E-04	 3.1681851E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1103494E+03	 1.1203494E+01	 4.1481855E-01	 4.1855448E-03	 1.3582063E-03	 1.3704385E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.6660336E-01	 1.6809323E-03	 4.8611382E-01	 2.3630664E-01	 6.6493584E-04	 6.7088210E-06	 3.2323450E-04	 3.2612506E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1182417E+03	 1.1282417E+01	 4.1776708E-01	 4.2150301E-03	 1.3678604E-03	 1.3800926E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.6687979E-01	 1.6836966E-03	 4.9144444E-01	 2.4151763E-01	 6.7334274E-04	 6.7935421E-06	 3.3091054E-04	 3.3386485E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1200971E+03	 1.1300971E+01	 4.1846024E-01	 4.2219617E-03	 1.3701300E-03	 1.3823622E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.6770660E-01	 1.6919646E-03	 4.9680407E-01	 2.4681429E-01	 6.8405860E-04	 6.9013563E-06	 3.3984310E-04	 3.4286219E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1256467E+03	 1.1356467E+01	 4.2053350E-01	 4.2426943E-03	 1.3769183E-03	 1.3891505E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.6793805E-01	 1.6942792E-03	 5.0219273E-01	 2.5219754E-01	 6.9243266E-04	 6.9857561E-06	 3.4773465E-04	 3.5081959E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1272002E+03	 1.1372002E+01	 4.2111389E-01	 4.2484982E-03	 1.3788186E-03	 1.3910508E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.6866614E-01	 1.7015601E-03	 5.0761040E-01	 2.5766832E-01	 7.0293707E-04	 7.0914629E-06	 3.5681817E-04	 3.5997003E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1320871E+03	 1.1420871E+01	 4.2293962E-01	 4.2667555E-03	 1.3847964E-03	 1.3970287E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.6900754E-01	 1.7049741E-03	 5.1305709E-01	 2.6322758E-01	 7.1191770E-04	 7.1819354E-06	 3.6525443E-04	 3.6847429E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1343786E+03	 1.1443786E+01	 4.2379569E-01	 4.2753162E-03	 1.3875994E-03	 1.3998316E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.6956512E-01	 1.7105499E-03	 5.1853280E-01	 2.6887626E-01	 7.2188959E-04	 7.2823241E-06	 3.7432343E-04	 3.7761239E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1381211E+03	 1.1481211E+01	 4.2519386E-01	 4.2892979E-03	 1.3921773E-03	 1.4044095E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7051032E-01	 1.7200019E-03	 5.2403752E-01	 2.7461532E-01	 7.3361983E-04	 7.4002998E-06	 3.8444432E-04	 3.8780348E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1444652E+03	 1.1544652E+01	 4.2756399E-01	 4.3129992E-03	 1.3999376E-03	 1.4121698E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7114658E-01	 1.7263645E-03	 5.2957125E-01	 2.8044571E-01	 7.4413315E-04	 7.5061099E-06	 3.9407152E-04	 3.9750200E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1487358E+03	 1.1587358E+01	 4.2915946E-01	 4.3289539E-03	 1.4051615E-03	 1.4173938E-05	 3.9700000E+02
 4.8664336E+00	 7.3152854E-01	 1.7194539E-01	 1.7343526E-03	 5.3513400E-01	 2.8636840E-01	 7.5545936E-04	 7.6200524E-06	 4.0427199E-04	 4.0777491E-06	 7.3152854E-01	 7.3152854E+00	 8.5891185E+00	 8.5891185E-01	 1.1642638E-01	 1.1642638E+00	 1.1540975E+03	 1.1640975E+01	 4.3116252E-01	 4.3489845E-03	 1.4117200E-03	 1.4239522E-05	 4.1500000E+02
 4.8918082E+00	 7.3534057E-01	 1.7235756E-01	 1.7384743E-03	 5.4072575E-01	 2.9238434E-01	 7.6518318E-04	 7.7179747E-06	 4.1375425E-04	 4.1733077E-06	 7.3534057E-01	 7.3534057E+00	 8.5445922E+00	 8.5445922E-01	 1.1703309E-01	 1.1703309E+00	 1.1568639E+03	 1.1668639E+01	 4.3219606E-01	 4.3593199E-03	 1.4151040E-03	 1.4273362E-05	 3.9600000E+02
 4.9171828E+00	 7.3915257E-01	 1.7270198E-01	 1.7419185E-03	 5.4634652E-01	 2.9849452E-01	 7.7468209E-04	 7.8136513E-06	 4.2324486E-04	 4.2689612E-06	 7.3915257E-01	 7.3915257E+00	 8.5005256E+00	 8.5005256E-01	 1.1763979E-01	 1.1763979E+00	 1.1591757E+03	 1.1691757E+01	 4.3305970E-01	 4.3679563E-03	 1.4179318E-03	 1.4301640E-05	 4.1600000E+02
 4.9425574E+00	 7.4296453E-01	 1.7364047E-01	 1.7513034E-03	 5.5199630E-01	 3.0469991E-01	 7.8694637E-04	 7.9369853E-06	 4.3439148E-04	 4.3811865E-06	 7.4296453E-01	 7.4296453E+00	 8.4569115E+00	 8.4569115E-01	 1.1824648E-01	 1.1824648E+00	 1.1654748E+03	 1.1754748E+01	 4.3541302E-01	 4.3914895E-03	 1.4256371E-03	 1.4378693E-05	 4.1500000E+02
