# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-prm/plot_files/3-28-4-prm_hs103_199_0000.txt
# SPEC date/time stamp	Sat Apr 01 11:02:09 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680364929.845
# Rayonix Save date/time stamp	04/01 11:02:09.000000 2023
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266329 406347 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 45.3956 23.642 89.862 123.165 624.954 1525.83 2.4 3998.88 2127.69 99.3414 98.7598 99.0166 25.7295 1422.76 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-28-4-prm/3-28-4-prm_hs103_199_0000.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2663.29000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	812694.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.05
# X-coordinate location of direct beam (mm)	85.08500
# Y-coordinate location of direct beam (mm)	86.11600
# X-coordinate location of direct beam (pix)	480.16
# Y-coordinate location of direct beam (pix)	485.98
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.515
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17736
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 2.0517928E-01	 2.0745769E-03	 1.7709251E-02	 3.1361756E-04	 1.9625454E-05	 1.9843384E-07	 3.4755208E-07	 3.5141146E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 9.0053903E+02	 9.1053903E+00	 3.3825717E-01	 3.4201334E-03	 1.1082035E-03	 1.1205095E-05	 1.8500000E+02
 8.9506186E-01	 1.3458593E-01	 2.0451549E-01	 2.0679389E-03	 1.8113372E-02	 3.2809425E-04	 2.0008362E-05	 2.0231265E-07	 3.6241890E-07	 3.6645643E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 8.9762560E+02	 9.0762560E+00	 3.3716284E-01	 3.4091901E-03	 1.1046183E-03	 1.1169243E-05	 1.8500000E+02
 9.0510309E-01	 1.3609575E-01	 2.0420881E-01	 2.0648721E-03	 1.8522053E-02	 3.4306643E-04	 2.0429117E-05	 2.0657049E-07	 3.7838918E-07	 3.8261095E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 8.9627958E+02	 9.0627958E+00	 3.3665726E-01	 3.4041342E-03	 1.1029618E-03	 1.1152678E-05	 1.9500000E+02
 9.1514433E-01	 1.3760557E-01	 2.0480420E-01	 2.0708261E-03	 1.8935292E-02	 3.5854527E-04	 2.0945796E-05	 2.1178814E-07	 3.9661476E-07	 4.0102702E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 8.9889278E+02	 9.0889278E+00	 3.3763882E-01	 3.4139498E-03	 1.1061776E-03	 1.1184836E-05	 1.8300000E+02
 9.2518557E-01	 1.3911538E-01	 2.0394268E-01	 2.0622108E-03	 1.9353090E-02	 3.7454208E-04	 2.1317900E-05	 2.1556060E-07	 4.1256724E-07	 4.1717635E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 8.9511151E+02	 9.0511151E+00	 3.3621851E-01	 3.3997467E-03	 1.1015244E-03	 1.1138304E-05	 1.9600000E+02
 9.3522680E-01	 1.4062520E-01	 2.0402690E-01	 2.0630531E-03	 1.9775446E-02	 3.9106828E-04	 2.1792133E-05	 2.2035489E-07	 4.3094915E-07	 4.3576164E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 8.9548117E+02	 9.0548117E+00	 3.3635736E-01	 3.4011352E-03	 1.1019793E-03	 1.1142853E-05	 1.9500000E+02
 9.4526804E-01	 1.4213501E-01	 2.0390056E-01	 2.0617896E-03	 2.0202362E-02	 4.0813542E-04	 2.2248799E-05	 2.2497409E-07	 4.4947828E-07	 4.5450080E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 8.9492665E+02	 9.0492665E+00	 3.3614907E-01	 3.3990524E-03	 1.1012969E-03	 1.1136029E-05	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 2.0312504E-01	 2.0540345E-03	 2.0633836E-02	 4.2575519E-04	 2.2637552E-05	 2.2891472E-07	 4.6709953E-07	 4.7233887E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 8.9152289E+02	 9.0152289E+00	 3.3487056E-01	 3.3862673E-03	 1.0971082E-03	 1.1094142E-05	 2.0100000E+02
 9.6535052E-01	 1.4515464E-01	 2.0289481E-01	 2.0517321E-03	 2.1069869E-02	 4.4393938E-04	 2.3089726E-05	 2.3349012E-07	 4.8649750E-07	 4.9196062E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 8.9051237E+02	 9.0051237E+00	 3.3449100E-01	 3.3824716E-03	 1.0958647E-03	 1.1081707E-05	 1.9600000E+02
 9.7539175E-01	 1.4666445E-01	 2.0330462E-01	 2.0558303E-03	 2.1510461E-02	 4.6269992E-04	 2.3620168E-05	 2.3884876E-07	 5.0808070E-07	 5.1377468E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 8.9231108E+02	 9.0231108E+00	 3.3516662E-01	 3.3892278E-03	 1.0980782E-03	 1.1103842E-05	 2.0700000E+02
