# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-prm/plot_files/3-28-4-prm_hs104_198_0000.txt
# SPEC date/time stamp	Sat Apr 01 11:00:32 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680364832.567
# Rayonix Save date/time stamp	04/01 11:00:31.000000 2023
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 268784 410524 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 46.5793 23.63 88.351 123.137 624.96 1525.84 2.4 3998.87 2183.17 97.512 96.3998 96.3932 25.7446 1422.75 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-28-4-prm/3-28-4-prm_hs104_198_0000.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2687.84000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	821048.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8501.1
# X-coordinate location of direct beam (mm)	33.40600
# Y-coordinate location of direct beam (mm)	136.61200
# X-coordinate location of direct beam (pix)	188.52
# Y-coordinate location of direct beam (pix)	770.95
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1465.840
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.294
# Number of integrated 2-theta bins	1070
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17721
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597196E-02	 2.4956619E-03	 4.0590963E+01	 3.1520123E+00	 6.2283284E-06	 3.8792074E-11	 1.7247029E-08	 1.3392845E-09	 1.0742016E-13	 8.3415034E-15	 2.4956619E-03	 2.4956619E-02	 2.5176428E+03	 2.5176428E+02	 3.9719693E-04	 3.9719693E-03	 2.2733575E+03	 1.7653316E+02	 8.4610796E-01	 6.5702867E-02	 2.7691264E-03	 2.1503113E-04	 2.8000000E+01
 1.7791589E-02	 2.6752585E-03	 3.3637434E+01	 1.5623294E+00	 7.1570081E-06	 5.1222764E-11	 1.6423579E-08	 7.6281207E-10	 1.1754368E-13	 5.4594521E-15	 2.6752585E-03	 2.6752585E-02	 2.3486274E+03	 2.3486274E+02	 4.2578061E-04	 4.2578061E-03	 1.8839148E+03	 8.7500596E+01	 7.0116347E-01	 3.2566347E-02	 2.2947548E-03	 1.0658254E-04	 3.5000000E+01
 1.8985981E-02	 2.8548551E-03	 2.7231781E+01	 1.4076808E+00	 8.1501976E-06	 6.6425721E-11	 1.5141107E-08	 7.8268272E-10	 1.2340301E-13	 6.3790188E-15	 2.8548551E-03	 2.8548551E-02	 2.2008771E+03	 2.2008771E+02	 4.5436430E-04	 4.5436430E-03	 1.5251566E+03	 7.8839265E+01	 5.6763932E-01	 2.9342735E-02	 1.8577595E-03	 9.6032361E-05	 3.2000000E+01
 2.0180374E-02	 3.0344517E-03	 2.2366460E+01	 1.1640853E+00	 9.2078970E-06	 8.4785368E-11	 1.4049832E-08	 7.3123792E-10	 1.2936941E-13	 6.7331635E-15	 3.0344517E-03	 3.0344517E-02	 2.0706164E+03	 2.0706164E+02	 4.8294799E-04	 4.8294799E-03	 1.2526670E+03	 6.5196340E+01	 4.6622297E-01	 2.4265053E-02	 1.5258459E-03	 7.9414216E-05	 3.6000000E+01
 2.1374766E-02	 3.2140483E-03	 1.8214659E+01	 9.1952108E-01	 1.0330106E-05	 1.0671110E-10	 1.2836283E-08	 6.4800732E-10	 1.3260016E-13	 6.6939846E-15	 3.2140483E-03	 3.2140483E-02	 1.9549132E+03	 1.9549132E+02	 5.1153167E-04	 5.1153167E-03	 1.0201392E+03	 5.1499153E+01	 3.7967978E-01	 1.9167175E-02	 1.2426089E-03	 6.2729976E-05	 3.6000000E+01
 2.2569159E-02	 3.3936449E-03	 1.5158491E+01	 7.5158582E-01	 1.1516826E-05	 1.3263727E-10	 1.1909737E-08	 5.9050666E-10	 1.3716237E-13	 6.8007621E-15	 3.3936449E-03	 3.3936449E-02	 1.8514563E+03	 1.8514563E+02	 5.4011536E-04	 5.4011536E-03	 8.4897393E+02	 4.2093687E+01	 3.1597475E-01	 1.5666609E-02	 1.0341163E-03	 5.1273387E-05	 3.8000000E+01
 2.3763551E-02	 3.5732415E-03	 1.2587424E+01	 5.9271679E-01	 1.2768055E-05	 1.6302322E-10	 1.0964151E-08	 5.1628010E-10	 1.3999088E-13	 6.5918925E-15	 3.5732415E-03	 3.5732415E-02	 1.7583993E+03	 1.7583993E+02	 5.6869904E-04	 5.6869904E-03	 7.0497749E+02	 3.3195989E+01	 2.6238154E-01	 1.2355026E-02	 8.5871746E-04	 4.0435299E-05	 4.4000000E+01
 2.4957944E-02	 3.7528381E-03	 1.0598949E+01	 5.6861128E-01	 1.4083793E-05	 1.9835324E-10	 1.0183472E-08	 5.4632182E-10	 1.4342192E-13	 7.6942837E-15	 3.7528381E-03	 3.7528381E-02	 1.6742490E+03	 1.6742490E+02	 5.9728273E-04	 5.9728273E-03	 5.9360997E+02	 3.1845924E+01	 2.2093230E-01	 1.1852553E-02	 7.2306314E-04	 3.8790815E-05	 4.1000000E+01
 2.6152336E-02	 3.9324346E-03	 9.2028053E+00	 4.9795994E-01	 1.5464042E-05	 2.3913660E-10	 9.7086019E-09	 5.2532838E-10	 1.5013423E-13	 8.1237003E-15	 3.9324346E-03	 3.9324346E-02	 1.5977851E+03	 1.5977851E+02	 6.2586641E-04	 6.2586641E-03	 5.1541686E+02	 2.7888991E+01	 1.9183006E-01	 1.0379844E-02	 6.2781786E-04	 3.3970962E-05	 4.8000000E+01
 2.7346729E-02	 4.1120312E-03	 7.6675923E+00	 3.6876068E-01	 1.6908801E-05	 2.8590755E-10	 8.8447438E-09	 4.2537391E-10	 1.4955401E-13	 7.1925627E-15	 4.1120312E-03	 4.1120312E-02	 1.5280004E+03	 1.5280004E+02	 6.5445010E-04	 6.5445010E-03	 4.2943497E+02	 2.0652993E+01	 1.5982895E-01	 7.6867195E-03	 5.2308522E-04	 2.5156953E-05	 4.6000000E+01
