# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs102_200_0066.txt
# SPEC date/time stamp	Sat Apr 01 11:11:07 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680365467.753
# Rayonix Save date/time stamp	04/01 11:11:07.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266384 406420 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 45.9326 23.666 90.11 123.185 624.956 1525.83 2.4 3998.87 2152.86 99.0266 98.2458 98.4592 25.8682 1422.74 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-rxn/3-28-4-rxn_hs102_200_0066.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2663.84000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	812840.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.6694611E-01	 1.6844470E-03	 4.8081222E-01	 2.3118039E-01	 6.5903705E-04	 6.6495286E-06	 3.1687306E-04	 3.1971746E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1140261E+03	 1.1240261E+01	 4.1835998E-01	 4.2211537E-03	 1.3706745E-03	 1.3829783E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.6718380E-01	 1.6868238E-03	 4.8611382E-01	 2.3630664E-01	 6.6725244E-04	 6.7323348E-06	 3.2436063E-04	 3.2726810E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1156122E+03	 1.1256122E+01	 4.1895561E-01	 4.2271099E-03	 1.3726259E-03	 1.3849297E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.6727234E-01	 1.6877092E-03	 4.9144444E-01	 2.4151763E-01	 6.7492663E-04	 6.8097326E-06	 3.3168894E-04	 3.3466052E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1162030E+03	 1.1262030E+01	 4.1917748E-01	 4.2293287E-03	 1.3733529E-03	 1.3856567E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.6764078E-01	 1.6913936E-03	 4.9680407E-01	 2.4681429E-01	 6.8379014E-04	 6.8990271E-06	 3.3970973E-04	 3.4274648E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1186616E+03	 1.1286616E+01	 4.2010078E-01	 4.2385617E-03	 1.3763779E-03	 1.3886817E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.6830866E-01	 1.6980724E-03	 5.0219273E-01	 2.5219754E-01	 6.9396074E-04	 7.0013961E-06	 3.4850204E-04	 3.5160502E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1231183E+03	 1.1331183E+01	 4.2177446E-01	 4.2552985E-03	 1.3818614E-03	 1.3941652E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.6881857E-01	 1.7031716E-03	 5.0761040E-01	 2.5766832E-01	 7.0357235E-04	 7.0981788E-06	 3.5714064E-04	 3.6031094E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1265210E+03	 1.1365210E+01	 4.2305229E-01	 4.2680768E-03	 1.3860479E-03	 1.3983517E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.6943233E-01	 1.7093092E-03	 5.1305709E-01	 2.6322758E-01	 7.1370709E-04	 7.2001964E-06	 3.6617249E-04	 3.6941118E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1306166E+03	 1.1406166E+01	 4.2459035E-01	 4.2834574E-03	 1.3910871E-03	 1.4033909E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.6985118E-01	 1.7134976E-03	 5.1853280E-01	 2.6887626E-01	 7.2310742E-04	 7.2948734E-06	 3.7495492E-04	 3.7826311E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1334115E+03	 1.1434115E+01	 4.2563996E-01	 4.2939534E-03	 1.3945259E-03	 1.4068297E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7016151E-01	 1.7166009E-03	 5.2403752E-01	 2.7461532E-01	 7.3211909E-04	 7.3856674E-06	 3.8365787E-04	 3.8703668E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1354823E+03	 1.1454823E+01	 4.2641763E-01	 4.3017302E-03	 1.3970738E-03	 1.4093776E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7086271E-01	 1.7236130E-03	 5.2957125E-01	 2.8044571E-01	 7.4289891E-04	 7.4941465E-06	 3.9341791E-04	 3.9686845E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1401615E+03	 1.1501615E+01	 4.2817482E-01	 4.3193021E-03	 1.4028309E-03	 1.4151347E-05	 3.9700000E+02
