# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs102_200_0278.txt
# SPEC date/time stamp	Sat Apr 01 11:28:50 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680366530.897
# Rayonix Save date/time stamp	04/01 11:28:48.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266726 407648 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 44.8393 23.634 90.922 123.138 624.925 1525.81 2.4 3998.87 2101.62 100 98.8967 98.8389 25.8084 1422.71 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-rxn/3-28-4-rxn_hs102_200_0278.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2667.26000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	815296.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.7199028E-01	 1.7348435E-03	 4.8081222E-01	 2.3118039E-01	 6.7894940E-04	 6.8484739E-06	 3.2644717E-04	 3.2928300E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1511537E+03	 1.1611537E+01	 4.3174833E-01	 4.3549890E-03	 1.4120885E-03	 1.4243552E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.7240176E-01	 1.7389583E-03	 4.8611382E-01	 2.3630664E-01	 6.8807800E-04	 6.9404103E-06	 3.3448423E-04	 3.3738293E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1539078E+03	 1.1639078E+01	 4.3278128E-01	 4.3653185E-03	 1.4154669E-03	 1.4277336E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.7202561E-01	 1.7351967E-03	 4.9144444E-01	 2.4151763E-01	 6.9410558E-04	 7.0013399E-06	 3.4111432E-04	 3.4407695E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1513902E+03	 1.1613902E+01	 4.3183702E-01	 4.3558759E-03	 1.4123785E-03	 1.4246453E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.7251183E-01	 1.7400590E-03	 4.9680407E-01	 2.4681429E-01	 7.0365869E-04	 7.0975285E-06	 3.4958050E-04	 3.5260811E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1546446E+03	 1.1646446E+01	 4.3305760E-01	 4.3680817E-03	 1.4163706E-03	 1.4286373E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.7244677E-01	 1.7394084E-03	 5.0219273E-01	 2.5219754E-01	 7.1102276E-04	 7.1718302E-06	 3.5707046E-04	 3.6016410E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1542091E+03	 1.1642091E+01	 4.3289427E-01	 4.3664484E-03	 1.4158364E-03	 1.4281032E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.7312334E-01	 1.7461741E-03	 5.0761040E-01	 2.5766832E-01	 7.2151301E-04	 7.2773972E-06	 3.6624751E-04	 3.6940826E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1587375E+03	 1.1687375E+01	 4.3459268E-01	 4.3834325E-03	 1.4213913E-03	 1.4336580E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.7371820E-01	 1.7521227E-03	 5.1305709E-01	 2.6322758E-01	 7.3176061E-04	 7.3805414E-06	 3.7543497E-04	 3.7866391E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1627189E+03	 1.1727189E+01	 4.3608594E-01	 4.3983652E-03	 1.4262752E-03	 1.4385419E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.7434312E-01	 1.7583719E-03	 5.1853280E-01	 2.6887626E-01	 7.4223096E-04	 7.4859166E-06	 3.8487110E-04	 3.8816933E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1669016E+03	 1.1769016E+01	 4.3765469E-01	 4.4140526E-03	 1.4314060E-03	 1.4436727E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7504853E-01	 1.7654259E-03	 5.2403752E-01	 2.7461532E-01	 7.5314545E-04	 7.5957368E-06	 3.9467647E-04	 3.9804511E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1716230E+03	 1.1816230E+01	 4.3942548E-01	 4.4317605E-03	 1.4371976E-03	 1.4494643E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7555769E-01	 1.7705176E-03	 5.2957125E-01	 2.8044571E-01	 7.6331234E-04	 7.6980844E-06	 4.0422827E-04	 4.0766842E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1750309E+03	 1.1850309E+01	 4.4070364E-01	 4.4445421E-03	 1.4413780E-03	 1.4536447E-05	 3.9700000E+02
 4.8664336E+00	 7.3152854E-01	 1.7629242E-01	 1.7778649E-03	 5.3513400E-01	 2.8636840E-01	 7.7455847E-04	 7.8112281E-06	 4.1449257E-04	 4.1800537E-06	 7.3152854E-01	 7.3152854E+00	 8.5891185E+00	 8.5891185E-01	 1.1642638E-01	 1.1642638E+00	 1.1799486E+03	 1.1899486E+01	 4.4254804E-01	 4.4629861E-03	 1.4474103E-03	 1.4596770E-05	 4.1500000E+02
