# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs102_200_0426.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Sat Apr 01 11:41:12 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367272.159
# Rayonix Save date/time stamp	04/01 11:41:09.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 268049 409731 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 46.7416 23.609 90.558 123.125 624.929 1525.84 2.4 3998.87 2190.78 99.261 98.0715 98.2427 25.8981 1422.73 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-rxn/3-28-4-rxn_hs102_200_0426.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2680.49000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	819462.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.7347277E-01	 1.7495924E-03	 4.8081222E-01	 2.3118039E-01	 6.8480169E-04	 6.9066969E-06	 3.2926102E-04	 3.3208243E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1670097E+03	 1.1770097E+01	 4.3553411E-01	 4.3926616E-03	 1.4242602E-03	 1.4364645E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.7367174E-01	 1.7515822E-03	 4.8611382E-01	 2.3630664E-01	 6.9314668E-04	 6.9907939E-06	 3.3694818E-04	 3.3983215E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1683483E+03	 1.1783483E+01	 4.3603367E-01	 4.3976572E-03	 1.4258938E-03	 1.4380982E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.7347503E-01	 1.7496150E-03	 4.9144444E-01	 2.4151763E-01	 6.9995387E-04	 7.0595163E-06	 3.4398843E-04	 3.4693600E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1670250E+03	 1.1770250E+01	 4.3553979E-01	 4.3927184E-03	 1.4242787E-03	 1.4364831E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.7356854E-01	 1.7505501E-03	 4.9680407E-01	 2.4681429E-01	 7.0796889E-04	 7.1403207E-06	 3.5172183E-04	 3.5473404E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1676540E+03	 1.1776540E+01	 4.3577456E-01	 4.3950661E-03	 1.4250465E-03	 1.4372508E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.7398416E-01	 1.7547064E-03	 5.0219273E-01	 2.5219754E-01	 7.1736166E-04	 7.2349060E-06	 3.6025381E-04	 3.6333172E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1704501E+03	 1.1804501E+01	 4.3681806E-01	 4.4055011E-03	 1.4284589E-03	 1.4406632E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.7463830E-01	 1.7612477E-03	 5.0761040E-01	 2.5766832E-01	 7.2782675E-04	 7.3402181E-06	 3.6945243E-04	 3.7259711E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1748506E+03	 1.1848506E+01	 4.3846037E-01	 4.4219242E-03	 1.4338295E-03	 1.4460338E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.7544846E-01	 1.7693493E-03	 5.1305709E-01	 2.6322758E-01	 7.3904908E-04	 7.4531061E-06	 3.7917437E-04	 3.8238690E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1803009E+03	 1.1903009E+01	 4.4049444E-01	 4.4422649E-03	 1.4404812E-03	 1.4526855E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.7640094E-01	 1.7788741E-03	 5.1853280E-01	 2.6887626E-01	 7.5099171E-04	 7.5732007E-06	 3.8941383E-04	 3.9269530E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1867085E+03	 1.1967085E+01	 4.4288580E-01	 4.4661785E-03	 1.4483013E-03	 1.4605056E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7753407E-01	 1.7902054E-03	 5.2403752E-01	 2.7461532E-01	 7.6383949E-04	 7.7023503E-06	 4.0028055E-04	 4.0363205E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1943315E+03	 1.2043315E+01	 4.4573072E-01	 4.4946277E-03	 1.4576046E-03	 1.4698089E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7804551E-01	 1.7953198E-03	 5.2957125E-01	 2.8044571E-01	 7.7412920E-04	 7.8059228E-06	 4.0995657E-04	 4.1337923E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1977721E+03	 1.2077721E+01	 4.4701479E-01	 4.5074684E-03	 1.4618037E-03	 1.4740080E-05	 3.9700000E+02
