# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs102_200_0478.txt
# SPEC date/time stamp	Sat Apr 01 11:45:31 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367531.440
# Rayonix Save date/time stamp	04/01 11:45:29.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267052 408013 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 44.8048 23.611 90.826 123.122 624.914 1525.81 2.4 3998.87 2100 99.7542 98.6146 98.6782 25.8901 1422.75 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-rxn/3-28-4-rxn_hs102_200_0478.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2670.52000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	816026.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.7403314E-01	 1.7552587E-03	 4.8081222E-01	 2.3118039E-01	 6.8701381E-04	 6.9290652E-06	 3.3032464E-04	 3.3315792E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1658700E+03	 1.1758700E+01	 4.3673376E-01	 4.4047976E-03	 1.4288610E-03	 1.4411167E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.7430986E-01	 1.7580259E-03	 4.8611382E-01	 2.3630664E-01	 6.9569349E-04	 7.0165118E-06	 3.3818622E-04	 3.4108233E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1677238E+03	 1.1777238E+01	 4.3742820E-01	 4.4117419E-03	 1.4311329E-03	 1.4433887E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.7404398E-01	 1.7553671E-03	 4.9144444E-01	 2.4151763E-01	 7.0224951E-04	 7.0827253E-06	 3.4511661E-04	 3.4807659E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1659426E+03	 1.1759426E+01	 4.3676097E-01	 4.4050696E-03	 1.4289500E-03	 1.4412057E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.7443866E-01	 1.7593139E-03	 4.9680407E-01	 2.4681429E-01	 7.1151802E-04	 7.1760672E-06	 3.5348505E-04	 3.5650994E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1685866E+03	 1.1785866E+01	 4.3775141E-01	 4.4149740E-03	 1.4321904E-03	 1.4444461E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.7464043E-01	 1.7613316E-03	 5.0219273E-01	 2.5219754E-01	 7.2006753E-04	 7.2622228E-06	 3.6161268E-04	 3.6470355E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1699383E+03	 1.1799383E+01	 4.3825775E-01	 4.4200374E-03	 1.4338470E-03	 1.4461027E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.7516803E-01	 1.7666076E-03	 5.0761040E-01	 2.5766832E-01	 7.3003450E-04	 7.3625565E-06	 3.7057311E-04	 3.7373103E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1734728E+03	 1.1834728E+01	 4.3958177E-01	 4.4332776E-03	 1.4381788E-03	 1.4504345E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.7580221E-01	 1.7729494E-03	 5.1305709E-01	 2.6322758E-01	 7.4053917E-04	 7.4682707E-06	 3.7993888E-04	 3.8316493E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1777212E+03	 1.1877212E+01	 4.4117321E-01	 4.4491921E-03	 1.4433855E-03	 1.4556412E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.7631570E-01	 1.7780843E-03	 5.1853280E-01	 2.6887626E-01	 7.5062881E-04	 7.5698382E-06	 3.8922566E-04	 3.9252094E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1811611E+03	 1.1911611E+01	 4.4246181E-01	 4.4620780E-03	 1.4476014E-03	 1.4598572E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7688520E-01	 1.7837793E-03	 5.2403752E-01	 2.7461532E-01	 7.6104773E-04	 7.6747020E-06	 3.9881756E-04	 4.0218318E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1849763E+03	 1.1949763E+01	 4.4389097E-01	 4.4763696E-03	 1.4522772E-03	 1.4645329E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7788205E-01	 1.7937478E-03	 5.2957125E-01	 2.8044571E-01	 7.7341846E-04	 7.7990875E-06	 4.0958018E-04	 4.1301726E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1916543E+03	 1.2016543E+01	 4.4639254E-01	 4.5013853E-03	 1.4604616E-03	 1.4727173E-05	 3.9700000E+02
