# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs102_200_0479.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Sat Apr 01 11:45:37 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367537.421
# Rayonix Save date/time stamp	04/01 11:45:34.000000 2023
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 268236 409392 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 45.2315 23.608 90.629 123.122 624.912 1525.8 2.4 3998.87 2120 99.1424 98.1131 98.3115 25.8723 1422.75 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-28-4-rxn/3-28-4-rxn_hs102_200_0479.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2682.36000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	818784.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.15
# X-coordinate location of direct beam (mm)	85.02100
# Y-coordinate location of direct beam (mm)	86.28600
# X-coordinate location of direct beam (pix)	959.60
# Y-coordinate location of direct beam (pix)	973.88
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.180
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1001
# Width of 2-theta integrated bins (degrees)	0.02537
# Width on detector at 2-theta=0 (mm)	0.08864
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126873E+00	 6.9340624E-01	 1.7428149E-01	 1.7576919E-03	 4.8081222E-01	 2.3118039E-01	 6.8799420E-04	 6.9386707E-06	 3.3079602E-04	 3.3361976E-06	 6.9340624E-01	 6.9340624E+00	 9.0613336E+00	 9.0613336E-01	 1.1035903E-01	 1.1035903E+00	 1.1714801E+03	 1.1814801E+01	 4.3689757E-01	 4.4062702E-03	 1.4309000E-03	 1.4431145E-05	 3.7900000E+02
 4.6380619E+00	 6.9721863E-01	 1.7476822E-01	 1.7625592E-03	 4.8611382E-01	 2.3630664E-01	 6.9752285E-04	 7.0346047E-06	 3.3907549E-04	 3.4196185E-06	 6.9721863E-01	 6.9721863E+00	 9.0117863E+00	 9.0117863E-01	 1.1096579E-01	 1.1096579E+00	 1.1747518E+03	 1.1847518E+01	 4.3811772E-01	 4.4184717E-03	 1.4348962E-03	 1.4471106E-05	 3.9700000E+02
 4.6634366E+00	 7.0103098E-01	 1.7444808E-01	 1.7593578E-03	 4.9144444E-01	 2.4151763E-01	 7.0388000E-04	 7.0988273E-06	 3.4591791E-04	 3.4886792E-06	 7.0103098E-01	 7.0103098E+00	 8.9627784E+00	 8.9627784E-01	 1.1157255E-01	 1.1157255E+00	 1.1725999E+03	 1.1825999E+01	 4.3731518E-01	 4.4104463E-03	 1.4322677E-03	 1.4444822E-05	 3.8300000E+02
 4.6888112E+00	 7.0484330E-01	 1.7463889E-01	 1.7612660E-03	 4.9680407E-01	 2.4681429E-01	 7.1233476E-04	 7.1840296E-06	 3.5389081E-04	 3.5690551E-06	 7.0484330E-01	 7.0484330E+00	 8.9143010E+00	 8.9143010E-01	 1.1217929E-01	 1.1217929E+00	 1.1738825E+03	 1.1838825E+01	 4.3779353E-01	 4.4152298E-03	 1.4338344E-03	 1.4460488E-05	 3.9800000E+02
 4.7141858E+00	 7.0865558E-01	 1.7492828E-01	 1.7641599E-03	 5.0219273E-01	 2.5219754E-01	 7.2125440E-04	 7.2738841E-06	 3.6220872E-04	 3.6528917E-06	 7.0865558E-01	 7.0865558E+00	 8.8663456E+00	 8.8663456E-01	 1.1278604E-01	 1.1278604E+00	 1.1758277E+03	 1.1858277E+01	 4.3851899E-01	 4.4224844E-03	 1.4362104E-03	 1.4484248E-05	 3.8600000E+02
 4.7395604E+00	 7.1246783E-01	 1.7555611E-01	 1.7704382E-03	 5.0761040E-01	 2.5766832E-01	 7.3165187E-04	 7.3785206E-06	 3.7139410E-04	 3.7454138E-06	 7.1246783E-01	 7.1246783E+00	 8.8189039E+00	 8.8189039E-01	 1.1339278E-01	 1.1339278E+00	 1.1800478E+03	 1.1900478E+01	 4.4009286E-01	 4.4382231E-03	 1.4413650E-03	 1.4535795E-05	 4.0100000E+02
 4.7649351E+00	 7.1628004E-01	 1.7612429E-01	 1.7761200E-03	 5.1305709E-01	 2.6322758E-01	 7.4189591E-04	 7.4816263E-06	 3.8063496E-04	 3.8385015E-06	 7.1628004E-01	 7.1628004E+00	 8.7719676E+00	 8.7719676E-01	 1.1399951E-01	 1.1399951E+00	 1.1838670E+03	 1.1938670E+01	 4.4151721E-01	 4.4524666E-03	 1.4460299E-03	 1.4582444E-05	 3.9400000E+02
 4.7903097E+00	 7.2009222E-01	 1.7677266E-01	 1.7826037E-03	 5.1853280E-01	 2.6887626E-01	 7.5257425E-04	 7.5890785E-06	 3.9023443E-04	 3.9351861E-06	 7.2009222E-01	 7.2009222E+00	 8.7255287E+00	 8.7255287E-01	 1.1460624E-01	 1.1460624E+00	 1.1882252E+03	 1.1982252E+01	 4.4314257E-01	 4.4687202E-03	 1.4513532E-03	 1.4635677E-05	 3.9600000E+02
 4.8156843E+00	 7.2390436E-01	 1.7766916E-01	 1.7915686E-03	 5.2403752E-01	 2.7461532E-01	 7.6442073E-04	 7.7082156E-06	 4.0058514E-04	 4.0393942E-06	 7.2390436E-01	 7.2390436E+00	 8.6795793E+00	 8.6795793E-01	 1.1521296E-01	 1.1521296E+00	 1.1942513E+03	 1.2042513E+01	 4.4538996E-01	 4.4911941E-03	 1.4587137E-03	 1.4709282E-05	 4.0800000E+02
 4.8410589E+00	 7.2771646E-01	 1.7826092E-01	 1.7974862E-03	 5.2957125E-01	 2.8044571E-01	 7.7506578E-04	 7.8153421E-06	 4.1045256E-04	 4.1387805E-06	 7.2771646E-01	 7.2771646E+00	 8.6341118E+00	 8.6341118E-01	 1.1581967E-01	 1.1581967E+00	 1.1982289E+03	 1.2082289E+01	 4.4687341E-01	 4.5060286E-03	 1.4635722E-03	 1.4757867E-05	 3.9700000E+02
