# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs103_200_0278.txt
# SPEC date/time stamp	Sat Apr 01 11:28:48 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680366528.678
# Rayonix Save date/time stamp	04/01 11:28:48.000000 2023
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266726 407648 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 44.8393 23.634 90.922 123.138 624.925 1525.81 2.4 3998.87 2101.62 100 98.8967 98.8389 25.8084 1422.71 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-28-4-rxn/3-28-4-rxn_hs103_200_0278.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2667.26000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	815296.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.05
# X-coordinate location of direct beam (mm)	85.08500
# Y-coordinate location of direct beam (mm)	86.11600
# X-coordinate location of direct beam (pix)	480.16
# Y-coordinate location of direct beam (pix)	485.98
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.515
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17736
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.9549968E-01	 1.9777081E-03	 1.7709251E-02	 3.1361756E-04	 1.8699597E-05	 1.8916832E-07	 3.3115585E-07	 3.3500291E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 8.6080242E+02	 8.7080242E+00	 3.2285002E-01	 3.2660059E-03	 1.0559225E-03	 1.0681893E-05	 1.8500000E+02
 8.9506186E-01	 1.3458593E-01	 1.9627131E-01	 1.9854245E-03	 1.8113372E-02	 3.2809425E-04	 1.9201809E-05	 1.9424001E-07	 3.4780952E-07	 3.5183416E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 8.6419999E+02	 8.7419999E+00	 3.2412430E-01	 3.2787488E-03	 1.0600903E-03	 1.0723570E-05	 1.8500000E+02
 9.0510309E-01	 1.3609575E-01	 1.9601222E-01	 1.9828336E-03	 1.8522053E-02	 3.4306643E-04	 1.9609128E-05	 1.9836333E-07	 3.6320130E-07	 3.6740960E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 8.6305919E+02	 8.7305919E+00	 3.2369644E-01	 3.2744701E-03	 1.0586909E-03	 1.0709576E-05	 1.9500000E+02
 9.1514433E-01	 1.3760557E-01	 1.9468389E-01	 1.9695502E-03	 1.8935292E-02	 3.5854527E-04	 1.9910769E-05	 2.0143043E-07	 3.7701621E-07	 3.8141439E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 8.5721043E+02	 8.6721043E+00	 3.2150282E-01	 3.2525339E-03	 1.0515163E-03	 1.0637831E-05	 1.8300000E+02
 9.2518557E-01	 1.3911538E-01	 1.9362385E-01	 1.9589499E-03	 1.9353090E-02	 3.7454208E-04	 2.0239285E-05	 2.0476684E-07	 3.9169270E-07	 3.9628711E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 8.5254299E+02	 8.6254299E+00	 3.1975226E-01	 3.2350283E-03	 1.0457909E-03	 1.0580577E-05	 1.9600000E+02
 9.3522680E-01	 1.4062520E-01	 1.9247871E-01	 1.9474985E-03	 1.9775446E-02	 3.9106828E-04	 2.0558670E-05	 2.0801250E-07	 4.0655687E-07	 4.1135399E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 8.4750083E+02	 8.5750083E+00	 3.1786117E-01	 3.2161174E-03	 1.0396059E-03	 1.0518726E-05	 1.9500000E+02
 9.4526804E-01	 1.4213501E-01	 1.9376931E-01	 1.9604045E-03	 2.0202362E-02	 4.0813542E-04	 2.1143319E-05	 2.1391136E-07	 4.2714498E-07	 4.3215146E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 8.5318347E+02	 8.6318347E+00	 3.1999248E-01	 3.2374305E-03	 1.0465766E-03	 1.0588433E-05	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.9375568E-01	 1.9602681E-03	 2.0633836E-02	 4.2575519E-04	 2.1593370E-05	 2.1846479E-07	 4.4555405E-07	 4.5077667E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 8.5312342E+02	 8.6312342E+00	 3.1996996E-01	 3.2372053E-03	 1.0465029E-03	 1.0587696E-05	 2.0100000E+02
 9.6535052E-01	 1.4515464E-01	 1.9393430E-01	 1.9620543E-03	 2.1069869E-02	 4.4393938E-04	 2.2070007E-05	 2.2328465E-07	 4.6501215E-07	 4.7045783E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 8.5390990E+02	 8.6390990E+00	 3.2026493E-01	 3.2401550E-03	 1.0474677E-03	 1.0597344E-05	 1.9600000E+02
 9.7539175E-01	 1.4666445E-01	 1.9429376E-01	 1.9656489E-03	 2.1510461E-02	 4.6269992E-04	 2.2573275E-05	 2.2837138E-07	 4.8556154E-07	 4.9123736E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 8.5549263E+02	 8.6549263E+00	 3.2085855E-01	 3.2460912E-03	 1.0494092E-03	 1.0616759E-05	 2.0700000E+02
 9.8543299E-01	 1.4817426E-01	 1.9430006E-01	 1.9657119E-03	 2.1955611E-02	 4.8204887E-04	 2.3041167E-05	 2.3310491E-07	 5.0588292E-07	 5.1179608E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 8.5552039E+02	 8.6552039E+00	 3.2086896E-01	 3.2461953E-03	 1.0494432E-03	 1.0617099E-05	 2.0700000E+02
 9.9547423E-01	 1.4968407E-01	 1.9350069E-01	 1.9577182E-03	 2.2405321E-02	 5.0199839E-04	 2.3416377E-05	 2.3691216E-07	 5.2465142E-07	 5.3080930E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 8.5200069E+02	 8.6200069E+00	 3.1954887E-01	 3.2329944E-03	 1.0451257E-03	 1.0573924E-05	 2.0900000E+02
 1.0055155E+00	 1.5119388E-01	 1.9281915E-01	 1.9509028E-03	 2.2859588E-02	 5.2256078E-04	 2.3806995E-05	 2.4087407E-07	 5.4421810E-07	 5.5062821E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 8.4899980E+02	 8.5899980E+00	 3.1842337E-01	 3.2217394E-03	 1.0414446E-03	 1.0537113E-05	 2.1000000E+02
 1.0155567E+00	 1.5270368E-01	 1.9366883E-01	 1.9593996E-03	 2.3318415E-02	 5.4374848E-04	 2.4391851E-05	 2.4677892E-07	 5.6877931E-07	 5.7544932E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 8.5274102E+02	 8.6274102E+00	 3.1982654E-01	 3.2357711E-03	 1.0460338E-03	 1.0583006E-05	 2.0700000E+02
 1.0255979E+00	 1.5421349E-01	 1.9298793E-01	 1.9525906E-03	 2.3781800E-02	 5.6557402E-04	 2.4789107E-05	 2.5080832E-07	 5.8952959E-07	 5.9646733E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 8.4974296E+02	 8.5974296E+00	 3.1870209E-01	 3.2245266E-03	 1.0423562E-03	 1.0546229E-05	 2.2300000E+02
 1.0356392E+00	 1.5572329E-01	 1.9172704E-01	 1.9399817E-03	 2.4249744E-02	 5.8805009E-04	 2.5111724E-05	 2.5409189E-07	 6.0895289E-07	 6.1616634E-09	 1.5572329E-01	 1.5572329E+00	 4.0348397E+01	 4.0348397E+00	 2.4784132E-02	 2.4784132E-01	 8.4419114E+02	 8.5419114E+00	 3.1661984E-01	 3.2037041E-03	 1.0355459E-03	 1.0478127E-05	 2.1100000E+02
 1.0456804E+00	 1.5723310E-01	 1.9189665E-01	 1.9416778E-03	 2.4722247E-02	 6.1118948E-04	 2.5623670E-05	 2.5926931E-07	 6.3347469E-07	 6.4097198E-09	 1.5723310E-01	 1.5723310E+00	 3.9960959E+01	 3.9960959E+00	 2.5024425E-02	 2.5024425E-01	 8.4493794E+02	 8.5493794E+00	 3.1689994E-01	 3.2065051E-03	 1.0364620E-03	 1.0487288E-05	 2.1700000E+02
