# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs103_200_0481.txt
# SPEC date/time stamp	Sat Apr 01 11:45:44 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367544.874
# Rayonix Save date/time stamp	04/01 11:45:44.000000 2023
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267872 409689 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 44.8048 23.608 90.495 123.116 624.91 1525.8 2.4 3998.87 2100 100.054 99.0682 99.0738 25.8695 1422.74 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-28-4-rxn/3-28-4-rxn_hs103_200_0481.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2678.72000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	819378.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.05
# X-coordinate location of direct beam (mm)	85.08500
# Y-coordinate location of direct beam (mm)	86.11600
# X-coordinate location of direct beam (pix)	480.16
# Y-coordinate location of direct beam (pix)	485.98
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.515
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17736
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.9023304E-01	 1.9249286E-03	 1.7709251E-02	 3.1361756E-04	 1.8195842E-05	 1.8411994E-07	 3.2223472E-07	 3.2606262E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 8.4180710E+02	 8.5180710E+00	 3.1437446E-01	 3.1810898E-03	 1.0274767E-03	 1.0396823E-05	 1.8500000E+02
 8.9506186E-01	 1.3458593E-01	 1.9135652E-01	 1.9439782E-03	 1.8113372E-02	 3.2809425E-04	 1.8720981E-05	 1.9018519E-07	 3.3910009E-07	 3.4448952E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 8.4677865E+02	 8.6023680E+00	 3.1623110E-01	 3.2125707E-03	 1.0335447E-03	 1.0499712E-05	 1.8500000E+02
 9.0510309E-01	 1.3609575E-01	 1.9020127E-01	 1.9246109E-03	 1.8522053E-02	 3.4306643E-04	 1.9027798E-05	 1.9253871E-07	 3.5243387E-07	 3.5662121E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 8.4166650E+02	 8.5166650E+00	 3.1432195E-01	 3.1805647E-03	 1.0273050E-03	 1.0395106E-05	 1.9500000E+02
 9.1514433E-01	 1.3760557E-01	 1.9031835E-01	 1.9271970E-03	 1.8935292E-02	 3.5854527E-04	 1.9464294E-05	 1.9709886E-07	 3.6856209E-07	 3.7321244E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 8.4218459E+02	 8.5281089E+00	 3.1451544E-01	 3.1848385E-03	 1.0279374E-03	 1.0409075E-05	 1.8300000E+02
 9.2518557E-01	 1.3911538E-01	 1.9022823E-01	 1.9248804E-03	 1.9353090E-02	 3.7454208E-04	 1.9884344E-05	 2.0120561E-07	 3.8482350E-07	 3.8939501E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 8.4178580E+02	 8.5178580E+00	 3.1436651E-01	 3.1810103E-03	 1.0274507E-03	 1.0396563E-05	 1.9600000E+02
 9.3522680E-01	 1.4062520E-01	 1.8979761E-01	 1.9205743E-03	 1.9775446E-02	 3.9106828E-04	 2.0272301E-05	 2.0513672E-07	 4.0089380E-07	 4.0566703E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 8.3988027E+02	 8.4988027E+00	 3.1365488E-01	 3.1738940E-03	 1.0251248E-03	 1.0373304E-05	 1.9500000E+02
 9.4526804E-01	 1.4213501E-01	 1.9010836E-01	 1.9236818E-03	 2.0202362E-02	 4.0813542E-04	 2.0743850E-05	 2.0990432E-07	 4.1907477E-07	 4.2405631E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 8.4125537E+02	 8.5125537E+00	 3.1416842E-01	 3.1790294E-03	 1.0268032E-03	 1.0390088E-05	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.8879749E-01	 1.9105731E-03	 2.0633836E-02	 4.2575519E-04	 2.1040798E-05	 2.1292646E-07	 4.3415237E-07	 4.3934897E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 8.3545459E+02	 8.4545459E+00	 3.1200211E-01	 3.1573663E-03	 1.0197230E-03	 1.0319286E-05	 2.0100000E+02
 9.6535052E-01	 1.4515464E-01	 1.8950792E-01	 1.9176774E-03	 2.1069869E-02	 4.4393938E-04	 2.1566279E-05	 2.1823450E-07	 4.5439868E-07	 4.5981723E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 8.3859836E+02	 8.4859836E+00	 3.1317615E-01	 3.1691067E-03	 1.0235602E-03	 1.0357658E-05	 1.9600000E+02
 9.7539175E-01	 1.4666445E-01	 1.8910665E-01	 1.9136647E-03	 2.1510461E-02	 4.6269992E-04	 2.1970631E-05	 2.2233180E-07	 4.7259840E-07	 4.7824594E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 8.3682269E+02	 8.4682269E+00	 3.1251302E-01	 3.1624754E-03	 1.0213929E-03	 1.0335985E-05	 2.0700000E+02
