# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs103_200_0507.txt
# SPEC date/time stamp	Sat Apr 01 11:47:54 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367674.969
# Rayonix Save date/time stamp	04/01 11:47:54.000000 2023
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267106 407750 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 46.7563 23.598 90.583 123.099 624.899 1525.77 2.4 3998.87 2191.47 99.947 99.0149 98.9443 25.8718 1422.74 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-28-4-rxn/3-28-4-rxn_hs103_200_0507.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2671.06000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	815500.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.05
# X-coordinate location of direct beam (mm)	85.08500
# Y-coordinate location of direct beam (mm)	86.11600
# X-coordinate location of direct beam (pix)	480.16
# Y-coordinate location of direct beam (pix)	485.98
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.515
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17736
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.8935963E-01	 1.9288377E-03	 1.7709251E-02	 3.1361756E-04	 1.8112299E-05	 1.8449385E-07	 3.2075525E-07	 3.2672478E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 8.3397587E+02	 8.4949687E+00	 3.1234338E-01	 3.1815635E-03	 1.0227592E-03	 1.0417936E-05	 1.8500000E+02
 8.9506186E-01	 1.3458593E-01	 1.8965441E-01	 1.9348721E-03	 1.8113372E-02	 3.2809425E-04	 1.8554458E-05	 1.8929432E-07	 3.3608380E-07	 3.4287586E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 8.3527415E+02	 8.5215454E+00	 3.1282961E-01	 3.1915171E-03	 1.0243514E-03	 1.0450529E-05	 1.8500000E+02
 9.0510309E-01	 1.3609575E-01	 1.8898646E-01	 1.9125702E-03	 1.8522053E-02	 3.4306643E-04	 1.8906268E-05	 1.9133416E-07	 3.5018289E-07	 3.5439013E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 8.3233235E+02	 8.4233235E+00	 3.1172784E-01	 3.1547308E-03	 1.0207437E-03	 1.0330073E-05	 1.9500000E+02
 9.1514433E-01	 1.3760557E-01	 1.8883729E-01	 1.9324257E-03	 1.8935292E-02	 3.5854527E-04	 1.9312824E-05	 1.9763361E-07	 3.6569395E-07	 3.7422500E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 8.3167541E+02	 8.5107706E+00	 3.1148180E-01	 3.1874817E-03	 1.0199380E-03	 1.0437315E-05	 1.8300000E+02
 9.2518557E-01	 1.3911538E-01	 1.8835551E-01	 1.9062608E-03	 1.9353090E-02	 3.7454208E-04	 1.9688592E-05	 1.9925931E-07	 3.8103508E-07	 3.8562833E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 8.2955355E+02	 8.3955355E+00	 3.1068711E-01	 3.1443235E-03	 1.0173358E-03	 1.0295995E-05	 1.9600000E+02
 9.3522680E-01	 1.4062520E-01	 1.8798546E-01	 1.9025603E-03	 1.9775446E-02	 3.9106828E-04	 2.0078745E-05	 2.0321264E-07	 3.9706615E-07	 4.0186207E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 8.2792378E+02	 8.3792378E+00	 3.1007673E-01	 3.1382196E-03	 1.0153371E-03	 1.0276008E-05	 1.9500000E+02
 9.4526804E-01	 1.4213501E-01	 1.8796783E-01	 1.9023839E-03	 2.0202362E-02	 4.0813542E-04	 2.0510284E-05	 2.0758039E-07	 4.1435619E-07	 4.1936142E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 8.2784612E+02	 8.3784612E+00	 3.1004764E-01	 3.1379288E-03	 1.0152419E-03	 1.0275056E-05	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.8856489E-01	 1.9083546E-03	 2.0633836E-02	 4.2575519E-04	 2.1014876E-05	 2.1267922E-07	 4.3361750E-07	 4.3883881E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 8.3047570E+02	 8.4047570E+00	 3.1103248E-01	 3.1477772E-03	 1.0184667E-03	 1.0307304E-05	 2.0100000E+02
 9.6535052E-01	 1.4515464E-01	 1.8755393E-01	 1.8982449E-03	 2.1069869E-02	 4.4393938E-04	 2.1343912E-05	 2.1602305E-07	 4.4971342E-07	 4.5515774E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 8.2602323E+02	 8.3602323E+00	 3.0936493E-01	 3.1311016E-03	 1.0130064E-03	 1.0252700E-05	 1.9600000E+02
 9.7539175E-01	 1.4666445E-01	 1.8894115E-01	 1.9121171E-03	 2.1510461E-02	 4.6269992E-04	 2.1951402E-05	 2.2215199E-07	 4.7218478E-07	 4.7785917E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 8.3213279E+02	 8.4213279E+00	 3.1165310E-01	 3.1539833E-03	 1.0204989E-03	 1.0327626E-05	 2.0700000E+02
