# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs103_200_0544.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Sat Apr 01 11:51:02 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680367862.854
# Rayonix Save date/time stamp	04/01 11:50:59.000000 2023
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 269576 413374 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 47.0457 23.608 90.52 123.12 624.903 1525.79 2.4 3998.87 2205.03 99.877 99.0664 98.8981 25.8376 1422.77 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-28-4-rxn/3-28-4-rxn_hs103_200_0544.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2695.76000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	826748.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.05
# X-coordinate location of direct beam (mm)	85.08500
# Y-coordinate location of direct beam (mm)	86.11600
# X-coordinate location of direct beam (pix)	480.16
# Y-coordinate location of direct beam (pix)	485.98
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.515
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17736
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.8829244E-01	 1.9126526E-03	 1.7709251E-02	 3.1361756E-04	 1.8010222E-05	 1.8294574E-07	 3.1894754E-07	 3.2398319E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 8.4071491E+02	 8.5398840E+00	 3.1198125E-01	 3.1690692E-03	 1.0169952E-03	 1.0330518E-05	 1.8500000E+02
 8.9506186E-01	 1.3458593E-01	 1.8788070E-01	 1.9080314E-03	 1.8113372E-02	 3.2809425E-04	 1.8380931E-05	 1.8666841E-07	 3.3294064E-07	 3.3811944E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 8.3887656E+02	 8.5192505E+00	 3.1129906E-01	 3.1614123E-03	 1.0147713E-03	 1.0305558E-05	 1.8500000E+02
 9.0510309E-01	 1.3609575E-01	 1.8794238E-01	 1.9018205E-03	 1.8522053E-02	 3.4306643E-04	 1.8801818E-05	 1.9025876E-07	 3.4824827E-07	 3.5239827E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 8.3915195E+02	 8.4915195E+00	 3.1140125E-01	 3.1511215E-03	 1.0151045E-03	 1.0272013E-05	 1.9500000E+02
 9.1514433E-01	 1.3760557E-01	 1.8822612E-01	 1.9234231E-03	 1.8935292E-02	 3.5854527E-04	 1.9250317E-05	 1.9671290E-07	 3.6451038E-07	 3.7248161E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 8.4041881E+02	 8.5879736E+00	 3.1187137E-01	 3.1869148E-03	 1.0166370E-03	 1.0388691E-05	 1.8300000E+02
 9.2518557E-01	 1.3911538E-01	 1.8841466E-01	 1.9065433E-03	 1.9353090E-02	 3.7454208E-04	 1.9694774E-05	 1.9928885E-07	 3.8115473E-07	 3.8568549E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 8.4126064E+02	 8.5126064E+00	 3.1218377E-01	 3.1589467E-03	 1.0176553E-03	 1.0297521E-05	 1.9600000E+02
 9.3522680E-01	 1.4062520E-01	 1.8819631E-01	 1.9043598E-03	 1.9775446E-02	 3.9106828E-04	 2.0101266E-05	 2.0340485E-07	 3.9751150E-07	 4.0224218E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 8.4028572E+02	 8.5028572E+00	 3.1182198E-01	 3.1553289E-03	 1.0164760E-03	 1.0285728E-05	 1.9500000E+02
 9.4526804E-01	 1.4213501E-01	 1.8748905E-01	 1.8972872E-03	 2.0202362E-02	 4.0813542E-04	 2.0458042E-05	 2.0702426E-07	 4.1330076E-07	 4.1823789E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 8.3712784E+02	 8.4712784E+00	 3.1065012E-01	 3.1436103E-03	 1.0126560E-03	 1.0247527E-05	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.8717890E-01	 1.8941857E-03	 2.0633836E-02	 4.2575519E-04	 2.0860412E-05	 2.1110015E-07	 4.3043031E-07	 4.3558059E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 8.3574304E+02	 8.4574304E+00	 3.1013624E-01	 3.1384714E-03	 1.0109808E-03	 1.0230776E-05	 2.0100000E+02
 9.6535052E-01	 1.4515464E-01	 1.8719289E-01	 1.8943256E-03	 2.1069869E-02	 4.4393938E-04	 2.1302825E-05	 2.1557702E-07	 4.4884772E-07	 4.5421796E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 8.3580549E+02	 8.4580549E+00	 3.1015941E-01	 3.1387032E-03	 1.0110563E-03	 1.0231531E-05	 1.9600000E+02
 9.7539175E-01	 1.4666445E-01	 1.8689011E-01	 1.8912978E-03	 2.1510461E-02	 4.6269992E-04	 2.1713111E-05	 2.1973318E-07	 4.6705902E-07	 4.7265620E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 8.3445361E+02	 8.4445361E+00	 3.0965774E-01	 3.1336865E-03	 1.0094210E-03	 1.0215178E-05	 2.0700000E+02
