# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs104_200_0028.txt
# SPEC date/time stamp	Sat Apr 01 11:07:57 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680365277.745
# Rayonix Save date/time stamp	04/01 11:07:57.000000 2023
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 267328 409723 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 45.5739 23.661 90.647 123.162 624.96 1525.83 2.4 3998.87 2136.05 99.4667 98.2787 98.2874 25.8807 1422.74 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-28-4-rxn/3-28-4-rxn_hs104_200_0028.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2673.28000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	819446.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8501.1
# X-coordinate location of direct beam (mm)	33.40600
# Y-coordinate location of direct beam (mm)	136.61200
# X-coordinate location of direct beam (pix)	188.52
# Y-coordinate location of direct beam (pix)	770.95
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1465.840
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.294
# Number of integrated 2-theta bins	1070
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17721
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597196E-02	 2.4956619E-03	 7.7030190E+02	 7.7304429E+00	 6.2283284E-06	 3.8792074E-11	 3.2729992E-07	 3.2846516E-09	 2.0385314E-12	 2.0457889E-14	 2.4956619E-03	 2.4956619E-02	 2.5176428E+03	 2.5176428E+02	 3.9719693E-04	 3.9719693E-03	 4.3057724E+04	 4.3211016E+02	 1.6112723E+01	 1.6170087E-01	 5.2550203E-02	 5.2737290E-04	 2.8000000E+01
 1.7791589E-02	 2.6752585E-03	 6.6302537E+02	 1.5669048E+01	 7.1570081E-06	 5.1222764E-11	 3.2372414E-07	 7.6504600E-09	 2.3168963E-12	 5.4754404E-14	 2.6752585E-03	 2.6752585E-02	 2.3486274E+03	 2.3486274E+02	 4.2578061E-04	 4.2578061E-03	 3.7061266E+04	 8.7585600E+02	 1.3868776E+01	 3.2775595E-01	 4.5231770E-02	 1.0689467E-03	 3.5000000E+01
 1.8985981E-02	 2.8548551E-03	 4.5607501E+02	 1.2276809E+01	 8.1501976E-06	 6.6425721E-11	 2.5358166E-07	 6.8260124E-09	 2.0667406E-12	 5.5633350E-14	 2.8548551E-03	 2.8548551E-02	 2.2008771E+03	 2.2008771E+02	 4.5436430E-04	 4.5436430E-03	 2.5493318E+04	 6.8623932E+02	 9.5399093E+00	 2.5679909E-01	 3.1113560E-02	 8.3752722E-04	 3.2000000E+01
 2.0180374E-02	 3.0344517E-03	 3.3472314E+02	 8.6890866E+00	 9.2078970E-06	 8.4785368E-11	 2.1026144E-07	 5.4581820E-09	 1.9360657E-12	 5.0258378E-14	 3.0344517E-03	 3.0344517E-02	 2.0706164E+03	 2.0706164E+02	 4.8294799E-04	 4.8294799E-03	 1.8710088E+04	 4.8569566E+02	 7.0015423E+00	 1.8175321E-01	 2.2834903E-02	 5.9277183E-04	 3.6000000E+01
 2.1374766E-02	 3.2140483E-03	 2.9210225E+02	 7.9557804E+00	 1.0330106E-05	 1.0671110E-10	 2.0585107E-07	 5.6066186E-09	 2.1264634E-12	 5.7916966E-14	 3.2140483E-03	 3.2140483E-02	 1.9549132E+03	 1.9549132E+02	 5.1153167E-04	 5.1153167E-03	 1.6327699E+04	 4.4470589E+02	 6.1100234E+00	 1.6641435E-01	 1.9927294E-02	 5.4274548E-04	 3.6000000E+01
 2.2569159E-02	 3.3936449E-03	 2.6363957E+02	 6.6517794E+00	 1.1516826E-05	 1.3263727E-10	 2.0713659E-07	 5.2261763E-09	 2.3855559E-12	 6.0188961E-14	 3.3936449E-03	 3.3936449E-02	 1.8514563E+03	 1.8514563E+02	 5.4011536E-04	 5.4011536E-03	 1.4736715E+04	 3.7181588E+02	 5.5146579E+00	 1.3913802E-01	 1.7985563E-02	 4.5378619E-04	 3.8000000E+01
 2.3763551E-02	 3.5732415E-03	 2.1835991E+02	 4.2240775E+00	 1.2768055E-05	 1.6302322E-10	 1.9020025E-07	 3.6793410E-09	 2.4284871E-12	 4.6978026E-14	 3.5732415E-03	 3.5732415E-02	 1.7583993E+03	 1.7583993E+02	 5.6869904E-04	 5.6869904E-03	 1.2205709E+04	 2.3611413E+02	 4.5675245E+00	 8.8356774E-02	 1.4896572E-02	 2.8816771E-04	 4.4000000E+01
 2.4957944E-02	 3.7528381E-03	 1.6703402E+02	 3.4223489E+00	 1.4083793E-05	 1.9835324E-10	 1.6048632E-07	 3.2881934E-09	 2.2602562E-12	 4.6310237E-14	 3.7528381E-03	 3.7528381E-02	 1.6742490E+03	 1.6742490E+02	 5.9728273E-04	 5.9728273E-03	 9.3367350E+03	 1.9129974E+02	 3.4939196E+00	 7.1586685E-02	 1.1395106E-02	 2.3347356E-04	 4.1000000E+01
 2.6152336E-02	 3.9324346E-03	 1.2720080E+02	 2.1023068E+00	 1.5464042E-05	 2.3913660E-10	 1.3419190E-07	 2.2178519E-09	 2.0751492E-12	 3.4296956E-14	 3.9324346E-03	 3.9324346E-02	 1.5977851E+03	 1.5977851E+02	 6.2586641E-04	 6.2586641E-03	 7.1101694E+03	 1.1751307E+02	 2.6607117E+00	 4.3974819E-02	 8.6776731E-03	 1.4341993E-04	 4.8000000E+01
 2.7346729E-02	 4.1120312E-03	 1.0195350E+02	 1.8636859E+00	 1.6908801E-05	 2.8590755E-10	 1.1760570E-07	 2.1498044E-09	 1.9885713E-12	 3.6350615E-14	 4.1120312E-03	 4.1120312E-02	 1.5280004E+03	 1.5280004E+02	 6.5445010E-04	 6.5445010E-03	 5.6989156E+03	 1.0417483E+02	 2.1326034E+00	 3.8983487E-02	 6.9552950E-03	 1.2714115E-04	 4.6000000E+01
