# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs104_200_0244.txt
# SPEC date/time stamp	Sat Apr 01 11:25:58 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680366358.180
# Rayonix Save date/time stamp	04/01 11:25:57.000000 2023
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266947 407886 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 46.5756 23.634 90.633 123.15 624.932 1525.83 2.4 3998.87 2183 99.5801 98.5202 98.5137 25.8816 1422.73 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-28-4-rxn/3-28-4-rxn_hs104_200_0244.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2669.47000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	815772.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8501.1
# X-coordinate location of direct beam (mm)	33.40600
# Y-coordinate location of direct beam (mm)	136.61200
# X-coordinate location of direct beam (pix)	188.52
# Y-coordinate location of direct beam (pix)	770.95
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1465.840
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.294
# Number of integrated 2-theta bins	1070
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17721
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597196E-02	 2.4956619E-03	 9.1109609E+02	 2.8866915E+01	 6.2283284E-06	 3.8792074E-11	 3.8712313E-07	 1.2265501E-08	 2.4111300E-12	 7.6393570E-14	 2.4956619E-03	 2.4956619E-02	 2.5176428E+03	 2.5176428E+02	 3.9719693E-04	 3.9719693E-03	 5.0699368E+04	 1.6063446E+03	 1.8999407E+01	 6.0197193E-01	 6.2155221E-02	 1.9693087E-03	 2.8000000E+01
 1.7791589E-02	 2.6752585E-03	 7.0351529E+02	 1.5816817E+01	 7.1570081E-06	 5.1222764E-11	 3.4349346E-07	 7.7226086E-09	 2.4583855E-12	 5.5270772E-14	 2.6752585E-03	 2.6752585E-02	 2.3486274E+03	 2.3486274E+02	 4.2578061E-04	 4.2578061E-03	 3.9148209E+04	 8.8015152E+02	 1.4670652E+01	 3.2983365E-01	 4.7994003E-02	 1.0790275E-03	 3.5000000E+01
 1.8985981E-02	 2.8548551E-03	 4.8322907E+02	 1.3544866E+01	 8.1501976E-06	 6.6425721E-11	 2.6867955E-07	 7.5310629E-09	 2.1897915E-12	 6.1379651E-14	 2.8548551E-03	 2.8548551E-02	 2.2008771E+03	 2.2008771E+02	 4.5436430E-04	 4.5436430E-03	 2.6890037E+04	 7.5372525E+02	 1.0076946E+01	 2.8245585E-01	 3.2966017E-02	 9.2403440E-04	 3.2000000E+01
 2.0180374E-02	 3.0344517E-03	 3.8299669E+02	 1.0389203E+01	 9.2078970E-06	 8.4785368E-11	 2.4058520E-07	 6.5261359E-09	 2.2152837E-12	 6.0091988E-14	 3.0344517E-03	 3.0344517E-02	 2.0706164E+03	 2.0706164E+02	 4.8294799E-04	 4.8294799E-03	 2.1312450E+04	 5.7812345E+02	 7.9867647E+00	 2.1664970E-01	 2.6128137E-02	 7.0875422E-04	 3.6000000E+01
 2.1374766E-02	 3.2140483E-03	 3.5141143E+02	 9.6215429E+00	 1.0330106E-05	 1.0671110E-10	 2.4764759E-07	 6.7805191E-09	 2.5582260E-12	 7.0043483E-14	 3.2140483E-03	 3.2140483E-02	 1.9549132E+03	 1.9549132E+02	 5.1153167E-04	 5.1153167E-03	 1.9554839E+04	 5.3540581E+02	 7.3281062E+00	 2.0064142E-01	 2.3973383E-02	 6.5638425E-04	 3.6000000E+01
 2.2569159E-02	 3.3936449E-03	 3.1756120E+02	 7.9587493E+00	 1.1516826E-05	 1.3263727E-10	 2.4950178E-07	 6.2530376E-09	 2.8734685E-12	 7.2015143E-14	 3.3936449E-03	 3.3936449E-02	 1.8514563E+03	 1.8514563E+02	 5.4011536E-04	 5.4011536E-03	 1.7671190E+04	 4.4287706E+02	 6.6222154E+00	 1.6596660E-01	 2.1664111E-02	 5.4294802E-04	 3.8000000E+01
 2.3763551E-02	 3.5732415E-03	 2.5446283E+02	 4.7689625E+00	 1.2768055E-05	 1.6302322E-10	 2.2164733E-07	 4.1539577E-09	 2.8300052E-12	 5.3037958E-14	 3.5732415E-03	 3.5732415E-02	 1.7583993E+03	 1.7583993E+02	 5.6869904E-04	 5.6869904E-03	 1.4159982E+04	 2.6537638E+02	 5.3064029E+00	 9.9448852E-02	 1.7359523E-02	 3.2533991E-04	 4.4000000E+01
 2.4957944E-02	 3.7528381E-03	 1.9004445E+02	 3.8189323E+00	 1.4083793E-05	 1.9835324E-10	 1.8259474E-07	 3.6692309E-09	 2.5716266E-12	 5.1676689E-14	 3.7528381E-03	 3.7528381E-02	 1.6742490E+03	 1.6742490E+02	 5.9728273E-04	 5.9728273E-03	 1.0575321E+04	 2.1251046E+02	 3.9630638E+00	 7.9637538E-02	 1.2964884E-02	 2.6052859E-04	 4.1000000E+01
 2.6152336E-02	 3.9324346E-03	 1.4287650E+02	 2.3272101E+00	 1.5464042E-05	 2.3913660E-10	 1.5072915E-07	 2.4551162E-09	 2.3308820E-12	 3.7966021E-14	 3.9324346E-03	 3.9324346E-02	 1.5977851E+03	 1.5977851E+02	 6.2586641E-04	 6.2586641E-03	 7.9505864E+03	 1.2950125E+02	 2.9794539E+00	 4.8530132E-02	 9.7470733E-03	 1.5876290E-04	 4.8000000E+01
 2.7346729E-02	 4.1120312E-03	 1.1071277E+02	 1.9194865E+00	 1.6908801E-05	 2.8590755E-10	 1.2770972E-07	 2.2141718E-09	 2.1594183E-12	 3.7438989E-14	 4.1120312E-03	 4.1120312E-02	 1.5280004E+03	 1.5280004E+02	 6.5445010E-04	 6.5445010E-03	 6.1607853E+03	 1.0681283E+02	 2.3087323E+00	 4.0027728E-02	 7.5528550E-03	 1.3094789E-04	 4.6000000E+01
 2.8541121E-02	 4.2916278E-03	 8.6544498E+01	 1.2536767E+00	 1.8418069E-05	 3.3922528E-10	 1.0874192E-07	 1.5752268E-09	 2.0028162E-12	 2.9012636E-14	 4.2916278E-03	 4.2916278E-02	 1.4640564E+03	 1.4640564E+02	 6.8303378E-04	 6.8303378E-03	 4.8159040E+03	 6.9762801E+01	 1.8047429E+00	 2.6143361E-02	 5.9040890E-03	 8.5526162E-05	 5.1000000E+01
