# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:168 
# Filename	3-28-4-rxn/plot_files/3-28-4-rxn_hs104_200_0278.txt
# SPEC date/time stamp	Sat Apr 01 11:28:48 2023
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1680366528.678
# Rayonix Save date/time stamp	04/01 11:28:48.000000 2023
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *mV4* *mV5* *mV6* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 266726 407648 0 -1.01473 -43.1787 135 -12.5 5.4397 0 0.0512055 199.944 44.8393 23.634 90.922 123.138 624.925 1525.81 2.4 3998.87 2101.62 100 98.8967 98.8389 25.8084 1422.71 13.1666 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-28-4-rxn/3-28-4-rxn_hs104_200_0278.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	2667.26000
# Incident detector dark (pAs)	0.99900
# Transmitted detector intensity (pAs)	815296.00000
# Transmitted detector dark (pAs)	82.40000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8501.1
# X-coordinate location of direct beam (mm)	33.40600
# Y-coordinate location of direct beam (mm)	136.61200
# X-coordinate location of direct beam (pix)	188.52
# Y-coordinate location of direct beam (pix)	770.95
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1465.840
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.294
# Number of integrated 2-theta bins	1070
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17721
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597196E-02	 2.4956619E-03	 9.3199420E+02	 3.0298709E+01	 6.2283284E-06	 3.8792074E-11	 3.9600269E-07	 1.2873868E-08	 2.4664348E-12	 8.0182678E-14	 2.4956619E-03	 2.4956619E-02	 2.5176428E+03	 2.5176428E+02	 3.9719693E-04	 3.9719693E-03	 5.1832011E+04	 1.6850352E+03	 1.9439961E+01	 6.3198433E-01	 6.3580895E-02	 2.0669861E-03	 2.8000000E+01
 1.7791589E-02	 2.6752585E-03	 7.1012696E+02	 1.5992980E+01	 7.1570081E-06	 5.1222764E-11	 3.4672163E-07	 7.8086207E-09	 2.4814895E-12	 5.5886361E-14	 2.6752585E-03	 2.6752585E-02	 2.3486274E+03	 2.3486274E+02	 4.2578061E-04	 4.2578061E-03	 3.9493066E+04	 8.8943505E+02	 1.4812153E+01	 3.3358889E-01	 4.8445053E-02	 1.0910454E-03	 3.5000000E+01
 1.8985981E-02	 2.8548551E-03	 4.8693717E+02	 1.3551397E+01	 8.1501976E-06	 6.6425721E-11	 2.7074130E-07	 7.5346941E-09	 2.2065951E-12	 6.1409246E-14	 2.8548551E-03	 2.8548551E-02	 2.2008771E+03	 2.2008771E+02	 4.5436430E-04	 4.5436430E-03	 2.7080569E+04	 7.5364861E+02	 1.0156758E+01	 2.8266123E-01	 3.3218985E-02	 9.2447993E-04	 3.2000000E+01
 2.0180374E-02	 3.0344517E-03	 3.8665870E+02	 1.0458248E+01	 9.2078970E-06	 8.4785368E-11	 2.4288554E-07	 6.5695076E-09	 2.2364651E-12	 6.0491350E-14	 3.0344517E-03	 3.0344517E-02	 2.0706164E+03	 2.0706164E+02	 4.8294799E-04	 4.8294799E-03	 2.1503672E+04	 5.8162596E+02	 8.0651040E+00	 2.1814292E-01	 2.6377961E-02	 7.1346450E-04	 3.6000000E+01
 2.1374766E-02	 3.2140483E-03	 3.5763328E+02	 9.8049143E+00	 1.0330106E-05	 1.0671110E-10	 2.5203227E-07	 6.9097451E-09	 2.6035202E-12	 7.1378402E-14	 3.2140483E-03	 3.2140483E-02	 1.9549132E+03	 1.9549132E+02	 5.1153167E-04	 5.1153167E-03	 1.9889450E+04	 5.4529140E+02	 7.4596786E+00	 2.0451539E-01	 2.4397839E-02	 6.6889390E-04	 3.6000000E+01
 2.2569159E-02	 3.3936449E-03	 3.2423163E+02	 8.1079788E+00	 1.1516826E-05	 1.3263727E-10	 2.5474261E-07	 6.3702844E-09	 2.9338262E-12	 7.3365454E-14	 3.3936449E-03	 3.3936449E-02	 1.8514563E+03	 1.8514563E+02	 5.4011536E-04	 5.4011536E-03	 1.8031848E+04	 4.5091787E+02	 6.7629717E+00	 1.6911993E-01	 2.2119169E-02	 5.5312850E-04	 3.8000000E+01
 2.3763551E-02	 3.5732415E-03	 2.6014508E+02	 4.8429314E+00	 1.2768055E-05	 1.6302322E-10	 2.2659680E-07	 4.2183876E-09	 2.8932003E-12	 5.3860603E-14	 3.5732415E-03	 3.5732415E-02	 1.7583993E+03	 1.7583993E+02	 5.6869904E-04	 5.6869904E-03	 1.4467732E+04	 2.6933523E+02	 5.4262251E+00	 1.0101608E-01	 1.7747167E-02	 3.3038609E-04	 4.4000000E+01
 2.4957944E-02	 3.7528381E-03	 1.9321351E+02	 3.9533015E+00	 1.4083793E-05	 1.9835324E-10	 1.8563958E-07	 3.7983328E-09	 2.6145095E-12	 5.3494935E-14	 3.7528381E-03	 3.7528381E-02	 1.6742490E+03	 1.6742490E+02	 5.9728273E-04	 5.9728273E-03	 1.0745394E+04	 2.1985927E+02	 4.0301358E+00	 8.2459771E-02	 1.3181078E-02	 2.6969529E-04	 4.1000000E+01
 2.6152336E-02	 3.9324346E-03	 1.4508918E+02	 2.4026444E+00	 1.5464042E-05	 2.3913660E-10	 1.5306345E-07	 2.5346965E-09	 2.3669796E-12	 3.9196654E-14	 3.9324346E-03	 3.9324346E-02	 1.5977851E+03	 1.5977851E+02	 6.2586641E-04	 6.2586641E-03	 8.0690031E+03	 1.3362089E+02	 3.0263365E+00	 5.0115457E-02	 9.8980231E-03	 1.6390905E-04	 4.8000000E+01
 2.7346729E-02	 4.1120312E-03	 1.1302309E+02	 1.9870014E+00	 1.6908801E-05	 2.8590755E-10	 1.3037473E-07	 2.2920518E-09	 2.2044804E-12	 3.8755847E-14	 4.1120312E-03	 4.1120312E-02	 1.5280004E+03	 1.5280004E+02	 6.5445010E-04	 6.5445010E-03	 6.2856767E+03	 1.1050528E+02	 2.3574874E+00	 4.1445785E-02	 7.7104659E-03	 1.3555377E-04	 4.6000000E+01
