# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4-prerxnmix/plot_files/an-3-17-4-prerxnmix_hs102_212_0003.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Mar 03 00:19:34 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646288374.318
# Rayonix Save date/time stamp	03/03 00:19:31.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722871 139919 0 -0.9271 -38.3311 0 0 -0.36 0 107.067 186.863 44.1007 138.816 154.005 121.953 626.856 1527.58 151.654 151.557 150.531 23.7886 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4-prerxnmix/an-3-17-4-prerxnmix_hs102_212_0003.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36143.55000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	699595.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.7079465E-01	 1.7259267E-03	 4.8080958E-01	 2.3117785E-01	 6.5311113E-04	 6.5998668E-06	 3.1402209E-04	 3.1732792E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.4990459E+02	 9.5990459E+00	 2.6285325E-02	 2.6562040E-04	 1.3583571E-03	 1.3726571E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.7215938E-01	 1.7395740E-03	 4.8610586E-01	 2.3629891E-01	 6.6558151E-04	 6.7253279E-06	 3.2354307E-04	 3.2692213E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.5749476E+02	 9.6749476E+00	 2.6495357E-02	 2.6772072E-04	 1.3692110E-03	 1.3835110E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.7386886E-01	 1.7566688E-03	 4.9143110E-01	 2.4150453E-01	 6.7955428E-04	 6.8658172E-06	 3.3395411E-04	 3.3740761E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.6700235E+02	 9.7700235E+00	 2.6758446E-02	 2.7035162E-04	 1.3828068E-03	 1.3971068E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.7557637E-01	 1.7737439E-03	 4.9678530E-01	 2.4679564E-01	 6.9370450E-04	 7.0080849E-06	 3.4462220E-04	 3.4815136E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.7649896E+02	 9.8649896E+00	 2.7021232E-02	 2.7297947E-04	 1.3963869E-03	 1.4106869E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.7713770E-01	 1.7893571E-03	 5.0216846E-01	 2.5217317E-01	 7.0745714E-04	 7.1463811E-06	 3.5526267E-04	 3.5886872E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.8518255E+02	 9.9518255E+00	 2.7261520E-02	 2.7538236E-04	 1.4088044E-03	 1.4231043E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7914148E-01	 1.8093950E-03	 5.0758059E-01	 2.5763805E-01	 7.2317078E-04	 7.3042915E-06	 3.6706745E-04	 3.7075166E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.9632695E+02	 1.0063270E+01	 2.7569903E-02	 2.7846619E-04	 1.4247408E-03	 1.4390408E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.8048296E-01	 1.8228098E-03	 5.1302167E-01	 2.6319123E-01	 7.3639635E-04	 7.4373253E-06	 3.7778729E-04	 3.8155090E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 1.0037878E+03	 1.0137878E+01	 2.7776358E-02	 2.8053073E-04	 1.4354098E-03	 1.4497098E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.8184633E-01	 1.8364435E-03	 5.1849171E-01	 2.6883365E-01	 7.4987016E-04	 7.5728455E-06	 3.8880146E-04	 3.9264576E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 1.0113705E+03	 1.0213705E+01	 2.7986180E-02	 2.8262896E-04	 1.4462529E-03	 1.4605529E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.8299923E-01	 1.8479725E-03	 5.2399070E-01	 2.7456625E-01	 7.6262767E-04	 7.7012070E-06	 3.9960981E-04	 4.0353609E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 1.0177825E+03	 1.0277825E+01	 2.8163612E-02	 2.8440328E-04	 1.4554221E-03	 1.4697221E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.8395554E-01	 1.8575356E-03	 5.2951865E-01	 2.8039000E-01	 7.7470051E-04	 7.8227259E-06	 4.1021837E-04	 4.1422793E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 1.0231012E+03	 1.0331012E+01	 2.8310788E-02	 2.8587503E-04	 1.4630278E-03	 1.4773277E-05	 4.0600000E+02
 4.8661677E+00	 7.3148859E-01	 1.8546425E-01	 1.8726227E-03	 5.3507556E-01	 2.8630585E-01	 7.8925078E-04	 7.9690233E-06	 4.2230880E-04	 4.2640296E-06	 7.3148859E-01	 7.3148859E+00	 8.5895876E+00	 8.5895876E-01	 1.1642002E-01	 1.1642002E+00	 1.0314921E+03	 1.0414921E+01	 2.8542978E-02	 2.8819694E-04	 1.4750268E-03	 1.4893267E-05	 3.9300000E+02
