# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4-prerxnmix/plot_files/an-3-17-4-prerxnmix_hs102_212_0009.txt
# SPEC date/time stamp	Thu Mar 03 00:20:02 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646288402.462
# Rayonix Save date/time stamp	03/03 00:20:01.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722868 139465 0 -0.9271 -38.3311 0 0 -0.36 0 108.127 187.222 44.7446 138.965 153.454 121.954 626.854 1527.58 152.145 151.97 150.9 23.8019 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4-prerxnmix/an-3-17-4-prerxnmix_hs102_212_0009.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36143.40000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	697325.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.7041039E-01	 1.7221426E-03	 4.8080958E-01	 2.3117785E-01	 6.5164174E-04	 6.5853967E-06	 3.1331559E-04	 3.1663218E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.4469092E+02	 9.5469092E+00	 2.6141163E-02	 2.6417880E-04	 1.3553011E-03	 1.3696476E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.7214169E-01	 1.7394556E-03	 4.8610586E-01	 2.3629891E-01	 6.6551312E-04	 6.7248704E-06	 3.2350983E-04	 3.2689989E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.5428859E+02	 9.6428859E+00	 2.6406746E-02	 2.6683463E-04	 1.3690704E-03	 1.3834169E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.7418311E-01	 1.7598699E-03	 4.9143110E-01	 2.4150453E-01	 6.8078251E-04	 6.8783283E-06	 3.3455770E-04	 3.3802244E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.6560547E+02	 9.7560547E+00	 2.6719903E-02	 2.6996620E-04	 1.3853061E-03	 1.3996526E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.7557888E-01	 1.7738275E-03	 4.9678530E-01	 2.4679564E-01	 6.9371440E-04	 7.0084153E-06	 3.4462712E-04	 3.4816777E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.7334305E+02	 9.8334305E+00	 2.6934015E-02	 2.7210732E-04	 1.3964069E-03	 1.4107534E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.7689905E-01	 1.7870292E-03	 5.0216846E-01	 2.5217317E-01	 7.0650401E-04	 7.1370838E-06	 3.5478404E-04	 3.5840184E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.8066158E+02	 9.9066158E+00	 2.7136531E-02	 2.7413247E-04	 1.4069064E-03	 1.4212529E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7836680E-01	 1.8017067E-03	 5.0758059E-01	 2.5763805E-01	 7.2004348E-04	 7.2732549E-06	 3.6548009E-04	 3.6917630E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.8879824E+02	 9.9879824E+00	 2.7361686E-02	 2.7638402E-04	 1.4185796E-03	 1.4329261E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.7971370E-01	 1.8151758E-03	 5.1302167E-01	 2.6319123E-01	 7.3325766E-04	 7.4061772E-06	 3.7617707E-04	 3.7995294E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 9.9626497E+02	 1.0062650E+01	 2.7568303E-02	 2.7845019E-04	 1.4292918E-03	 1.4436383E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.8097237E-01	 1.8277625E-03	 5.1849171E-01	 2.6883365E-01	 7.4626625E-04	 7.5370479E-06	 3.8693286E-04	 3.9078968E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 1.0032426E+03	 1.0132426E+01	 2.7761384E-02	 2.8038101E-04	 1.4393022E-03	 1.4536487E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.8225816E-01	 1.8406203E-03	 5.2399070E-01	 2.7456625E-01	 7.5953933E-04	 7.6705676E-06	 3.9799154E-04	 4.0193061E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 1.0103705E+03	 1.0203705E+01	 2.7958625E-02	 2.8235342E-04	 1.4495283E-03	 1.4638748E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.8391879E-01	 1.8572266E-03	 5.2951865E-01	 2.8039000E-01	 7.7454572E-04	 7.8214246E-06	 4.1013641E-04	 4.1415902E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 1.0195764E+03	 1.0295764E+01	 2.8213368E-02	 2.8490084E-04	 1.4627355E-03	 1.4770820E-05	 4.0600000E+02
