# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4-prerxnmix/plot_files/an-3-17-4-prerxnmix_hs103_212_0004.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Mar 03 00:19:40 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646288380.227
# Rayonix Save date/time stamp	03/03 00:19:36.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722862 140479 0 -0.9271 -38.3311 0 0 -0.36 0 107.26 183.716 45.8848 138.489 153.672 121.954 626.856 1527.58 150.355 150.386 149.37 23.7876 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4-prerxnmix/an-3-17-4-prerxnmix_hs103_212_0004.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36143.10000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	702395.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.6780563E-01	 1.7051654E-03	 1.8111705E-02	 3.2803386E-04	 1.5967959E-05	 1.6225922E-07	 2.8920696E-07	 2.9387911E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 6.1900123E+02	 6.2900123E+00	 1.7128932E-02	 1.7405651E-04	 8.8163752E-04	 8.9588043E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.6651877E-01	 1.6922968E-03	 1.8520370E-02	 3.4300411E-04	 1.6203036E-05	 1.6466820E-07	 3.0008622E-07	 3.0497159E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 6.1425426E+02	 6.2425426E+00	 1.6997574E-02	 1.7274293E-04	 8.7487646E-04	 8.8911937E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.6674607E-01	 1.6945698E-03	 1.8933594E-02	 3.5848098E-04	 1.6587167E-05	 1.6856836E-07	 3.1405469E-07	 3.1916050E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 6.1509274E+02	 6.2509274E+00	 1.7020777E-02	 1.7297496E-04	 8.7607070E-04	 8.9031360E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.6730541E-01	 1.7001632E-03	 1.9351377E-02	 3.7447579E-04	 1.7010042E-05	 1.7285662E-07	 3.2916774E-07	 3.3450136E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 6.1715602E+02	 6.2715602E+00	 1.7077872E-02	 1.7354590E-04	 8.7900941E-04	 8.9325232E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.6796066E-01	 1.7067157E-03	 1.9773719E-02	 3.9099995E-04	 1.7449358E-05	 1.7730994E-07	 3.4503870E-07	 3.5060768E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 6.1957311E+02	 6.2957311E+00	 1.7144757E-02	 1.7421476E-04	 8.8245204E-04	 8.9669494E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.6731231E-01	 1.7002322E-03	 2.0200619E-02	 4.0806502E-04	 1.7757267E-05	 1.8044982E-07	 3.5870779E-07	 3.6451982E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 6.1718148E+02	 6.2718148E+00	 1.7078576E-02	 1.7355295E-04	 8.7904567E-04	 8.9328857E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.6714920E-01	 1.6986011E-03	 2.0632079E-02	 4.2568267E-04	 1.8118858E-05	 1.8412719E-07	 3.7382970E-07	 3.7989266E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 6.1657978E+02	 6.2657978E+00	 1.7061926E-02	 1.7338645E-04	 8.7818868E-04	 8.9243158E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.6646097E-01	 1.6917188E-03	 2.1068097E-02	 4.4386471E-04	 1.8425585E-05	 1.8725656E-07	 3.8819200E-07	 3.9451393E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 6.1404107E+02	 6.2404107E+00	 1.6991675E-02	 1.7268394E-04	 8.7457281E-04	 8.8881571E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.6694989E-01	 1.6966080E-03	 2.1508674E-02	 4.6262306E-04	 1.8866152E-05	 1.9172498E-07	 4.0578591E-07	 4.1237500E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 6.1584459E+02	 6.2584459E+00	 1.7041582E-02	 1.7318301E-04	 8.7714155E-04	 8.9138445E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.6841151E-01	 1.7112242E-03	 2.1953810E-02	 4.8196977E-04	 1.9425187E-05	 1.9737873E-07	 4.2645687E-07	 4.3332152E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 6.2123621E+02	 6.3123621E+00	 1.7190778E-02	 1.7467497E-04	 8.8482078E-04	 8.9906369E-06	 2.1100000E+02
