# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4-prerxnmix/plot_files/an-3-17-4-prerxnmix_hs103_212_0009.txt
# SPEC date/time stamp	Thu Mar 03 00:20:02 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646288402.462
# Rayonix Save date/time stamp	03/03 00:20:01.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722868 139465 0 -0.9271 -38.3311 0 0 -0.36 0 108.127 187.222 44.7446 138.965 153.454 121.954 626.854 1527.58 152.145 151.97 150.9 23.8019 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4-prerxnmix/an-3-17-4-prerxnmix_hs103_212_0009.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36143.40000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	697325.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.6703727E-01	 1.6976790E-03	 1.8111705E-02	 3.2803386E-04	 1.5894844E-05	 1.6154683E-07	 2.8788272E-07	 2.9258886E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 6.1171748E+02	 6.2171748E+00	 1.6927236E-02	 1.7203953E-04	 8.7760063E-04	 8.9194713E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.6679873E-01	 1.6952935E-03	 1.8520370E-02	 3.4300411E-04	 1.6230277E-05	 1.6495979E-07	 3.0059073E-07	 3.0551164E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 6.1084388E+02	 6.2084388E+00	 1.6903062E-02	 1.7179779E-04	 8.7634733E-04	 8.9069383E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.6738340E-01	 1.7011403E-03	 1.8933594E-02	 3.5848098E-04	 1.6650566E-05	 1.6922196E-07	 3.1525505E-07	 3.2039800E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 6.1298506E+02	 6.2298506E+00	 1.6962312E-02	 1.7239029E-04	 8.7941917E-04	 8.9376568E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.6653991E-01	 1.6927054E-03	 1.9351377E-02	 3.7447579E-04	 1.6932213E-05	 1.7209838E-07	 3.2766164E-07	 3.3303406E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 6.0989605E+02	 6.1989605E+00	 1.6876834E-02	 1.7153551E-04	 8.7498752E-04	 8.8933403E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.6632164E-01	 1.6905226E-03	 1.9773719E-02	 3.9099995E-04	 1.7279081E-05	 1.7562765E-07	 3.4167168E-07	 3.4728117E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 6.0909670E+02	 6.1909670E+00	 1.6854715E-02	 1.7131432E-04	 8.7384074E-04	 8.8818724E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.6644338E-01	 1.6917401E-03	 2.0200619E-02	 4.0806502E-04	 1.7665045E-05	 1.7954854E-07	 3.5684486E-07	 3.6269916E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 6.0954256E+02	 6.1954256E+00	 1.6867053E-02	 1.7143769E-04	 8.7448039E-04	 8.8882689E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.6649233E-01	 1.6922296E-03	 2.0632079E-02	 4.2568267E-04	 1.8047654E-05	 1.8343653E-07	 3.7236063E-07	 3.7846768E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 6.0972183E+02	 6.1972183E+00	 1.6872013E-02	 1.7148730E-04	 8.7473757E-04	 8.8908407E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.6611639E-01	 1.6884702E-03	 2.1068097E-02	 4.4386471E-04	 1.8387442E-05	 1.8689696E-07	 3.8738842E-07	 3.9375632E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 6.0834505E+02	 6.1834505E+00	 1.6833916E-02	 1.7110632E-04	 8.7276238E-04	 8.8710888E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.6551507E-01	 1.6824569E-03	 2.1508674E-02	 4.6262306E-04	 1.8704009E-05	 1.9012583E-07	 4.0229843E-07	 4.0893546E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 6.0614291E+02	 6.1614291E+00	 1.6772979E-02	 1.7049695E-04	 8.6960307E-04	 8.8394958E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.6590413E-01	 1.6863476E-03	 2.1953810E-02	 4.8196977E-04	 1.9135977E-05	 1.9450938E-07	 4.2010760E-07	 4.2702218E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 6.0756774E+02	 6.1756774E+00	 1.6812406E-02	 1.7089123E-04	 8.7164721E-04	 8.8599371E-06	 2.1100000E+02
