# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4-prerxnmix/plot_files/an-3-17-4-prerxnmix_hs104_212_0000.txt
# SPEC date/time stamp	Thu Mar 03 00:19:17 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646288357.236
# Rayonix Save date/time stamp	03/03 00:19:16.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722861 138711 0 -0.9271 -38.3311 0 0 -0.36 0 108.519 187.02 44.3185 137.699 154.133 121.95 626.862 1527.59 151.466 151.828 153.039 23.772 1417.59 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-4-prerxnmix/an-3-17-4-prerxnmix_hs104_212_0000.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36143.05000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	693555.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 5.8868203E+01	 2.0403996E+00	 6.2283381E-06	 3.8792196E-11	 2.4311958E-08	 8.4266389E-10	 1.5142310E-13	 5.2483957E-15	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 2.7061160E+03	 9.3795251E+01	 7.4883439E-02	 2.5954952E-03	 3.9034423E-03	 1.3529514E-04	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 4.7296769E+01	 1.2665518E+00	 7.1570395E-06	 5.1223215E-11	 2.2445634E-08	 6.0106766E-10	 1.6064429E-13	 4.3018650E-15	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 2.1741880E+03	 5.8222197E+01	 6.0163968E-02	 1.6111203E-03	 3.1361617E-03	 8.3982721E-05	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 3.7963619E+01	 1.0130282E+00	 8.1502536E-06	 6.6426634E-11	 2.0516615E-08	 5.4746916E-10	 1.6721561E-13	 4.4620125E-15	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 1.7451519E+03	 4.6567957E+01	 4.8291713E-02	 1.2886250E-03	 2.5172977E-03	 6.7172040E-05	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 3.0861949E+01	 7.5670911E-01	 9.2079803E-06	 8.4786902E-11	 1.8843202E-08	 4.6201952E-10	 1.7350784E-13	 4.2542666E-15	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 1.4186948E+03	 3.4785207E+01	 3.9258016E-02	 9.6257363E-04	 2.0463991E-03	 5.0175989E-05	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 2.5325393E+01	 5.2724115E-01	 1.0330220E-05	 1.0671344E-10	 1.7347334E-08	 3.6114852E-10	 1.7920177E-13	 3.7307436E-15	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 1.1641845E+03	 2.4236781E+01	 3.2215227E-02	 6.7067837E-04	 1.6792803E-03	 3.4960391E-05	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 2.1119382E+01	 4.6468701E-01	 1.1516972E-05	 1.3264064E-10	 1.6128222E-08	 3.5486717E-10	 1.8574828E-13	 4.0869952E-15	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 9.7083816E+02	 2.1361225E+01	 2.6864961E-02	 5.9110622E-04	 1.4003874E-03	 3.0812541E-05	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 1.7558259E+01	 3.1373655E-01	 1.2768237E-05	 1.6302787E-10	 1.4865494E-08	 2.6562138E-10	 1.8980615E-13	 3.3915166E-15	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 8.0713665E+02	 1.4422175E+01	 2.2335025E-02	 3.9908933E-04	 1.1642558E-03	 2.0803294E-05	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 1.4535473E+01	 2.5833229E-01	 1.4084014E-05	 1.9835946E-10	 1.3574461E-08	 2.4125267E-10	 1.9118291E-13	 3.3978060E-15	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 6.6818205E+02	 1.1875293E+01	 1.8489883E-02	 3.2861221E-04	 9.6382049E-04	 1.7129539E-05	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 1.2475093E+01	 1.9662590E-01	 1.5464304E-05	 2.3914471E-10	 1.2792080E-08	 2.0162208E-10	 1.9782061E-13	 3.1179453E-15	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 5.7346830E+02	 9.0387080E+00	 1.5868972E-02	 2.5011845E-04	 8.2720046E-04	 1.3037902E-05	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 1.0819030E+01	 1.6563882E-01	 1.6909107E-05	 2.8591791E-10	 1.2130424E-08	 1.8571620E-10	 2.0511464E-13	 3.1402952E-15	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 4.9734063E+02	 7.6142611E+00	 1.3762373E-02	 2.1070126E-04	 7.1738996E-04	 1.0983206E-05	 4.7000000E+01
