# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs102_213_0136.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Mar 03 00:33:50 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289230.424
# Rayonix Save date/time stamp	03/03 00:33:47.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722884 138927 0 -0.9271 -38.3311 0 0 -0.36 0 108.49 182.042 44.3017 137.763 144.193 121.914 626.85 1527.6 149.799 150.352 151.52 24.5514 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4/an-3-17-4_hs102_213_0136.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.20000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	694635.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.6590807E-01	 1.6771893E-03	 4.8080958E-01	 2.3117785E-01	 6.3442505E-04	 6.4134971E-06	 3.0503764E-04	 3.0836708E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.1618229E+02	 9.2618229E+00	 2.5351721E-02	 2.5628431E-04	 1.3194934E-03	 1.3338954E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.6705510E-01	 1.6886596E-03	 4.8610586E-01	 2.3629891E-01	 6.4584796E-04	 6.5284890E-06	 3.1395048E-04	 3.1735368E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.2251646E+02	 9.3251646E+00	 2.5526994E-02	 2.5803704E-04	 1.3286159E-03	 1.3430180E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.6776896E-01	 1.6957982E-03	 4.9143110E-01	 2.4150453E-01	 6.5571323E-04	 6.6279087E-06	 3.2223788E-04	 3.2571604E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.2645856E+02	 9.3645856E+00	 2.5636076E-02	 2.5912786E-04	 1.3342933E-03	 1.3486954E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.6841905E-01	 1.7022991E-03	 4.9678530E-01	 2.4679564E-01	 6.6542583E-04	 6.7258057E-06	 3.3057377E-04	 3.3412814E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.3004851E+02	 9.4004851E+00	 2.5735414E-02	 2.6012124E-04	 1.3394636E-03	 1.3538657E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.6998764E-01	 1.7179850E-03	 5.0216846E-01	 2.5217317E-01	 6.7890107E-04	 6.8613334E-06	 3.4092271E-04	 3.4455452E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.3871064E+02	 9.4871064E+00	 2.5975104E-02	 2.6251814E-04	 1.3519389E-03	 1.3663410E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7147634E-01	 1.7328720E-03	 5.0758059E-01	 2.5763805E-01	 6.9222762E-04	 6.9953783E-06	 3.5136130E-04	 3.5507182E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.4693159E+02	 9.5693159E+00	 2.6202586E-02	 2.6479297E-04	 1.3637787E-03	 1.3781808E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.7291145E-01	 1.7472231E-03	 5.1302167E-01	 2.6319123E-01	 7.0550348E-04	 7.1289206E-06	 3.6193857E-04	 3.6572907E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 9.5485656E+02	 9.6485656E+00	 2.6421878E-02	 2.6698589E-04	 1.3751924E-03	 1.3895944E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.7432740E-01	 1.7613826E-03	 5.1849171E-01	 2.6883365E-01	 7.1886472E-04	 7.2633208E-06	 3.7272539E-04	 3.7659716E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 9.6267577E+02	 9.7267577E+00	 2.6638244E-02	 2.6914954E-04	 1.3864536E-03	 1.4008557E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.7544237E-01	 1.7725324E-03	 5.2399070E-01	 2.7456625E-01	 7.3113535E-04	 7.3868191E-06	 3.8310812E-04	 3.8706245E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 9.6883292E+02	 9.7883292E+00	 2.6808619E-02	 2.7085329E-04	 1.3953212E-03	 1.4097233E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.7656520E-01	 1.7837606E-03	 5.2951865E-01	 2.8039000E-01	 7.4357723E-04	 7.5120340E-06	 3.9373801E-04	 3.9777621E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 9.7503343E+02	 9.8503343E+00	 2.6980193E-02	 2.7256904E-04	 1.4042512E-03	 1.4186533E-05	 4.0600000E+02
