# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs102_213_0139.txt
# SPEC date/time stamp	Thu Mar 03 00:34:04 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289244.826
# Rayonix Save date/time stamp	03/03 00:34:02.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722885 138826 0 -0.9271 -38.3311 0 0 -0.36 0 108.839 186.732 45.7655 138.75 144.333 121.911 626.846 1527.59 152.057 152.244 151.16 24.5475 1417.59 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4/an-3-17-4_hs102_213_0139.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.25000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	694130.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.6639475E-01	 1.6820693E-03	 4.8080958E-01	 2.3117785E-01	 6.3628610E-04	 6.4321580E-06	 3.0593245E-04	 3.0926432E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.1820157E+02	 9.2820157E+00	 2.5407561E-02	 2.5684271E-04	 1.3233640E-03	 1.3377766E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.6737124E-01	 1.6918342E-03	 4.8610586E-01	 2.3629891E-01	 6.4707019E-04	 6.5407623E-06	 3.1454461E-04	 3.1795029E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.2359005E+02	 9.3359005E+00	 2.5556666E-02	 2.5833376E-04	 1.3311302E-03	 1.3455428E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.6791272E-01	 1.6972490E-03	 4.9143110E-01	 2.4150453E-01	 6.5627513E-04	 6.6335791E-06	 3.2251401E-04	 3.2599471E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.2657806E+02	 9.3657806E+00	 2.5639347E-02	 2.5916057E-04	 1.3354367E-03	 1.3498493E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.6895788E-01	 1.7077006E-03	 4.9678530E-01	 2.4679564E-01	 6.6755477E-04	 6.7471472E-06	 3.3163140E-04	 3.3518835E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.3234548E+02	 9.4234548E+00	 2.5798938E-02	 2.6075648E-04	 1.3437490E-03	 1.3581616E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.7001498E-01	 1.7182716E-03	 5.0216846E-01	 2.5217317E-01	 6.7901026E-04	 6.8624780E-06	 3.4097754E-04	 3.4461200E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.3817879E+02	 9.4817879E+00	 2.5960351E-02	 2.6237061E-04	 1.3521563E-03	 1.3665689E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7144777E-01	 1.7325995E-03	 5.0758059E-01	 2.5763805E-01	 6.9211229E-04	 6.9942783E-06	 3.5130276E-04	 3.5501599E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.4608523E+02	 9.5608523E+00	 2.6179130E-02	 2.6455840E-04	 1.3635515E-03	 1.3779641E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.7281661E-01	 1.7462880E-03	 5.1302167E-01	 2.6319123E-01	 7.0511655E-04	 7.1251051E-06	 3.6174007E-04	 3.6553333E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 9.5363879E+02	 9.6363879E+00	 2.6388145E-02	 2.6664855E-04	 1.3744381E-03	 1.3888507E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.7446617E-01	 1.7627835E-03	 5.1849171E-01	 2.6883365E-01	 7.1943695E-04	 7.2690974E-06	 3.7302209E-04	 3.7689667E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 9.6274136E+02	 9.7274136E+00	 2.6640022E-02	 2.6916732E-04	 1.3875573E-03	 1.4019699E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.7581620E-01	 1.7762838E-03	 5.2399070E-01	 2.7456625E-01	 7.3269324E-04	 7.4024529E-06	 3.8392444E-04	 3.8788165E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 9.7019116E+02	 9.8019116E+00	 2.6846165E-02	 2.7122876E-04	 1.3982944E-03	 1.4127069E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.7687777E-01	 1.7868995E-03	 5.2951865E-01	 2.8039000E-01	 7.4489358E-04	 7.5252530E-06	 3.9443504E-04	 3.9847618E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 9.7604912E+02	 9.8604912E+00	 2.7008261E-02	 2.7284971E-04	 1.4067372E-03	 1.4211498E-05	 4.0600000E+02
