# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs102_213_0180.txt
# SPEC date/time stamp	Thu Mar 03 00:37:28 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289448.027
# Rayonix Save date/time stamp	03/03 00:37:27.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722886 142557 0 -0.9271 -38.3311 0 0 -0.36 0 109.401 186 44.4643 137.775 143.842 121.88 626.842 1527.58 153.521 153.713 153.779 24.7832 1417.63 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4/an-3-17-4_hs102_213_0180.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.30000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	712785.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.6668767E-01	 1.6845241E-03	 4.8080958E-01	 2.3117785E-01	 6.3740623E-04	 6.4415449E-06	 3.0647102E-04	 3.0971565E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.4454881E+02	 9.5454881E+00	 2.6136580E-02	 2.6413289E-04	 1.3256937E-03	 1.3397289E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.6733518E-01	 1.6909991E-03	 4.8610586E-01	 2.3629891E-01	 6.4693077E-04	 6.5375337E-06	 3.1447684E-04	 3.1779334E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.4821793E+02	 9.5821793E+00	 2.6238108E-02	 2.6514818E-04	 1.3308434E-03	 1.3448786E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.6784370E-01	 1.6960844E-03	 4.9143110E-01	 2.4150453E-01	 6.5600537E-04	 6.6290271E-06	 3.2238144E-04	 3.2577101E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.5109954E+02	 9.6109954E+00	 2.6317845E-02	 2.6594554E-04	 1.3348878E-03	 1.3489230E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.6879534E-01	 1.7056007E-03	 4.9678530E-01	 2.4679564E-01	 6.6691257E-04	 6.7388505E-06	 3.3131236E-04	 3.3477619E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.5649207E+02	 9.6649207E+00	 2.6467061E-02	 2.6743771E-04	 1.3424563E-03	 1.3564915E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.6975321E-01	 1.7151794E-03	 5.0216846E-01	 2.5217317E-01	 6.7796478E-04	 6.8501282E-06	 3.4045253E-04	 3.4399183E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.6191990E+02	 9.7191990E+00	 2.6617254E-02	 2.6893964E-04	 1.3500744E-03	 1.3641096E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7112936E-01	 1.7289410E-03	 5.0758059E-01	 2.5763805E-01	 6.9082690E-04	 6.9795090E-06	 3.5065032E-04	 3.5426633E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.6971798E+02	 9.7971798E+00	 2.6833035E-02	 2.7109745E-04	 1.3610192E-03	 1.3750544E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.7225473E-01	 1.7401946E-03	 5.1302167E-01	 2.6319123E-01	 7.0282398E-04	 7.1002435E-06	 3.6056393E-04	 3.6425787E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 9.7609497E+02	 9.8609497E+00	 2.7009493E-02	 2.7286202E-04	 1.3699694E-03	 1.3840046E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.7358306E-01	 1.7534779E-03	 5.1849171E-01	 2.6883365E-01	 7.1579534E-04	 7.2307247E-06	 3.7113395E-04	 3.7490708E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 9.8362206E+02	 9.9362206E+00	 2.7217775E-02	 2.7494484E-04	 1.3805338E-03	 1.3945690E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.7509384E-01	 1.7685858E-03	 5.2399070E-01	 2.7456625E-01	 7.2968290E-04	 7.3703721E-06	 3.8234705E-04	 3.8620065E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 9.9218304E+02	 1.0021830E+01	 2.7454665E-02	 2.7731375E-04	 1.3925493E-03	 1.4065845E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.7593824E-01	 1.7770297E-03	 5.2951865E-01	 2.8039000E-01	 7.4093687E-04	 7.4836877E-06	 3.9233989E-04	 3.9627522E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 9.9696785E+02	 1.0069679E+01	 2.7587065E-02	 2.7863775E-04	 1.3992649E-03	 1.4133001E-05	 4.0600000E+02
