# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs102_213_0206.txt
# SPEC date/time stamp	Thu Mar 03 00:39:38 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289578.510
# Rayonix Save date/time stamp	03/03 00:39:38.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722890 141104 0 -0.9271 -38.3311 0 0 -0.36 0 108.709 189.013 44.2093 138 143.681 121.88 626.836 1527.57 153.521 153.435 152.598 24.8877 1417.62 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-4/an-3-17-4_hs102_213_0206.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.50000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	705520.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.6633532E-01	 1.6811823E-03	 4.8080958E-01	 2.3117785E-01	 6.3605885E-04	 6.4287663E-06	 3.0582319E-04	 3.0910124E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 9.3294136E+02	 9.4294136E+00	 2.5815248E-02	 2.6091956E-04	 1.3228914E-03	 1.3370712E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.6703153E-01	 1.6881444E-03	 4.8610586E-01	 2.3629891E-01	 6.4575684E-04	 6.5264972E-06	 3.1390618E-04	 3.1725685E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 9.3684625E+02	 9.4684625E+00	 2.5923299E-02	 2.6200007E-04	 1.3284284E-03	 1.3426082E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.6784465E-01	 1.6962757E-03	 4.9143110E-01	 2.4150453E-01	 6.5600909E-04	 6.6297748E-06	 3.2238327E-04	 3.2580775E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 9.4140692E+02	 9.5140692E+00	 2.6049496E-02	 2.6326204E-04	 1.3348954E-03	 1.3490751E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.6860746E-01	 1.7039037E-03	 4.9678530E-01	 2.4679564E-01	 6.6617025E-04	 6.7321456E-06	 3.3094359E-04	 3.3444310E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 9.4568534E+02	 9.5568534E+00	 2.6167884E-02	 2.6444592E-04	 1.3409621E-03	 1.3551419E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.6989172E-01	 1.7167463E-03	 5.0216846E-01	 2.5217317E-01	 6.7851796E-04	 6.8563861E-06	 3.4073032E-04	 3.4430609E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 9.5288848E+02	 9.6288848E+00	 2.6367201E-02	 2.6643909E-04	 1.3511760E-03	 1.3653558E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.7099984E-01	 1.7278275E-03	 5.0758059E-01	 2.5763805E-01	 6.9030404E-04	 6.9750143E-06	 3.5038493E-04	 3.5403819E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 9.5910372E+02	 9.6910372E+00	 2.6539181E-02	 2.6815890E-04	 1.3599891E-03	 1.3741688E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.7258087E-01	 1.7436378E-03	 5.1302167E-01	 2.6319123E-01	 7.0415468E-04	 7.1142922E-06	 3.6124661E-04	 3.6497861E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 9.6797140E+02	 9.7797140E+00	 2.6784557E-02	 2.7061265E-04	 1.3725632E-03	 1.3867430E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.7411578E-01	 1.7589869E-03	 5.1849171E-01	 2.6883365E-01	 7.1799206E-04	 7.2534417E-06	 3.7227293E-04	 3.7608493E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 9.7658037E+02	 9.8658037E+00	 2.7022775E-02	 2.7299483E-04	 1.3847706E-03	 1.3989504E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.7532441E-01	 1.7710733E-03	 5.2399070E-01	 2.7456625E-01	 7.3064376E-04	 7.3807384E-06	 3.8285054E-04	 3.8674383E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 9.8335938E+02	 9.9335938E+00	 2.7210355E-02	 2.7487063E-04	 1.3943831E-03	 1.4085629E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.7663584E-01	 1.7841875E-03	 5.2951865E-01	 2.8039000E-01	 7.4387472E-04	 7.5138318E-06	 3.9389554E-04	 3.9787141E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 9.9071491E+02	 1.0007149E+01	 2.7413889E-02	 2.7690597E-04	 1.4048131E-03	 1.4189929E-05	 4.0600000E+02
 4.8661677E+00	 7.3148859E-01	 1.7792196E-01	 1.7970487E-03	 5.3507556E-01	 2.8630585E-01	 7.5715425E-04	 7.6474151E-06	 4.0513473E-04	 4.0919449E-06	 7.3148859E-01	 7.3148859E+00	 8.5895876E+00	 8.5895876E-01	 1.1642002E-01	 1.1642002E+00	 9.9792848E+02	 1.0079285E+01	 2.7613494E-02	 2.7890202E-04	 1.4150418E-03	 1.4292215E-05	 3.9300000E+02
 4.8915170E+00	 7.3529682E-01	 1.7918561E-01	 1.8096852E-03	 5.4066141E-01	 2.9231476E-01	 7.7049214E-04	 7.7815861E-06	 4.1657537E-04	 4.2072033E-06	 7.3529682E-01	 7.3529682E+00	 8.5451006E+00	 8.5451006E-01	 1.1702612E-01	 1.1702612E+00	 1.0050161E+03	 1.0150161E+01	 2.7809613E-02	 2.8086321E-04	 1.4250918E-03	 1.4392716E-05	 4.2100000E+02
 4.9168663E+00	 7.3910501E-01	 1.8059744E-01	 1.8238035E-03	 5.4627622E-01	 2.9841771E-01	 7.8462763E-04	 7.9237372E-06	 4.2862342E-04	 4.3285492E-06	 7.3910501E-01	 7.3910501E+00	 8.5010725E+00	 8.5010725E-01	 1.1763222E-01	 1.1763222E+00	 1.0129347E+03	 1.0229347E+01	 2.8028729E-02	 2.8305438E-04	 1.4363203E-03	 1.4505001E-05	 4.1000000E+02
 4.9422156E+00	 7.4291317E-01	 1.8219494E-01	 1.8397786E-03	 5.5191998E-01	 3.0461567E-01	 7.9974613E-04	 8.0757224E-06	 4.4139587E-04	 4.4571525E-06	 7.4291317E-01	 7.4291317E+00	 8.4574962E+00	 8.4574962E-01	 1.1823830E-01	 1.1823830E+00	 1.0218948E+03	 1.0318948E+01	 2.8276662E-02	 2.8553370E-04	 1.4490255E-03	 1.4632053E-05	 4.1700000E+02
 4.9675649E+00	 7.4672130E-01	 1.8368809E-01	 1.8547100E-03	 5.5759269E-01	 3.1090961E-01	 8.1458756E-04	 8.2249411E-06	 4.5420807E-04	 4.5861671E-06	 7.4672130E-01	 7.4672130E+00	 8.4143647E+00	 8.4143647E-01	 1.1884439E-01	 1.1884439E+00	 1.0302695E+03	 1.0402695E+01	 2.8508398E-02	 2.8785106E-04	 1.4609007E-03	 1.4750805E-05	 4.1100000E+02
 4.9929142E+00	 7.5052938E-01	 1.8531302E-01	 1.8709593E-03	 5.6329435E-01	 3.1730053E-01	 8.3019678E-04	 8.3818417E-06	 4.6764516E-04	 4.7214441E-06	 7.5052938E-01	 7.5052938E+00	 8.3716713E+00	 8.3716713E-01	 1.1945046E-01	 1.1945046E+00	 1.0393835E+03	 1.0493835E+01	 2.8760588E-02	 2.9037296E-04	 1.4738241E-03	 1.4880039E-05	 4.1900000E+02
 5.0182635E+00	 7.5433743E-01	 1.8689893E-01	 1.8868184E-03	 5.6902496E-01	 3.2378940E-01	 8.4581978E-04	 8.5388844E-06	 4.8129257E-04	 4.8588383E-06	 7.5433743E-01	 7.5433743E+00	 8.3294094E+00	 8.3294094E-01	 1.2005653E-01	 1.2005653E+00	 1.0482785E+03	 1.0582785E+01	 2.9006720E-02	 2.9283429E-04	 1.4864370E-03	 1.5006168E-05	 4.2400000E+02
