# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs103_213_0101.txt
# SPEC date/time stamp	Thu Mar 03 00:30:52 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289052.926
# Rayonix Save date/time stamp	03/03 00:30:52.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722882 140253 0 -0.9271 -38.3311 0 0 -0.36 0 108.93 184.839 44.9392 138.438 145.023 121.91 626.856 1527.6 152.858 152.82 151.981 24.3882 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4/an-3-17-4_hs103_213_0101.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.10000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	701265.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.5913454E-01	 1.6184982E-03	 1.8111705E-02	 3.2803386E-04	 1.5142839E-05	 1.5401218E-07	 2.7426264E-07	 2.7894233E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 5.8607054E+02	 5.9607054E+00	 1.6217229E-02	 1.6493940E-04	 8.3608028E-04	 8.5034614E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.5981868E-01	 1.6253396E-03	 1.8520370E-02	 3.4300411E-04	 1.5551087E-05	 1.5815296E-07	 2.8801188E-07	 2.9290513E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 5.8859015E+02	 5.9859015E+00	 1.6286949E-02	 1.6563660E-04	 8.3967472E-04	 8.5394059E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.6047963E-01	 1.6319491E-03	 1.8933594E-02	 3.5848098E-04	 1.5963809E-05	 1.6233913E-07	 3.0225227E-07	 3.0736631E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 5.9102434E+02	 6.0102434E+00	 1.6354306E-02	 1.6631017E-04	 8.4314730E-04	 8.5741316E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.5952163E-01	 1.6223691E-03	 1.9351377E-02	 3.7447579E-04	 1.6218661E-05	 1.6494725E-07	 3.1385342E-07	 3.1919564E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 5.8749615E+02	 5.9749615E+00	 1.6256677E-02	 1.6533388E-04	 8.3811405E-04	 8.5237991E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.5936528E-01	 1.6208056E-03	 1.9773719E-02	 3.9099995E-04	 1.6556388E-05	 1.6838477E-07	 3.2738135E-07	 3.3295931E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 5.8692033E+02	 5.9692033E+00	 1.6240743E-02	 1.6517455E-04	 8.3729257E-04	 8.5155844E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.5878785E-01	 1.6150313E-03	 2.0200619E-02	 4.0806502E-04	 1.6852544E-05	 1.7140724E-07	 3.4043183E-07	 3.4625323E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 5.8479372E+02	 5.9479372E+00	 1.6181898E-02	 1.6458609E-04	 8.3425879E-04	 8.4852466E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.5798183E-01	 1.6069711E-03	 2.0632079E-02	 4.2568267E-04	 1.7125122E-05	 1.7419456E-07	 3.5332686E-07	 3.5939959E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 5.8182529E+02	 5.9182529E+00	 1.6099758E-02	 1.6376469E-04	 8.3002406E-04	 8.4428993E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.5878629E-01	 1.6150156E-03	 2.1068097E-02	 4.4386471E-04	 1.7576072E-05	 1.7876627E-07	 3.7029440E-07	 3.7662651E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 5.8478798E+02	 5.9478798E+00	 1.6181739E-02	 1.6458450E-04	 8.3425059E-04	 8.4851646E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.5930689E-01	 1.6202217E-03	 2.1508674E-02	 4.6262306E-04	 1.8002455E-05	 1.8309295E-07	 3.8720893E-07	 3.9380865E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 5.8670528E+02	 5.9670528E+00	 1.6234793E-02	 1.6511504E-04	 8.3698580E-04	 8.5125167E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.5917766E-01	 1.6189294E-03	 2.1953810E-02	 4.8196977E-04	 1.8360122E-05	 1.8673312E-07	 4.0307462E-07	 4.0995033E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 5.8622936E+02	 5.9622936E+00	 1.6221623E-02	 1.6498335E-04	 8.3630685E-04	 8.5057271E-06	 2.1100000E+02
