# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs103_213_0167.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Mar 03 00:36:25 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289385.501
# Rayonix Save date/time stamp	03/03 00:36:22.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722885 140933 0 -0.9271 -38.3311 0 0 -0.36 0 110.424 187.705 43.0049 137.826 144.243 121.883 626.842 1527.58 151.746 152.283 153.679 24.6831 1417.61 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4/an-3-17-4_hs103_213_0167.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.25000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	704665.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.5773804E-01	 1.6044021E-03	 1.8111705E-02	 3.2803386E-04	 1.5009952E-05	 1.5267084E-07	 2.7185582E-07	 2.7651292E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 5.8374515E+02	 5.9374515E+00	 1.6152816E-02	 1.6429526E-04	 8.2874318E-04	 8.4294019E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.5762087E-01	 1.6032304E-03	 1.8520370E-02	 3.4300411E-04	 1.5337229E-05	 1.5600163E-07	 2.8405116E-07	 2.8892079E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 5.8331153E+02	 5.9331153E+00	 1.6140817E-02	 1.6417527E-04	 8.2812757E-04	 8.4232458E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.5865802E-01	 1.6136019E-03	 1.8933594E-02	 3.5848098E-04	 1.5782602E-05	 1.6051403E-07	 2.9882139E-07	 3.0391074E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 5.8714974E+02	 5.9714974E+00	 1.6247024E-02	 1.6523734E-04	 8.3357668E-04	 8.4777368E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.5858547E-01	 1.6128764E-03	 1.9351377E-02	 3.7447579E-04	 1.6123480E-05	 1.6398212E-07	 3.1201154E-07	 3.1732798E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 5.8688125E+02	 5.9688125E+00	 1.6239595E-02	 1.6516305E-04	 8.3319551E-04	 8.4739251E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.5834468E-01	 1.6104685E-03	 1.9773719E-02	 3.9099995E-04	 1.6450358E-05	 1.6731085E-07	 3.2528475E-07	 3.3083578E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 5.8599015E+02	 5.9599015E+00	 1.6214937E-02	 1.6491647E-04	 8.3193041E-04	 8.4612742E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.5689515E-01	 1.5959732E-03	 2.0200619E-02	 4.0806502E-04	 1.6651667E-05	 1.6938456E-07	 3.3637399E-07	 3.4216729E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 5.8062584E+02	 5.9062584E+00	 1.6066501E-02	 1.6343211E-04	 8.2431470E-04	 8.3851171E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.5747777E-01	 1.6017995E-03	 2.0632079E-02	 4.2568267E-04	 1.7070482E-05	 1.7363396E-07	 3.5219953E-07	 3.5824295E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 5.8278199E+02	 5.9278199E+00	 1.6126164E-02	 1.6402874E-04	 8.2737578E-04	 8.4157278E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.5731243E-01	 1.6001460E-03	 2.1068097E-02	 4.4386471E-04	 1.7412931E-05	 1.7712035E-07	 3.6685731E-07	 3.7315886E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 5.8217008E+02	 5.9217008E+00	 1.6109232E-02	 1.6385942E-04	 8.2650706E-04	 8.4070406E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.5800381E-01	 1.6070599E-03	 2.1508674E-02	 4.6262306E-04	 1.7855201E-05	 1.8160560E-07	 3.8404170E-07	 3.9060956E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 5.8472872E+02	 5.9472872E+00	 1.6180032E-02	 1.6456742E-04	 8.3013955E-04	 8.4433656E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.5799284E-01	 1.6069501E-03	 2.1953810E-02	 4.8196977E-04	 1.8223460E-05	 1.8535138E-07	 4.0007438E-07	 4.0691690E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 5.8468810E+02	 5.9468810E+00	 1.6178908E-02	 1.6455618E-04	 8.3008189E-04	 8.4427889E-06	 2.1100000E+02
