# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs103_213_0180.txt
# SPEC date/time stamp	Thu Mar 03 00:37:28 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289448.027
# Rayonix Save date/time stamp	03/03 00:37:27.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722886 142557 0 -0.9271 -38.3311 0 0 -0.36 0 109.401 186 44.4643 137.775 143.842 121.88 626.842 1527.58 153.521 153.713 153.779 24.7832 1417.63 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4/an-3-17-4_hs103_213_0180.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.30000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	712785.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.5848499E-01	 1.6115637E-03	 1.8111705E-02	 3.2803386E-04	 1.5081030E-05	 1.5335232E-07	 2.7314317E-07	 2.7774719E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 5.9327068E+02	 6.0327068E+00	 1.6416374E-02	 1.6693084E-04	 8.3266762E-04	 8.4670282E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.5764787E-01	 1.6031924E-03	 1.8520370E-02	 3.4300411E-04	 1.5339856E-05	 1.5599794E-07	 2.8409982E-07	 2.8891395E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 5.9013700E+02	 6.0013700E+00	 1.6329662E-02	 1.6606372E-04	 8.2826943E-04	 8.4230464E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.5618440E-01	 1.5885578E-03	 1.8933594E-02	 3.5848098E-04	 1.5536538E-05	 1.5802275E-07	 2.9416251E-07	 2.9919386E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 5.8465869E+02	 5.9465869E+00	 1.6178072E-02	 1.6454781E-04	 8.2058051E-04	 8.3461571E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.5794202E-01	 1.6061339E-03	 1.9351377E-02	 3.7447579E-04	 1.6058060E-05	 1.6329661E-07	 3.1074558E-07	 3.1600143E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 5.9123812E+02	 6.0123812E+00	 1.6360131E-02	 1.6636841E-04	 8.2981488E-04	 8.4385008E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.5846535E-01	 1.6113673E-03	 1.9773719E-02	 3.9099995E-04	 1.6462895E-05	 1.6740423E-07	 3.2553264E-07	 3.3102041E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 5.9319715E+02	 6.0319715E+00	 1.6414339E-02	 1.6691049E-04	 8.3256442E-04	 8.4659962E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.5697282E-01	 1.5964420E-03	 2.0200619E-02	 4.0806502E-04	 1.6659912E-05	 1.6943431E-07	 3.3654053E-07	 3.4226781E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 5.8761006E+02	 5.9761006E+00	 1.6259739E-02	 1.6536449E-04	 8.2472282E-04	 8.3875802E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.5711792E-01	 1.5978929E-03	 2.0632079E-02	 4.2568267E-04	 1.7031474E-05	 1.7321049E-07	 3.5139471E-07	 3.5736925E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 5.8815319E+02	 5.9815319E+00	 1.6274768E-02	 1.6551478E-04	 8.2548511E-04	 8.3952032E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.5713700E-01	 1.5980838E-03	 2.1068097E-02	 4.4386471E-04	 1.7393513E-05	 1.7689208E-07	 3.6644822E-07	 3.7267795E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 5.8822464E+02	 5.9822464E+00	 1.6276745E-02	 1.6553455E-04	 8.2558539E-04	 8.3962059E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.5820999E-01	 1.6088137E-03	 2.1508674E-02	 4.6262306E-04	 1.7878500E-05	 1.8180379E-07	 3.8454284E-07	 3.9103585E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 5.9224126E+02	 6.0224126E+00	 1.6387889E-02	 1.6664599E-04	 8.3122281E-04	 8.4525801E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.5748589E-01	 1.6015726E-03	 2.1953810E-02	 4.8196977E-04	 1.8164986E-05	 1.8473112E-07	 3.9879065E-07	 4.0555520E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 5.8953064E+02	 5.9953064E+00	 1.6312883E-02	 1.6589593E-04	 8.2741840E-04	 8.4145360E-06	 2.1100000E+02
