# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs103_213_0206.txt
# SPEC date/time stamp	Thu Mar 03 00:39:39 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289579.831
# Rayonix Save date/time stamp	03/03 00:39:38.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722890 141104 0 -0.9271 -38.3311 0 0 -0.36 0 108.709 189.013 44.2093 138 143.681 121.88 626.836 1527.57 153.521 153.435 152.598 24.8877 1417.62 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-4/an-3-17-4_hs103_213_0206.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.50000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	705520.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.5844900E-01	 1.6114790E-03	 1.8111705E-02	 3.2803386E-04	 1.5077606E-05	 1.5334426E-07	 2.7308115E-07	 2.7773260E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 5.8708801E+02	 5.9708801E+00	 1.6245204E-02	 1.6521912E-04	 8.3247855E-04	 8.4665834E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.5769980E-01	 1.6039870E-03	 1.8520370E-02	 3.4300411E-04	 1.5344910E-05	 1.5607525E-07	 2.8419341E-07	 2.8905714E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 5.8431206E+02	 5.9431206E+00	 1.6168391E-02	 1.6445099E-04	 8.2854230E-04	 8.4272210E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.5812235E-01	 1.6082125E-03	 1.8933594E-02	 3.5848098E-04	 1.5729317E-05	 1.5997791E-07	 2.9781250E-07	 3.0289568E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 5.8587769E+02	 5.9587769E+00	 1.6211713E-02	 1.6488421E-04	 8.3076233E-04	 8.4494213E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.5779405E-01	 1.6049295E-03	 1.9351377E-02	 3.7447579E-04	 1.6043017E-05	 1.6317415E-07	 3.1045447E-07	 3.1576445E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 5.8466128E+02	 5.9466128E+00	 1.6178054E-02	 1.6454762E-04	 8.2903749E-04	 8.4321728E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.5746118E-01	 1.6016007E-03	 1.9773719E-02	 3.9099995E-04	 1.6358572E-05	 1.6638959E-07	 3.2346979E-07	 3.2901409E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 5.8342790E+02	 5.9342790E+00	 1.6143925E-02	 1.6420634E-04	 8.2728859E-04	 8.4146838E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.5765017E-01	 1.6034906E-03	 2.0200619E-02	 4.0806502E-04	 1.6731800E-05	 1.7018240E-07	 3.3799271E-07	 3.4377899E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 5.8412814E+02	 5.9412814E+00	 1.6163302E-02	 1.6440010E-04	 8.2828151E-04	 8.4246131E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.5824792E-01	 1.6094682E-03	 2.0632079E-02	 4.2568267E-04	 1.7153966E-05	 1.7446524E-07	 3.5392197E-07	 3.5995807E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 5.8634297E+02	 5.9634297E+00	 1.6224588E-02	 1.6501296E-04	 8.3142209E-04	 8.4560188E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.5857582E-01	 1.6127471E-03	 2.1068097E-02	 4.4386471E-04	 1.7552776E-05	 1.7851517E-07	 3.6980358E-07	 3.7609749E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 5.8755789E+02	 5.9755789E+00	 1.6258205E-02	 1.6534914E-04	 8.3314482E-04	 8.4732461E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.5788801E-01	 1.6058690E-03	 2.1508674E-02	 4.6262306E-04	 1.7842114E-05	 1.8147103E-07	 3.8376022E-07	 3.9032012E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 5.8500940E+02	 5.9500940E+00	 1.6187687E-02	 1.6464395E-04	 8.2953111E-04	 8.4371090E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.5758363E-01	 1.6028253E-03	 2.1953810E-02	 4.8196977E-04	 1.8176260E-05	 1.8487561E-07	 3.9903817E-07	 4.0587240E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 5.8388161E+02	 5.9388161E+00	 1.6156480E-02	 1.6433188E-04	 8.2793194E-04	 8.4211173E-06	 2.1100000E+02
 9.9543388E-01	 1.4967800E-01	 1.5792209E-01	 1.6062099E-03	 2.2403505E-02	 5.0191702E-04	 1.8588416E-05	 1.8906093E-07	 4.1644567E-07	 4.2356275E-09	 1.4967800E-01	 1.4967800E+00	 4.1978014E+01	 4.1978014E+00	 2.3821994E-02	 2.3821994E-01	 5.8513570E+02	 5.9513570E+00	 1.6191182E-02	 1.6467890E-04	 8.2971021E-04	 8.4389000E-06	 2.0600000E+02
 1.0054752E+00	 1.5118782E-01	 1.5688619E-01	 1.5958508E-03	 2.2857758E-02	 5.2247710E-04	 1.8840910E-05	 1.9165028E-07	 4.3066097E-07	 4.3806958E-09	 1.5118782E-01	 1.5118782E+00	 4.1558805E+01	 4.1558805E+00	 2.4062289E-02	 2.4062289E-01	 5.8129744E+02	 5.9129744E+00	 1.6084974E-02	 1.6361682E-04	 8.2426763E-04	 8.3844742E-06	 2.1300000E+02
 1.0155165E+00	 1.5269764E-01	 1.5597929E-01	 1.5867819E-03	 2.3316570E-02	 5.4366245E-04	 1.9107996E-05	 1.9438620E-07	 4.4553293E-07	 4.5324195E-09	 1.5269764E-01	 1.5269764E+00	 4.1147887E+01	 4.1147887E+00	 2.4302585E-02	 2.4302585E-01	 5.7793719E+02	 5.8793719E+00	 1.5991993E-02	 1.6268701E-04	 8.1950287E-04	 8.3368266E-06	 2.0700000E+02
 1.0255579E+00	 1.5420746E-01	 1.5707718E-01	 1.5977608E-03	 2.3779941E-02	 5.6548561E-04	 1.9624898E-05	 1.9962093E-07	 4.6667893E-07	 4.7469740E-09	 1.5420746E-01	 1.5420746E+00	 4.0745015E+01	 4.0745015E+00	 2.4542880E-02	 2.4542880E-01	 5.8200512E+02	 5.9200512E+00	 1.6104556E-02	 1.6381264E-04	 8.2527111E-04	 8.3945090E-06	 2.2100000E+02
 1.0355992E+00	 1.5571728E-01	 1.5834565E-01	 1.6104454E-03	 2.4247871E-02	 5.8795924E-04	 2.0172665E-05	 2.0516495E-07	 4.8914417E-07	 4.9748131E-09	 1.5571728E-01	 1.5571728E+00	 4.0349956E+01	 4.0349956E+00	 2.4783175E-02	 2.4783175E-01	 5.8670505E+02	 5.9670505E+00	 1.6234607E-02	 1.6511315E-04	 8.3193551E-04	 8.4611530E-06	 2.1300000E+02
 1.0456405E+00	 1.5722709E-01	 1.5764059E-01	 1.6033949E-03	 2.4720359E-02	 6.1109617E-04	 2.0474173E-05	 2.0824702E-07	 5.0612891E-07	 5.1479413E-09	 1.5722709E-01	 1.5722709E+00	 3.9962484E+01	 3.9962484E+00	 2.5023469E-02	 2.5023469E-01	 5.8409266E+02	 5.9409266E+00	 1.6162320E-02	 1.6439028E-04	 8.2823120E-04	 8.4241099E-06	 2.2300000E+02
 1.0556818E+00	 1.5873691E-01	 1.5788287E-01	 1.6058177E-03	 2.5197406E-02	 6.3490929E-04	 2.0901353E-05	 2.1258646E-07	 5.2665988E-07	 5.3566276E-09	 1.5873691E-01	 1.5873691E+00	 3.9582384E+01	 3.9582384E+00	 2.5263764E-02	 2.5263764E-01	 5.8499036E+02	 5.9499036E+00	 1.6187160E-02	 1.6463868E-04	 8.2950412E-04	 8.4368391E-06	 2.1900000E+02
 1.0657231E+00	 1.6024672E-01	 1.5774740E-01	 1.6044629E-03	 2.5679012E-02	 6.5941167E-04	 2.1282569E-05	 2.1646692E-07	 5.4651535E-07	 5.5586567E-09	 1.6024672E-01	 1.6024672E+00	 3.9209446E+01	 3.9209446E+00	 2.5504058E-02	 2.5504058E-01	 5.8448840E+02	 5.9448840E+00	 1.6173270E-02	 1.6449978E-04	 8.2879235E-04	 8.4297214E-06	 2.2200000E+02
 1.0757645E+00	 1.6175654E-01	 1.5775257E-01	 1.6045146E-03	 2.6165177E-02	 6.8461648E-04	 2.1686209E-05	 2.2057226E-07	 5.6742350E-07	 5.7713122E-09	 1.6175654E-01	 1.6175654E+00	 3.8843471E+01	 3.8843471E+00	 2.5744352E-02	 2.5744352E-01	 5.8450756E+02	 5.9450756E+00	 1.6173800E-02	 1.6450509E-04	 8.2881952E-04	 8.4299931E-06	 2.3000000E+02
 1.0858058E+00	 1.6326635E-01	 1.5714824E-01	 1.5984714E-03	 2.6655900E-02	 7.1053700E-04	 2.2008296E-05	 2.2386271E-07	 5.8665094E-07	 5.9672620E-09	 1.6326635E-01	 1.6326635E+00	 3.8484265E+01	 3.8484265E+00	 2.5984646E-02	 2.5984646E-01	 5.8226841E+02	 5.9226841E+00	 1.6111841E-02	 1.6388550E-04	 8.2564446E-04	 8.3982425E-06	 2.1900000E+02
 1.0958471E+00	 1.6477616E-01	 1.5724902E-01	 1.5994792E-03	 2.7151182E-02	 7.3718667E-04	 2.2431599E-05	 2.2816597E-07	 6.0904441E-07	 6.1949756E-09	 1.6477616E-01	 1.6477616E+00	 3.8131641E+01	 3.8131641E+00	 2.6224940E-02	 2.6224940E-01	 5.8264182E+02	 5.9264182E+00	 1.6122174E-02	 1.6398882E-04	 8.2617393E-04	 8.4035372E-06	 2.3300000E+02
 1.1058884E+00	 1.6628597E-01	 1.5713079E-01	 1.5982968E-03	 2.7651022E-02	 7.6457903E-04	 2.2827377E-05	 2.3219463E-07	 6.3120031E-07	 6.4204188E-09	 1.6628597E-01	 1.6628597E+00	 3.7785422E+01	 3.7785422E+00	 2.6465233E-02	 2.6465233E-01	 5.8220373E+02	 5.9220373E+00	 1.6110052E-02	 1.6386760E-04	 8.2555273E-04	 8.3973253E-06	 2.3200000E+02
 1.1159298E+00	 1.6779577E-01	 1.5743878E-01	 1.6013767E-03	 2.8155421E-02	 7.9272774E-04	 2.3289345E-05	 2.3688583E-07	 6.5572131E-07	 6.6696203E-09	 1.6779577E-01	 1.6779577E+00	 3.7445433E+01	 3.7445433E+00	 2.6705527E-02	 2.6705527E-01	 5.8334490E+02	 5.9334490E+00	 1.6141629E-02	 1.6418337E-04	 8.2717089E-04	 8.4135068E-06	 2.3300000E+02
 1.1259711E+00	 1.6930558E-01	 1.5784733E-01	 1.6054623E-03	 2.8664379E-02	 8.2164662E-04	 2.3771869E-05	 2.4178324E-07	 6.8140586E-07	 6.9305663E-09	 1.6930558E-01	 1.6930558E+00	 3.7111508E+01	 3.7111508E+00	 2.6945820E-02	 2.6945820E-01	 5.8485870E+02	 5.9485870E+00	 1.6183517E-02	 1.6460225E-04	 8.2931743E-04	 8.4349722E-06	 2.4000000E+02
 1.1360124E+00	 1.7081538E-01	 1.5691451E-01	 1.5961341E-03	 2.9177895E-02	 8.5134956E-04	 2.4054736E-05	 2.4468473E-07	 7.0186658E-07	 7.1393853E-09	 1.7081538E-01	 1.7081538E+00	 3.6783486E+01	 3.6783486E+00	 2.7186113E-02	 2.7186113E-01	 5.8140238E+02	 5.9140238E+00	 1.6087878E-02	 1.6364586E-04	 8.2441644E-04	 8.3859623E-06	 2.2800000E+02
 1.1460537E+00	 1.7232519E-01	 1.5725704E-01	 1.5995593E-03	 2.9695970E-02	 8.8185063E-04	 2.4535287E-05	 2.4956370E-07	 7.2859914E-07	 7.4110360E-09	 1.7232519E-01	 1.7232519E+00	 3.6461213E+01	 3.6461213E+00	 2.7426405E-02	 2.7426405E-01	 5.8267152E+02	 5.9267152E+00	 1.6122996E-02	 1.6399704E-04	 8.2621605E-04	 8.4039584E-06	 2.4400000E+02
 1.1560950E+00	 1.7383499E-01	 1.5784806E-01	 1.6054696E-03	 3.0218603E-02	 9.1316398E-04	 2.5060930E-05	 2.5489423E-07	 7.5730629E-07	 7.7025476E-09	 1.7383499E-01	 1.7383499E+00	 3.6144538E+01	 3.6144538E+00	 2.7666698E-02	 2.7666698E-01	 5.8486139E+02	 5.9486139E+00	 1.6183591E-02	 1.6460299E-04	 8.2932124E-04	 8.4350103E-06	 2.4300000E+02
 1.1661364E+00	 1.7534479E-01	 1.5798318E-01	 1.6068208E-03	 3.0745795E-02	 9.4530392E-04	 2.5519968E-05	 2.5955937E-07	 7.8463170E-07	 7.9803591E-09	 1.7534479E-01	 1.7534479E+00	 3.5833316E+01	 3.5833316E+00	 2.7906990E-02	 2.7906990E-01	 5.8536204E+02	 5.9536204E+00	 1.6197445E-02	 1.6474153E-04	 8.3003115E-04	 8.4421094E-06	 2.4700000E+02
 1.1761777E+00	 1.7685459E-01	 1.5780378E-01	 1.6050268E-03	 3.1277546E-02	 9.7828486E-04	 2.5931856E-05	 2.6375366E-07	 8.1108482E-07	 8.2495670E-09	 1.7685459E-01	 1.7685459E+00	 3.5527409E+01	 3.5527409E+00	 2.8147282E-02	 2.8147282E-01	 5.8469732E+02	 5.9469732E+00	 1.6179051E-02	 1.6455759E-04	 8.2908860E-04	 8.4326839E-06	 2.4300000E+02
 1.1862190E+00	 1.7836439E-01	 1.5694620E-01	 1.5964510E-03	 3.1813854E-02	 1.0121213E-03	 2.6233162E-05	 2.6684275E-07	 8.3457798E-07	 8.4892965E-09	 1.7836439E-01	 1.7836439E+00	 3.5226681E+01	 3.5226681E+00	 2.8387574E-02	 2.8387574E-01	 5.8151980E+02	 5.9151980E+00	 1.6091127E-02	 1.6367835E-04	 8.2458294E-04	 8.3876273E-06	 2.4400000E+02
 1.1962603E+00	 1.7987418E-01	 1.5738163E-01	 1.6008053E-03	 3.2354722E-02	 1.0468280E-03	 2.6753170E-05	 2.7211953E-07	 8.6559137E-07	 8.8043517E-09	 1.7987418E-01	 1.7987418E+00	 3.4931001E+01	 3.4931001E+00	 2.8627865E-02	 2.8627865E-01	 5.8313316E+02	 5.9313316E+00	 1.6135770E-02	 1.6412478E-04	 8.2687065E-04	 8.4105044E-06	 2.6100000E+02
