# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs104_213_0150.txt
# SPEC date/time stamp	Thu Mar 03 00:34:57 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289297.832
# Rayonix Save date/time stamp	03/03 00:34:57.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722887 139478 0 -0.9271 -38.3311 0 0 -0.36 0 108.45 188.037 45.0894 138.226 144.132 121.9 626.846 1527.59 153.34 153.324 152.438 24.6173 1417.6 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-4/an-3-17-4_hs104_213_0150.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.35000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	697390.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 3.4819986E+02	 1.1144784E+01	 6.2283381E-06	 3.8792196E-11	 1.4380293E-07	 4.6026805E-09	 8.9565331E-13	 2.8667051E-14	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 1.6094965E+04	 5.1514929E+02	 4.4536263E-01	 1.4254660E-02	 2.3088492E-02	 7.3899014E-04	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 2.6836617E+02	 6.5469908E+00	 7.1570395E-06	 5.1223215E-11	 1.2735857E-07	 3.1070063E-09	 9.1151029E-13	 2.2236967E-14	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 1.2404784E+04	 3.0262386E+02	 3.4325190E-01	 8.3738836E-03	 1.7794867E-02	 4.3411892E-04	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 2.0604440E+02	 5.0667274E+00	 8.1502536E-06	 6.6426634E-11	 1.1135223E-07	 2.7382030E-09	 9.0754892E-13	 2.2317049E-14	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 9.5240630E+03	 2.3420113E+02	 2.6353968E-01	 6.4805629E-03	 1.3662425E-02	 3.3596537E-04	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 1.6260665E+02	 3.5391921E+00	 9.2079803E-06	 8.4786902E-11	 9.9281804E-08	 2.1609042E-09	 9.1418490E-13	 1.9897563E-14	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 7.5162244E+03	 1.6359333E+02	 2.0798092E-01	 4.5267794E-03	 1.0782148E-02	 2.3467732E-04	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 1.3017062E+02	 2.7063642E+00	 1.0330220E-05	 1.0671344E-10	 8.9163997E-08	 1.8537996E-09	 9.2108369E-13	 1.9150157E-14	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 6.0169227E+03	 1.2509723E+02	 1.6649384E-01	 3.4615566E-03	 8.6313747E-03	 1.7945403E-04	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 1.0610821E+02	 2.3190137E+00	 1.1516972E-05	 1.3264064E-10	 8.1031574E-08	 1.7709594E-09	 9.3323836E-13	 2.0396090E-14	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 4.9046772E+03	 1.0719259E+02	 1.3571698E-01	 2.9661186E-03	 7.0358402E-03	 1.5376954E-04	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 8.7972583E+01	 1.4600146E+00	 1.2768237E-05	 1.6302787E-10	 7.4480957E-08	 1.2361043E-09	 9.5099050E-13	 1.5782872E-14	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 4.0663877E+03	 6.7486771E+01	 1.1252073E-01	 1.8674217E-03	 5.8333002E-03	 9.6810885E-05	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 7.2986060E+01	 1.1573900E+00	 1.4084014E-05	 1.9835946E-10	 6.8160592E-08	 1.0808692E-09	 9.5997475E-13	 1.5222977E-14	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 3.3736604E+03	 5.3498444E+01	 9.3352318E-02	 1.4803517E-03	 4.8395714E-03	 7.6744400E-05	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 6.1952684E+01	 8.9311563E-01	 1.5464304E-05	 2.3914471E-10	 6.3526876E-08	 9.1580932E-10	 9.8239895E-13	 1.4162354E-14	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 2.8636608E+03	 4.1282799E+01	 7.9240155E-02	 1.1423334E-03	 4.1079685E-03	 5.9220855E-05	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 5.2551058E+01	 7.7864341E-01	 1.6909107E-05	 2.8591791E-10	 5.8920866E-08	 8.7302418E-10	 9.9629925E-13	 1.4762060E-14	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 2.4290861E+03	 3.5991509E+01	 6.7215070E-02	 9.9591851E-04	 3.4845640E-03	 5.1630412E-05	 4.7000000E+01
