# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs104_213_0180.txt
# SPEC date/time stamp	Thu Mar 03 00:37:28 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289448.027
# Rayonix Save date/time stamp	03/03 00:37:27.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722886 142557 0 -0.9271 -38.3311 0 0 -0.36 0 109.401 186 44.4643 137.775 143.842 121.88 626.842 1527.58 153.521 153.713 153.779 24.7832 1417.63 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-4/an-3-17-4_hs104_213_0180.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.30000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	712785.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 3.4546885E+02	 1.0987676E+01	 6.2283381E-06	 3.8792196E-11	 1.4267506E-07	 4.5377963E-09	 8.8862850E-13	 2.8262930E-14	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 1.6321388E+04	 5.1910358E+02	 4.5162859E-01	 1.4364098E-02	 2.2907404E-02	 7.2857256E-04	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 2.6664806E+02	 6.4477703E+00	 7.1570395E-06	 5.1223215E-11	 1.2654320E-07	 3.0599192E-09	 9.0567470E-13	 2.1899963E-14	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 1.2597565E+04	 3.0461954E+02	 3.4858682E-01	 8.4291174E-03	 1.7680942E-02	 4.2753979E-04	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 2.0478147E+02	 4.6568331E+00	 8.1502536E-06	 6.6426634E-11	 1.1066970E-07	 2.5166845E-09	 9.0198616E-13	 2.0511617E-14	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 9.6747297E+03	 2.2000820E+02	 2.6770913E-01	 6.0878398E-03	 1.3578682E-02	 3.0878604E-04	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 1.6287965E+02	 3.2926671E+00	 9.2079803E-06	 8.4786902E-11	 9.9448490E-08	 2.0103848E-09	 9.1571974E-13	 1.8511583E-14	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 7.6951133E+03	 1.5555931E+02	 2.1293123E-01	 4.3044767E-03	 1.0800250E-02	 2.1833070E-04	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 1.3020770E+02	 2.6078738E+00	 1.0330220E-05	 1.0671344E-10	 8.9189393E-08	 1.7863359E-09	 9.2134603E-13	 1.8453242E-14	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 6.1515543E+03	 1.2320683E+02	 1.7021946E-01	 3.4092521E-03	 8.6338331E-03	 1.7292332E-04	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 1.0683433E+02	 2.3320837E+00	 1.1516972E-05	 1.3264064E-10	 8.1586089E-08	 1.7809405E-09	 9.3962469E-13	 2.0511042E-14	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 5.0472988E+03	 1.1017735E+02	 1.3966364E-01	 3.0487139E-03	 7.0839878E-03	 1.5463618E-04	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 8.9389613E+01	 1.4761285E+00	 1.2768237E-05	 1.6302787E-10	 7.5680669E-08	 1.2497470E-09	 9.6630870E-13	 1.5957065E-14	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 4.2231378E+03	 6.9738463E+01	 1.1685831E-01	 1.9297308E-03	 5.9272608E-03	 9.7879369E-05	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 7.3821551E+01	 1.0801582E+00	 1.4084014E-05	 1.9835946E-10	 6.8940845E-08	 1.0087436E-09	 9.7096384E-13	 1.4207160E-14	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 3.4876377E+03	 5.1031175E+01	 9.6506310E-02	 1.4120820E-03	 4.8949713E-03	 7.1623305E-05	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 6.2402416E+01	 8.5058769E-01	 1.5464304E-05	 2.3914471E-10	 6.3988035E-08	 8.7220077E-10	 9.8953046E-13	 1.3487978E-14	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 2.9481502E+03	 4.0185307E+01	 8.1578168E-02	 1.1119663E-03	 4.1377894E-03	 5.6400905E-05	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 5.3579528E+01	 7.2432316E-01	 1.6909107E-05	 2.8591791E-10	 6.0073999E-08	 8.1211968E-10	 1.0157977E-12	 1.3732219E-14	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 2.5313201E+03	 3.4220044E+01	 7.0044078E-02	 9.4690174E-04	 3.5527599E-03	 4.8028537E-05	 4.7000000E+01
