# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-4/plot_files/an-3-17-4_hs104_213_0206.txt
# SPEC date/time stamp	Thu Mar 03 00:39:38 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646289578.510
# Rayonix Save date/time stamp	03/03 00:39:38.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722890 141104 0 -0.9271 -38.3311 0 0 -0.36 0 108.709 189.013 44.2093 138 143.681 121.88 626.836 1527.57 153.521 153.435 152.598 24.8877 1417.62 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-4/an-3-17-4_hs104_213_0206.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36144.50000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	705520.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 3.3813553E+02	 1.0994503E+01	 6.2283381E-06	 3.8792196E-11	 1.3964647E-07	 4.5406160E-09	 8.6976545E-13	 2.8280492E-14	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 1.5812042E+04	 5.1412977E+02	 4.3753207E-01	 1.4226390E-02	 2.2421145E-02	 7.2902528E-04	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 2.6119728E+02	 6.5090046E+00	 7.1570395E-06	 5.1223215E-11	 1.2395642E-07	 3.0889791E-09	 8.8716103E-13	 2.2107946E-14	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 1.2214221E+04	 3.0437692E+02	 3.3797746E-01	 8.4223574E-03	 1.7319511E-02	 4.3160012E-04	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 2.0117939E+02	 4.9725442E+00	 8.1502536E-06	 6.6426634E-11	 1.0872304E-07	 2.6873037E-09	 8.8612036E-13	 2.1902207E-14	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 9.4076388E+03	 2.3252829E+02	 2.6031703E-01	 6.4342472E-03	 1.3339835E-02	 3.2972026E-04	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 1.6122691E+02	 3.5314371E+00	 9.2079803E-06	 8.4786902E-11	 9.8439385E-08	 2.1561692E-09	 9.0642792E-13	 1.9853964E-14	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 7.5393633E+03	 1.6513861E+02	 2.0862032E-01	 4.5695199E-03	 1.0690660E-02	 2.3416310E-04	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 1.3003693E+02	 2.6509065E+00	 1.0330220E-05	 1.0671344E-10	 8.9072418E-08	 1.8158123E-09	 9.2013765E-13	 1.8757740E-14	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 6.0808437E+03	 1.2396285E+02	 1.6826190E-01	 3.4301530E-03	 8.6225095E-03	 1.7577673E-04	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 1.0687606E+02	 2.3827935E+00	 1.1516972E-05	 1.3264064E-10	 8.1617961E-08	 1.8196660E-09	 9.3999176E-13	 2.0957043E-14	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 4.9977853E+03	 1.1142523E+02	 1.3829279E-01	 3.0832269E-03	 7.0867552E-03	 1.5799865E-04	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 8.9205757E+01	 1.5183508E+00	 1.2768237E-05	 1.6302787E-10	 7.5525009E-08	 1.2854940E-09	 9.6432120E-13	 1.6413491E-14	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 4.1714787E+03	 7.1001786E+01	 1.1542821E-01	 1.9646773E-03	 5.9150696E-03	 1.0067905E-04	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 7.3920079E+01	 1.2100866E+00	 1.4084014E-05	 1.9835946E-10	 6.9032859E-08	 1.1300819E-09	 9.7225977E-13	 1.5916089E-14	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 3.4566831E+03	 5.6586601E+01	 9.5649238E-02	 1.5657974E-03	 4.9015045E-03	 8.0238620E-05	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 6.2841425E+01	 9.6762466E-01	 1.5464304E-05	 2.3914471E-10	 6.4438199E-08	 9.9221159E-10	 9.9649193E-13	 1.5343862E-14	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 2.9386182E+03	 4.5248488E+01	 8.1313961E-02	 1.2520625E-03	 4.1668993E-03	 6.4161411E-05	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 5.3651466E+01	 8.5022613E-01	 1.6909107E-05	 2.8591791E-10	 6.0154657E-08	 9.5328357E-10	 1.0171615E-12	 1.6119174E-14	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 2.5088733E+03	 3.9758646E+01	 6.9422569E-02	 1.1001541E-03	 3.5575300E-03	 5.6376931E-05	 4.7000000E+01
