# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2-prm/plot_files/3-17-3-try2-prm_hs102_215_0001.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Jul 14 17:08:29 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836509.586
# Rayonix Save date/time stamp	07/14 17:08:26.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 122521 106758 0 -4.61772 -48.0644 135 0 3.9397 0 102.211 184.663 46.4892 24.275 90.65 635.586 627.237 1528.05 107.994 107.581 107.694 25.3404 1422.54 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2-prm/3-17-3-try2-prm_hs102_215_0001.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1225.21000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	213516.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.3019985E-01	 1.3574521E-03	 4.8081751E-01	 2.3118548E-01	 5.2903453E-04	 5.5156671E-06	 2.5436906E-04	 2.6520293E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3479057E+02	 2.4479057E+00	 1.9172305E-01	 1.9988876E-03	 1.1002813E-03	 1.1471436E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.3128651E-01	 1.3683187E-03	 4.8612978E-01	 2.3632216E-01	 5.3934368E-04	 5.6212482E-06	 2.6219103E-04	 2.7326561E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3675016E+02	 2.4675016E+00	 1.9332320E-01	 2.0148890E-03	 1.1094644E-03	 1.1563266E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.3268614E-01	 1.3823150E-03	 4.9147119E-01	 2.4154393E-01	 5.5108283E-04	 5.7411427E-06	 2.7084133E-04	 2.8216062E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3927412E+02	 2.4927412E+00	 1.9538419E-01	 2.0354989E-03	 1.1212922E-03	 1.1681545E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.3418975E-01	 1.3973511E-03	 4.9684173E-01	 2.4685171E-01	 5.6341794E-04	 5.8670106E-06	 2.7992955E-04	 2.9149757E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.4198560E+02	 2.5198560E+00	 1.9759830E-01	 2.0576401E-03	 1.1339988E-03	 1.1808611E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.3497014E-01	 1.4051550E-03	 5.0224141E-01	 2.5224643E-01	 5.7285337E-04	 5.9638953E-06	 2.8771068E-04	 2.9953152E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.4339288E+02	 2.5339288E+00	 1.9874745E-01	 2.0691315E-03	 1.1405937E-03	 1.1874559E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.3626495E-01	 1.4181031E-03	 5.0767022E-01	 2.5772905E-01	 5.8460040E-04	 6.0839097E-06	 2.9678422E-04	 3.0886198E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.4572782E+02	 2.5572782E+00	 2.0065409E-01	 2.0881980E-03	 1.1515357E-03	 1.1983980E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.3764187E-01	 1.4318723E-03	 5.1312816E-01	 2.6330051E-01	 5.9685617E-04	 6.2090251E-06	 3.0626371E-04	 3.1860256E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.4821084E+02	 2.5821084E+00	 2.0268165E-01	 2.1084736E-03	 1.1631717E-03	 1.2100340E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3846093E-01	 1.4400629E-03	 5.1861524E-01	 2.6896177E-01	 6.0682824E-04	 6.3113172E-06	 3.1471038E-04	 3.2731453E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.4968786E+02	 2.5968786E+00	 2.0388774E-01	 2.1205345E-03	 1.1700934E-03	 1.2169556E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3966330E-01	 1.4520866E-03	 5.2413144E-01	 2.7471377E-01	 6.1860833E-04	 6.4317031E-06	 3.2423208E-04	 3.3710578E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.5185609E+02	 2.6185609E+00	 2.0565826E-01	 2.1382396E-03	 1.1802542E-03	 1.2271164E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.4066616E-01	 1.4621153E-03	 5.2967678E-01	 2.8055749E-01	 6.2964222E-04	 6.5446406E-06	 3.3350686E-04	 3.4665442E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.5366457E+02	 2.6366457E+00	 2.0713501E-01	 2.1530071E-03	 1.1887291E-03	 1.2355914E-05	 3.9600000E+02
 4.8669670E+00	 7.3160867E-01	 1.4138388E-01	 1.4692924E-03	 5.3525124E-01	 2.8649389E-01	 6.3951515E-04	 6.6459823E-06	 3.4230128E-04	 3.5572703E-06	 7.3160867E-01	 7.3160867E+00	 8.5881778E+00	 8.5881778E-01	 1.1643914E-01	 1.1643914E+00	 2.5495884E+02	 2.6495884E+00	 2.0819186E-01	 2.1635757E-03	 1.1947943E-03	 1.2416566E-05	 3.9500000E+02
 4.8923924E+00	 7.3542833E-01	 1.4218392E-01	 1.4772928E-03	 5.4085484E-01	 2.9252395E-01	 6.4986696E-04	 6.7521263E-06	 3.5148369E-04	 3.6519202E-06	 7.3542833E-01	 7.3542833E+00	 8.5435725E+00	 8.5435725E-01	 1.1704705E-01	 1.1704705E+00	 2.5640155E+02	 2.6640155E+00	 2.0936995E-01	 2.1753565E-03	 1.2015552E-03	 1.2484175E-05	 4.1800000E+02
 4.9178178E+00	 7.3924796E-01	 1.4382100E-01	 1.4936636E-03	 5.4648755E-01	 2.9864865E-01	 6.6419535E-04	 6.8980499E-06	 3.6297449E-04	 3.7696984E-06	 7.3924796E-01	 7.3924796E+00	 8.4994286E+00	 8.4994286E-01	 1.1765497E-01	 1.1765497E+00	 2.5935371E+02	 2.6935371E+00	 2.1178059E-01	 2.1994630E-03	 1.2153897E-03	 1.2622520E-05	 4.1000000E+02
 4.9432432E+00	 7.4306756E-01	 1.4614702E-01	 1.5169238E-03	 5.5214940E-01	 3.0486895E-01	 6.8193003E-04	 7.0780499E-06	 3.7652725E-04	 3.9081409E-06	 7.4306756E-01	 7.4306756E+00	 8.4557390E+00	 8.4557390E-01	 1.1826287E-01	 1.1826287E+00	 2.6354824E+02	 2.7354824E+00	 2.1520572E-01	 2.2337143E-03	 1.2350462E-03	 1.2819085E-05	 4.2100000E+02
