# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2-prm/plot_files/3-17-3-try2-prm_hs102_215_0004.txt
# SPEC date/time stamp	Thu Jul 14 17:08:42 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836522.456
# Rayonix Save date/time stamp	07/14 17:08:41.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123989 108049 0 -4.61772 -48.0644 135 0 3.9397 0 101.417 183.538 47.0271 24.276 90.703 635.585 627.236 1528.05 107.828 107.581 107.772 25.371 1422.52 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2-prm/3-17-3-try2-prm_hs102_215_0004.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1239.89000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216098.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.3071526E-01	 1.3619432E-03	 4.8081751E-01	 2.3118548E-01	 5.3112876E-04	 5.5339158E-06	 2.5537601E-04	 2.6608036E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3857219E+02	 2.4857219E+00	 1.9250342E-01	 2.0057240E-03	 1.1046369E-03	 1.1509389E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.3175858E-01	 1.3723764E-03	 4.8612978E-01	 2.3632216E-01	 5.4128300E-04	 5.6379178E-06	 2.6313379E-04	 2.7407597E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.4047638E+02	 2.5047638E+00	 1.9403991E-01	 2.0210889E-03	 1.1134537E-03	 1.1597557E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.3296747E-01	 1.3844653E-03	 4.9147119E-01	 2.4154393E-01	 5.5225127E-04	 5.7500737E-06	 2.7141559E-04	 2.8259956E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.4268276E+02	 2.5268276E+00	 1.9582024E-01	 2.0388922E-03	 1.1236697E-03	 1.1699717E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.3355200E-01	 1.3903106E-03	 4.9684173E-01	 2.4685171E-01	 5.6074023E-04	 5.8374500E-06	 2.7859915E-04	 2.9002888E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.4374960E+02	 2.5374960E+00	 1.9668107E-01	 2.0475005E-03	 1.1286094E-03	 1.1749114E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.3525881E-01	 1.4073787E-03	 5.0224141E-01	 2.5224643E-01	 5.7407857E-04	 5.9733335E-06	 2.8832603E-04	 3.0000554E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.4686475E+02	 2.5686475E+00	 1.9919468E-01	 2.0726366E-03	 1.1430331E-03	 1.1893351E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.3731980E-01	 1.4279887E-03	 5.0767022E-01	 2.5772905E-01	 5.8912591E-04	 6.1263206E-06	 2.9908168E-04	 3.1101505E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.5062634E+02	 2.6062634E+00	 2.0222989E-01	 2.1029887E-03	 1.1604500E-03	 1.2067520E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.3795924E-01	 1.4343830E-03	 5.1312816E-01	 2.6330051E-01	 5.9823237E-04	 6.2199122E-06	 3.0696987E-04	 3.1916121E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.5179339E+02	 2.6179339E+00	 2.0317158E-01	 2.1124056E-03	 1.1658537E-03	 1.2121557E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3829391E-01	 1.4377298E-03	 5.1861524E-01	 2.6896177E-01	 6.0609624E-04	 6.3010917E-06	 3.1433075E-04	 3.2678422E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.5240420E+02	 2.6240420E+00	 2.0366445E-01	 2.1173343E-03	 1.1686819E-03	 1.2149839E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3963625E-01	 1.4511531E-03	 5.2413144E-01	 2.7471377E-01	 6.1848853E-04	 6.4275686E-06	 3.2416929E-04	 3.3688908E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.5485414E+02	 2.6485414E+00	 2.0564130E-01	 2.1371028E-03	 1.1800256E-03	 1.2263276E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.4089435E-01	 1.4637342E-03	 5.2967678E-01	 2.8055749E-01	 6.3066362E-04	 6.5518871E-06	 3.3404787E-04	 3.4703825E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.5715034E+02	 2.6715034E+00	 2.0749410E-01	 2.1556308E-03	 1.1906575E-03	 1.2369595E-05	 3.9600000E+02
