# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2-prm/plot_files/3-17-3-try2-prm_hs103_215_0000.txt
# SPEC date/time stamp	Thu Jul 14 17:08:22 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836502.374
# Rayonix Save date/time stamp	07/14 17:08:21.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123521 107646 0 -4.61772 -48.0644 135 0 3.9397 0 102.182 181.556 48.076 24.275 90.462 635.586 627.238 1528.05 107.798 107.57 107.615 25.3419 1422.53 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2-prm/3-17-3-try2-prm_hs103_215_0000.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1235.21000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	215292.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3887412E-01	 1.4727805E-03	 1.7709251E-02	 3.1361756E-04	 1.3600745E-05	 1.4423790E-07	 2.4085900E-07	 2.5543452E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.6524905E+02	 1.7524905E+00	 1.3384457E-01	 1.4194413E-03	 7.6800228E-04	 8.1447772E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3905890E-01	 1.4746283E-03	 1.8113372E-02	 3.2809425E-04	 1.3929621E-05	 1.4771448E-07	 2.5231240E-07	 2.6756073E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.6546893E+02	 1.7546893E+00	 1.3402266E-01	 1.4212222E-03	 7.6902415E-04	 8.1549959E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.4016446E-01	 1.4856839E-03	 1.8522053E-02	 3.4306643E-04	 1.4357149E-05	 1.5217970E-07	 2.6592387E-07	 2.8186803E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6678445E+02	 1.7678445E+00	 1.3508818E-01	 1.4318774E-03	 7.7513812E-04	 8.2161356E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.4011643E-01	 1.4852036E-03	 1.8935292E-02	 3.5854527E-04	 1.4672437E-05	 1.5552463E-07	 2.7782687E-07	 2.9449042E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6672730E+02	 1.7672730E+00	 1.3504188E-01	 1.4314145E-03	 7.7487250E-04	 8.2134794E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.4239564E-01	 1.5079957E-03	 1.9353090E-02	 3.7454208E-04	 1.5240113E-05	 1.6139556E-07	 2.9494327E-07	 3.1235028E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6943938E+02	 1.7943938E+00	 1.3723855E-01	 1.4533812E-03	 7.8747700E-04	 8.3395244E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.4317498E-01	 1.5157891E-03	 1.9775446E-02	 3.9106828E-04	 1.5657940E-05	 1.6577012E-07	 3.0964275E-07	 3.2781782E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.7036674E+02	 1.8036674E+00	 1.3798967E-01	 1.4608923E-03	 7.9178693E-04	 8.3826237E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.4309101E-01	 1.5149493E-03	 2.0202362E-02	 4.0813542E-04	 1.5986584E-05	 1.6925498E-07	 3.2296675E-07	 3.4193503E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.7026681E+02	 1.8026681E+00	 1.3790873E-01	 1.4600830E-03	 7.9132252E-04	 8.3779797E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.4262670E-01	 1.5103063E-03	 2.0633836E-02	 4.2575519E-04	 1.6275038E-05	 1.7234005E-07	 3.3581647E-07	 3.5560363E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6971433E+02	 1.7971433E+00	 1.3746125E-01	 1.4556081E-03	 7.8875484E-04	 8.3523028E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.4393521E-01	 1.5233914E-03	 2.1069869E-02	 4.4393938E-04	 1.6771429E-05	 1.7750661E-07	 3.5337181E-07	 3.7400409E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.7127134E+02	 1.8127134E+00	 1.3872236E-01	 1.4682193E-03	 7.9599114E-04	 8.4246658E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.4401111E-01	 1.5241504E-03	 2.1510461E-02	 4.6269992E-04	 1.7131165E-05	 1.8130874E-07	 3.6849926E-07	 3.9000344E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.7136166E+02	 1.8136166E+00	 1.3879551E-01	 1.4689508E-03	 7.9641089E-04	 8.4288634E-06	 2.1200000E+02
 9.8543299E-01	 1.4817426E-01	 1.4478684E-01	 1.5319077E-03	 2.1955611E-02	 4.8204887E-04	 1.7579877E-05	 1.8600273E-07	 3.8597694E-07	 4.0838037E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 1.7228472E+02	 1.8228472E+00	 1.3954315E-01	 1.4764272E-03	 8.0070085E-04	 8.4717629E-06	 1.9900000E+02
 9.9547423E-01	 1.4968407E-01	 1.4441357E-01	 1.5281750E-03	 2.2405321E-02	 5.0199839E-04	 1.7893708E-05	 1.8935005E-07	 4.0091426E-07	 4.2424486E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 1.7184055E+02	 1.8184055E+00	 1.3918340E-01	 1.4728296E-03	 7.9863656E-04	 8.4511200E-06	 2.1300000E+02
 1.0055155E+00	 1.5119388E-01	 1.4316136E-01	 1.5156529E-03	 2.2859588E-02	 5.2256078E-04	 1.8098202E-05	 1.9160611E-07	 4.1371744E-07	 4.3800369E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 1.7035053E+02	 1.8035053E+00	 1.3797654E-01	 1.4607611E-03	 7.9171162E-04	 8.3818706E-06	 2.0700000E+02
 1.0155567E+00	 1.5270368E-01	 1.4557979E-01	 1.5398372E-03	 2.3318415E-02	 5.4374848E-04	 1.8773330E-05	 1.9857064E-07	 4.3776430E-07	 4.6303526E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 1.7322827E+02	 1.8322827E+00	 1.4030739E-01	 1.4840695E-03	 8.0508603E-04	 8.5156148E-06	 2.1100000E+02
 1.0255979E+00	 1.5421349E-01	 1.4555294E-01	 1.5395687E-03	 2.3781800E-02	 5.6557402E-04	 1.9142863E-05	 2.0248133E-07	 4.5525175E-07	 4.8153705E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 1.7319631E+02	 1.8319631E+00	 1.4028150E-01	 1.4838107E-03	 8.0493751E-04	 8.5141295E-06	 2.1800000E+02
 1.0356392E+00	 1.5572329E-01	 1.4560253E-01	 1.5400645E-03	 2.4249744E-02	 5.8805009E-04	 1.9526179E-05	 2.0653196E-07	 4.7350484E-07	 5.0083472E-09	 1.5572329E-01	 1.5572329E+00	 4.0348397E+01	 4.0348397E+00	 2.4784132E-02	 2.4784132E-01	 1.7325532E+02	 1.8325532E+00	 1.4032929E-01	 1.4842886E-03	 8.0521174E-04	 8.5168718E-06	 2.1600000E+02
