# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2-prm/plot_files/3-17-3-try2-prm_hs104_215_0002.txt
# SPEC date/time stamp	Thu Jul 14 17:08:32 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836512.240
# Rayonix Save date/time stamp	07/14 17:08:31.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 122920 107144 0 -4.61772 -48.0644 135 0 3.9397 0 100.33 185.029 46.6569 24.276 90.669 635.584 627.236 1528.04 107.884 107.54 107.794 25.352 1422.53 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2-prm/3-17-3-try2-prm_hs104_215_0002.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1229.20000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	214288.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 3.3112158E+01	 9.6833226E-01	 6.2282602E-06	 3.8791226E-11	 1.4122132E-08	 4.1298775E-10	 8.7956312E-14	 2.5721952E-15	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 4.8560009E+02	 1.4200894E+01	 3.9523898E-01	 1.1558372E-02	 2.2674280E-03	 6.6308686E-05	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 2.7345642E+01	 7.8590637E-01	 7.1567890E-06	 5.1219629E-11	 1.3401468E-08	 3.8515456E-10	 9.5911476E-14	 2.7564699E-15	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 4.0103235E+02	 1.1525561E+01	 3.2640771E-01	 9.3808693E-03	 1.8725531E-03	 5.3816671E-05	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 2.2060868E+01	 5.5889884E-01	 8.1498080E-06	 6.6419371E-11	 1.2311643E-08	 3.1190806E-10	 1.0033752E-13	 2.5419908E-15	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 3.2352949E+02	 8.1964251E+00	 2.6332669E-01	 6.6712234E-03	 1.5106666E-03	 3.8271830E-05	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 1.7515380E+01	 3.3029634E-01	 9.2073173E-06	 8.4774692E-11	 1.1043296E-08	 2.0824899E-10	 1.0167913E-13	 1.9174145E-15	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 2.5686849E+02	 4.8438985E+00	 2.0907006E-01	 3.9425394E-03	 1.1994043E-03	 2.2617770E-05	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 1.4403742E+01	 3.1185099E-01	 1.0329317E-05	 1.0669479E-10	 1.0188094E-08	 2.2057929E-10	 1.0523605E-13	 2.2784334E-15	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 2.1123535E+02	 4.5733917E+00	 1.7192839E-01	 3.7223688E-03	 9.8632797E-04	 2.1354684E-05	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 1.2240603E+01	 2.0633738E-01	 1.1515807E-05	 1.3261380E-10	 9.6525754E-09	 1.6271151E-10	 1.1115719E-13	 1.8737543E-15	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 1.7951225E+02	 3.0260017E+00	 1.4610837E-01	 2.4629193E-03	 8.3820227E-04	 1.4129407E-05	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 9.5970850E+00	 1.2767176E-01	 1.2766787E-05	 1.6299084E-10	 8.3900967E-09	 1.1161498E-10	 1.0711458E-13	 1.4249646E-15	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 1.4074423E+02	 1.8723461E+00	 1.1455436E-01	 1.5239374E-03	 6.5718155E-04	 8.7426054E-06	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 7.7967327E+00	 1.1874761E-01	 1.4082257E-05	 1.9830997E-10	 7.5184954E-09	 1.1450993E-10	 1.0587739E-13	 1.6125583E-15	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 1.1434151E+02	 1.7414706E+00	 9.3064688E-02	 1.4174154E-03	 5.3389846E-04	 8.1315041E-06	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 6.4704627E+00	 1.0296738E-01	 1.5462218E-05	 2.3908018E-10	 6.8509869E-09	 1.0902283E-10	 1.0593145E-13	 1.6857347E-15	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 9.4891346E+01	 1.5100486E+00	 7.7233837E-02	 1.2290567E-03	 4.4307919E-04	 7.0509180E-06	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 5.8034049E+00	 9.8048289E-02	 1.6906669E-05	 2.8583544E-10	 6.7187261E-09	 1.1351260E-10	 1.1359128E-13	 1.9191199E-15	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 8.5108737E+01	 1.4379086E+00	 6.9271589E-02	 1.1703407E-03	 3.9740094E-04	 6.7140727E-06	 4.6000000E+01
