# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0053.txt
# SPEC date/time stamp	Thu Jul 14 17:18:37 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837117.943
# Rayonix Save date/time stamp	07/14 17:18:35.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 124573 109635 0 -4.61772 -48.0644 135 0 3.9397 0 103.239 184.607 48.5304 24.304 90.324 635.572 627.201 1528 106.03 105.564 105.534 25.6961 1422.63 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0053.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1245.73000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	219270.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2539047E-01	 1.3079023E-03	 4.8081751E-01	 2.3118548E-01	 5.0949281E-04	 5.3143338E-06	 2.4497307E-04	 2.5552248E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3221493E+02	 2.4221493E+00	 1.8649495E-01	 1.9452608E-03	 1.0596386E-03	 1.1052704E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2682777E-01	 1.3222753E-03	 4.8612978E-01	 2.3632216E-01	 5.2102655E-04	 5.4320953E-06	 2.5328652E-04	 2.6407033E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3487673E+02	 2.4487673E+00	 1.8863267E-01	 1.9666381E-03	 1.0717849E-03	 1.1174167E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2734188E-01	 1.3274163E-03	 4.9147119E-01	 2.4154393E-01	 5.2888660E-04	 5.5131332E-06	 2.5993253E-04	 2.7095461E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3582881E+02	 2.4582881E+00	 1.8939730E-01	 1.9742844E-03	 1.0761294E-03	 1.1217612E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2793706E-01	 1.3333682E-03	 4.9684173E-01	 2.4685171E-01	 5.3716497E-04	 5.5983676E-06	 2.6688597E-04	 2.7815026E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3693105E+02	 2.4693105E+00	 1.9028253E-01	 1.9831366E-03	 1.0811591E-03	 1.1267909E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2855730E-01	 1.3395706E-03	 5.0224141E-01	 2.5224643E-01	 5.4563537E-04	 5.6855356E-06	 2.7404068E-04	 2.8555114E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3807970E+02	 2.4807970E+00	 1.9120502E-01	 1.9923616E-03	 1.0864006E-03	 1.1320324E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2949560E-01	 1.3489536E-03	 5.0767022E-01	 2.5772905E-01	 5.5555870E-04	 5.7872461E-06	 2.8204061E-04	 2.9380125E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.3981736E+02	 2.4981736E+00	 1.9260057E-01	 2.0063170E-03	 1.0943299E-03	 1.1399617E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.3015626E-01	 1.3555602E-03	 5.1312816E-01	 2.6330051E-01	 5.6439632E-04	 5.8781129E-06	 2.8960765E-04	 3.0162253E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.4104087E+02	 2.5104087E+00	 1.9358318E-01	 2.0161431E-03	 1.0999130E-03	 1.1455448E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3106948E-01	 1.3646924E-03	 5.1861524E-01	 2.6896177E-01	 5.7443396E-04	 5.9809931E-06	 2.9791020E-04	 3.1018341E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.4273209E+02	 2.5273209E+00	 1.9494142E-01	 2.0297255E-03	 1.1076303E-03	 1.1532621E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3149514E-01	 1.3689490E-03	 5.2413144E-01	 2.7471377E-01	 5.8242924E-04	 6.0634631E-06	 3.0526948E-04	 3.1780517E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4352038E+02	 2.5352038E+00	 1.9557451E-01	 2.0360564E-03	 1.1112274E-03	 1.1568592E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3305007E-01	 1.3844983E-03	 5.2967678E-01	 2.8055749E-01	 5.9555149E-04	 6.1972160E-06	 3.1544980E-04	 3.2825214E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4640002E+02	 2.5640002E+00	 1.9788719E-01	 2.0591832E-03	 1.1243678E-03	 1.1699996E-05	 3.9600000E+02
 4.8669670E+00	 7.3160867E-01	 1.3422260E-01	 1.3962236E-03	 5.3525124E-01	 2.8649389E-01	 6.0712287E-04	 6.3154735E-06	 3.2496327E-04	 3.3803651E-06	 7.3160867E-01	 7.3160867E+00	 8.5881778E+00	 8.5881778E-01	 1.1643914E-01	 1.1643914E+00	 2.4857146E+02	 2.5857146E+00	 1.9963110E-01	 2.0766224E-03	 1.1342764E-03	 1.1799082E-05	 3.9500000E+02
 4.8923924E+00	 7.3542833E-01	 1.3574597E-01	 1.4114573E-03	 5.4085484E-01	 2.9252395E-01	 6.2044162E-04	 6.4512180E-06	 3.3556885E-04	 3.4891725E-06	 7.3542833E-01	 7.3542833E+00	 8.5435725E+00	 8.5435725E-01	 1.1704705E-01	 1.1704705E+00	 2.5139264E+02	 2.6139264E+00	 2.0189683E-01	 2.0992796E-03	 1.1471500E-03	 1.1927818E-05	 4.1800000E+02
 4.9178178E+00	 7.3924796E-01	 1.3682252E-01	 1.4222228E-03	 5.4648755E-01	 2.9864865E-01	 6.3187495E-04	 6.5681216E-06	 3.4531179E-04	 3.5893967E-06	 7.3924796E-01	 7.3924796E+00	 8.4994286E+00	 8.4994286E-01	 1.1765497E-01	 1.1765497E+00	 2.5338635E+02	 2.6338635E+00	 2.0349800E-01	 2.1152914E-03	 1.1562476E-03	 1.2018795E-05	 4.1000000E+02
 4.9432432E+00	 7.4306756E-01	 1.3825901E-01	 1.4365877E-03	 5.5214940E-01	 3.0486895E-01	 6.4512414E-04	 6.7031972E-06	 3.5620491E-04	 3.7011663E-06	 7.4306756E-01	 7.4306756E+00	 8.4557390E+00	 8.4557390E-01	 1.1826287E-01	 1.1826287E+00	 2.5604662E+02	 2.6604662E+00	 2.0563450E-01	 2.1366564E-03	 1.1683869E-03	 1.2140187E-05	 4.2100000E+02
 4.9686687E+00	 7.4688711E-01	 1.3907308E-01	 1.4447284E-03	 5.5784036E-01	 3.1118587E-01	 6.5561104E-04	 6.8106630E-06	 3.6572630E-04	 3.7992627E-06	 7.4688711E-01	 7.4688711E+00	 8.4124966E+00	 8.4124966E-01	 1.1887078E-01	 1.1887078E+00	 2.5755423E+02	 2.6755423E+00	 2.0684528E-01	 2.1487642E-03	 1.1752664E-03	 1.2208982E-05	 3.9900000E+02
 4.9940941E+00	 7.5070663E-01	 1.4005093E-01	 1.4545069E-03	 5.6356045E-01	 3.1760038E-01	 6.6699068E-04	 6.9270696E-06	 3.7588957E-04	 3.9038225E-06	 7.5070663E-01	 7.5070663E+00	 8.3696947E+00	 8.3696947E-01	 1.1947867E-01	 1.1947867E+00	 2.5936515E+02	 2.6936515E+00	 2.0829965E-01	 2.1633079E-03	 1.1835300E-03	 1.2291618E-05	 4.2200000E+02
 5.0195195E+00	 7.5452612E-01	 1.4106448E-01	 1.4646424E-03	 5.6930966E-01	 3.2411349E-01	 6.7867132E-04	 7.0464995E-06	 3.8637414E-04	 4.0116402E-06	 7.5452612E-01	 7.5452612E+00	 8.3273265E+00	 8.3273265E-01	 1.2008656E-01	 1.2008656E+00	 2.6124218E+02	 2.7124218E+00	 2.0980713E-01	 2.1783826E-03	 1.1920952E-03	 1.2377270E-05	 4.1900000E+02
 5.0449449E+00	 7.5834556E-01	 1.4231583E-01	 1.4771559E-03	 5.7508799E-01	 3.3072620E-01	 6.9164107E-04	 7.1788337E-06	 3.9775448E-04	 4.1284611E-06	 7.5834556E-01	 7.5834556E+00	 8.2853855E+00	 8.2853855E-01	 1.2069444E-01	 1.2069444E+00	 2.6355960E+02	 2.7355960E+00	 2.1166827E-01	 2.1969941E-03	 1.2026700E-03	 1.2483018E-05	 4.0700000E+02
 5.0703704E+00	 7.6216497E-01	 1.4348756E-01	 1.4888732E-03	 5.8089544E-01	 3.3743952E-01	 7.0437752E-04	 7.3088483E-06	 4.0916969E-04	 4.2456766E-06	 7.6216497E-01	 7.6216497E+00	 8.2438652E+00	 8.2438652E-01	 1.2130232E-01	 1.2130232E+00	 2.6572956E+02	 2.7572956E+00	 2.1341100E-01	 2.2144214E-03	 1.2125719E-03	 1.2582037E-05	 4.3300000E+02
 5.0957958E+00	 7.6598434E-01	 1.4516016E-01	 1.5055992E-03	 5.8673201E-01	 3.4425445E-01	 7.1974802E-04	 7.4652166E-06	 4.2229921E-04	 4.3800816E-06	 7.6598434E-01	 7.6598434E+00	 8.2027595E+00	 8.2027595E-01	 1.2191019E-01	 1.2191019E+00	 2.6882710E+02	 2.7882710E+00	 2.1589868E-01	 2.2392981E-03	 1.2267066E-03	 1.2723384E-05	 4.2300000E+02
 5.1212212E+00	 7.6980368E-01	 1.4650374E-01	 1.5190350E-03	 5.9259770E-01	 3.5117203E-01	 7.3367199E-04	 7.6071330E-06	 4.3477233E-04	 4.5079695E-06	 7.6980368E-01	 7.6980368E+00	 8.1620620E+00	 8.1620620E-01	 1.2251806E-01	 1.2251806E+00	 2.7131533E+02	 2.8131533E+00	 2.1789701E-01	 2.2592815E-03	 1.2380608E-03	 1.2836926E-05	 4.3100000E+02
 5.1466466E+00	 7.7362297E-01	 1.4804170E-01	 1.5344146E-03	 5.9849250E-01	 3.5819327E-01	 7.4874861E-04	 7.7605890E-06	 4.4812043E-04	 4.6446543E-06	 7.7362297E-01	 7.7362297E+00	 8.1217667E+00	 8.1217667E-01	 1.2312592E-01	 1.2312592E+00	 2.7416353E+02	 2.8416353E+00	 2.2018443E-01	 2.2821557E-03	 1.2510576E-03	 1.2966894E-05	 4.2800000E+02
 5.1720721E+00	 7.7744223E-01	 1.4976956E-01	 1.5516932E-03	 6.0441642E-01	 3.6531921E-01	 7.6498525E-04	 7.9256586E-06	 4.6236965E-04	 4.7903982E-06	 7.7744223E-01	 7.7744223E+00	 8.0818678E+00	 8.0818678E-01	 1.2373377E-01	 1.2373377E+00	 2.7736341E+02	 2.8736341E+00	 2.2275430E-01	 2.3078544E-03	 1.2656593E-03	 1.3112911E-05	 4.2600000E+02
 5.1974975E+00	 7.8126145E-01	 1.5114957E-01	 1.5654933E-03	 6.1036945E-01	 3.7255086E-01	 7.7963795E-04	 8.0749021E-06	 4.7586718E-04	 4.9286735E-06	 7.8126145E-01	 7.8126145E+00	 8.0423594E+00	 8.0423594E-01	 1.2434162E-01	 1.2434162E+00	 2.7991910E+02	 2.8991910E+00	 2.2480681E-01	 2.3283795E-03	 1.2773214E-03	 1.3229532E-05	 4.4300000E+02
