# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0066.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Jul 14 17:19:43 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837183.175
# Rayonix Save date/time stamp	07/14 17:19:40.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 124274 108557 0 -4.61772 -48.0644 135 0 3.9397 0 102.468 186.696 47.7581 24.302 90.219 635.57 627.2 1528 105.607 105.406 105.604 25.7275 1422.62 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0066.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1242.74000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	217114.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2532086E-01	 1.3077427E-03	 4.8081751E-01	 2.3118548E-01	 5.0920997E-04	 5.3136854E-06	 2.4483707E-04	 2.5549130E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.2980271E+02	 2.3980271E+00	 1.8500191E-01	 1.9305237E-03	 1.0590504E-03	 1.1051356E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2637647E-01	 1.3182988E-03	 4.8612978E-01	 2.3632216E-01	 5.1917252E-04	 5.4157591E-06	 2.5238523E-04	 2.6327618E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3173839E+02	 2.4173839E+00	 1.8656022E-01	 1.9461069E-03	 1.0679710E-03	 1.1140562E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2700344E-01	 1.3245685E-03	 4.9147119E-01	 2.4154393E-01	 5.2748100E-04	 5.5013055E-06	 2.5924171E-04	 2.7037332E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3288809E+02	 2.4288809E+00	 1.8748578E-01	 1.9553625E-03	 1.0732694E-03	 1.1193546E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2750649E-01	 1.3295990E-03	 4.9684173E-01	 2.4685171E-01	 5.3535715E-04	 5.5825420E-06	 2.6598777E-04	 2.7736398E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3381053E+02	 2.4381053E+00	 1.8822839E-01	 1.9627885E-03	 1.0775205E-03	 1.1236057E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2814753E-01	 1.3360094E-03	 5.0224141E-01	 2.5224643E-01	 5.4389618E-04	 5.6704207E-06	 2.7316718E-04	 2.8479201E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3498601E+02	 2.4498601E+00	 1.8917471E-01	 1.9722517E-03	 1.0829377E-03	 1.1290229E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2911241E-01	 1.3456582E-03	 5.0767022E-01	 2.5772905E-01	 5.5391477E-04	 5.7731085E-06	 2.8120603E-04	 2.9308353E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.3675534E+02	 2.4675534E+00	 1.9059910E-01	 1.9864956E-03	 1.0910917E-03	 1.1371769E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.3033828E-01	 1.3579169E-03	 5.1312816E-01	 2.6330051E-01	 5.6518563E-04	 5.8883324E-06	 2.9001266E-04	 3.0214692E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.3900323E+02	 2.4900323E+00	 1.9240876E-01	 2.0045923E-03	 1.1014512E-03	 1.1475364E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3123010E-01	 1.3668352E-03	 5.1861524E-01	 2.6896177E-01	 5.7513793E-04	 5.9903842E-06	 2.9827530E-04	 3.1067045E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.4063858E+02	 2.5063858E+00	 1.9372529E-01	 2.0177576E-03	 1.1089877E-03	 1.1550729E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3213288E-01	 1.3758629E-03	 5.2413144E-01	 2.7471377E-01	 5.8525398E-04	 6.0940868E-06	 3.0675001E-04	 3.1941025E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4229401E+02	 2.5229401E+00	 1.9505799E-01	 2.0310845E-03	 1.1166168E-03	 1.1627020E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3310893E-01	 1.3856234E-03	 5.2967678E-01	 2.8055749E-01	 5.9581495E-04	 6.2022521E-06	 3.1558934E-04	 3.2851889E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4408381E+02	 2.5408381E+00	 1.9649886E-01	 2.0454933E-03	 1.1248651E-03	 1.1709503E-05	 3.9600000E+02
