# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0131.txt
# SPEC date/time stamp	Thu Jul 14 17:25:08 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837508.468
# Rayonix Save date/time stamp	07/14 17:25:07.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 122947 108307 0 -4.61772 -48.0644 135 0 3.9397 0 101.912 186.066 47.7815 24.289 90.02 635.54 627.164 1527.93 105.82 105.702 105.764 25.9662 1422.65 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0131.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1229.47000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216614.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2555321E-01	 1.3101922E-03	 4.8081751E-01	 2.3118548E-01	 5.1015408E-04	 5.3236383E-06	 2.4529101E-04	 2.5596985E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.2969827E+02	 2.3969827E+00	 1.8691463E-01	 1.9505203E-03	 1.0610139E-03	 1.1072056E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2693831E-01	 1.3240432E-03	 4.8612978E-01	 2.3632216E-01	 5.2148066E-04	 5.4393579E-06	 2.5350728E-04	 2.6442339E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3223229E+02	 2.4223229E+00	 1.8897667E-01	 1.9711407E-03	 1.0727190E-03	 1.1189106E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2697415E-01	 1.3244016E-03	 4.9147119E-01	 2.4154393E-01	 5.2735934E-04	 5.5006120E-06	 2.5918192E-04	 2.7033923E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3229786E+02	 2.4229786E+00	 1.8903002E-01	 1.9716742E-03	 1.0730219E-03	 1.1192135E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2739552E-01	 1.3286152E-03	 4.9684173E-01	 2.4685171E-01	 5.3489123E-04	 5.5784117E-06	 2.6575629E-04	 2.7715877E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3306875E+02	 2.4306875E+00	 1.8965733E-01	 1.9779473E-03	 1.0765827E-03	 1.1227744E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2814094E-01	 1.3360695E-03	 5.0224141E-01	 2.5224643E-01	 5.4386822E-04	 5.6706758E-06	 2.7315314E-04	 2.8480482E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3443249E+02	 2.4443249E+00	 1.9076706E-01	 1.9890446E-03	 1.0828821E-03	 1.1290737E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2868548E-01	 1.3415149E-03	 5.0767022E-01	 2.5772905E-01	 5.5208316E-04	 5.7553328E-06	 2.8027618E-04	 2.9218111E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.3542872E+02	 2.4542872E+00	 1.9157773E-01	 1.9971513E-03	 1.0874838E-03	 1.1336755E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.2980316E-01	 1.3526916E-03	 5.1312816E-01	 2.6330051E-01	 5.6286516E-04	 5.8656739E-06	 2.8882196E-04	 3.0098425E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.3747350E+02	 2.4747350E+00	 1.9324165E-01	 2.0137904E-03	 1.0969290E-03	 1.1431206E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3069464E-01	 1.3616065E-03	 5.1861524E-01	 2.6896177E-01	 5.7279117E-04	 5.9674686E-06	 2.9705823E-04	 3.0948201E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.3910446E+02	 2.4910446E+00	 1.9456882E-01	 2.0270622E-03	 1.1044627E-03	 1.1506543E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3174025E-01	 1.3720626E-03	 5.2413144E-01	 2.7471377E-01	 5.8351493E-04	 6.0772542E-06	 3.0583853E-04	 3.1852800E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4101740E+02	 2.5101740E+00	 1.9612546E-01	 2.0426286E-03	 1.1132988E-03	 1.1594905E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3316488E-01	 1.3863089E-03	 5.2967678E-01	 2.8055749E-01	 5.9606538E-04	 6.2053202E-06	 3.1572199E-04	 3.2868140E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4362374E+02	 2.5362374E+00	 1.9824634E-01	 2.0638374E-03	 1.1253379E-03	 1.1715296E-05	 3.9600000E+02
