# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0220.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Jul 14 17:32:40 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837960.411
# Rayonix Save date/time stamp	07/14 17:32:37.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 122620 108317 0 -4.61772 -48.0644 135 0 3.9397 0 101.679 184.328 49.1487 24.293 90.104 635.535 627.166 1527.95 105.837 105.557 105.704 26.1908 1422.69 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0220.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1226.20000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216634.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2591004E-01	 1.3137554E-03	 4.8081751E-01	 2.3118548E-01	 5.1160395E-04	 5.3381164E-06	 2.4598814E-04	 2.5666599E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3037236E+02	 2.4037236E+00	 1.8796332E-01	 1.9612243E-03	 1.0640294E-03	 1.1102167E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2729509E-01	 1.3276059E-03	 4.8612978E-01	 2.3632216E-01	 5.2294636E-04	 5.4539942E-06	 2.5421980E-04	 2.6513490E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3290654E+02	 2.4290654E+00	 1.9003098E-01	 1.9819009E-03	 1.0757341E-03	 1.1219214E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2779943E-01	 1.3326493E-03	 4.9147119E-01	 2.4154393E-01	 5.3078694E-04	 5.5348670E-06	 2.6086649E-04	 2.7202277E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3382930E+02	 2.4382930E+00	 1.9078388E-01	 1.9894298E-03	 1.0799960E-03	 1.1261834E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2764317E-01	 1.3310867E-03	 4.9684173E-01	 2.4685171E-01	 5.3593105E-04	 5.5887886E-06	 2.6627291E-04	 2.7767434E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3354340E+02	 2.4354340E+00	 1.9055061E-01	 1.9870972E-03	 1.0786756E-03	 1.1248630E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2795118E-01	 1.3341669E-03	 5.0224141E-01	 2.5224643E-01	 5.4306285E-04	 5.6626006E-06	 2.7274865E-04	 2.8439925E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3410696E+02	 2.4410696E+00	 1.9101043E-01	 1.9916954E-03	 1.0812785E-03	 1.1274659E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2871561E-01	 1.3418111E-03	 5.0767022E-01	 2.5772905E-01	 5.5221242E-04	 5.7566037E-06	 2.8034180E-04	 2.9224563E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.3550560E+02	 2.4550560E+00	 1.9215159E-01	 2.0031070E-03	 1.0877385E-03	 1.1339258E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.2955417E-01	 1.3501967E-03	 5.1312816E-01	 2.6330051E-01	 5.6178550E-04	 5.8548554E-06	 2.8826796E-04	 3.0042912E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.3703989E+02	 2.4703989E+00	 1.9340343E-01	 2.0156254E-03	 1.0948249E-03	 1.1410123E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3079331E-01	 1.3625881E-03	 5.1861524E-01	 2.6896177E-01	 5.7322362E-04	 5.9717709E-06	 2.9728250E-04	 3.0970514E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.3930709E+02	 2.4930709E+00	 1.9525326E-01	 2.0341237E-03	 1.1052965E-03	 1.1514839E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3210447E-01	 1.3756997E-03	 5.2413144E-01	 2.7471377E-01	 5.8512813E-04	 6.0933639E-06	 3.0668405E-04	 3.1937236E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4170605E+02	 2.5170605E+00	 1.9721060E-01	 2.0536971E-03	 1.1163767E-03	 1.1625641E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3281954E-01	 1.3828504E-03	 5.2967678E-01	 2.8055749E-01	 5.9451959E-04	 6.1898397E-06	 3.1490322E-04	 3.2786144E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4301439E+02	 2.5301439E+00	 1.9827809E-01	 2.0643720E-03	 1.1224196E-03	 1.1686070E-05	 3.9600000E+02
