# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0363.txt
# SPEC date/time stamp	Thu Jul 14 17:44:41 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657838681.843
# Rayonix Save date/time stamp	07/14 17:44:40.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 124529 110101 0 -4.61772 -48.0644 135 0 3.9397 0 101.638 185.117 46.9302 24.282 90 635.545 627.17 1527.96 105.771 105.638 105.739 26.4086 1422.75 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0363.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1245.29000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	220202.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2677778E-01	 1.3215467E-03	 4.8081751E-01	 2.3118548E-01	 5.1512979E-04	 5.3697745E-06	 2.4768342E-04	 2.5818816E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3578265E+02	 2.4578265E+00	 1.8942717E-01	 1.9746114E-03	 1.0713624E-03	 1.1168009E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2741331E-01	 1.3279020E-03	 4.8612978E-01	 2.3632216E-01	 5.2343200E-04	 5.4552104E-06	 2.5445589E-04	 2.6519402E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3696461E+02	 2.4696461E+00	 1.9037675E-01	 1.9841073E-03	 1.0767331E-03	 1.1221716E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2747089E-01	 1.3284778E-03	 4.9147119E-01	 2.4154393E-01	 5.2942242E-04	 5.5175417E-06	 2.6019587E-04	 2.7117128E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3707170E+02	 2.4707170E+00	 1.9046279E-01	 1.9849676E-03	 1.0772197E-03	 1.1226582E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2772159E-01	 1.3309848E-03	 4.9684173E-01	 2.4685171E-01	 5.3626031E-04	 5.5883608E-06	 2.6643650E-04	 2.7765308E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3753797E+02	 2.4753797E+00	 1.9083739E-01	 1.9887136E-03	 1.0793383E-03	 1.1247769E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2833213E-01	 1.3370902E-03	 5.0224141E-01	 2.5224643E-01	 5.4467969E-04	 5.6750082E-06	 2.7356070E-04	 2.8502241E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3867345E+02	 2.4867345E+00	 1.9174963E-01	 1.9978361E-03	 1.0844978E-03	 1.1299363E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2915323E-01	 1.3453012E-03	 5.0767022E-01	 2.5772905E-01	 5.5408989E-04	 5.7715769E-06	 2.8129493E-04	 2.9300577E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.4020054E+02	 2.5020054E+00	 1.9297649E-01	 2.0101047E-03	 1.0914367E-03	 1.1368752E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.2910588E-01	 1.3448277E-03	 5.1312816E-01	 2.6330051E-01	 5.5984154E-04	 5.8315735E-06	 2.8727046E-04	 2.9923446E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.4011247E+02	 2.5011247E+00	 1.9290574E-01	 2.0093971E-03	 1.0910365E-03	 1.1364750E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3068311E-01	 1.3606000E-03	 5.1861524E-01	 2.6896177E-01	 5.7274062E-04	 5.9630575E-06	 2.9703202E-04	 3.0925325E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.4304582E+02	 2.5304582E+00	 1.9526238E-01	 2.0329636E-03	 1.1043652E-03	 1.1498038E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3230029E-01	 1.3767718E-03	 5.2413144E-01	 2.7471377E-01	 5.8599550E-04	 6.0981128E-06	 3.0713867E-04	 3.1962127E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4605348E+02	 2.5605348E+00	 1.9767873E-01	 2.0571270E-03	 1.1180316E-03	 1.1634701E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3346932E-01	 1.3884622E-03	 5.2967678E-01	 2.8055749E-01	 5.9742812E-04	 6.2149587E-06	 3.1644380E-04	 3.2919193E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4822766E+02	 2.5822766E+00	 1.9942546E-01	 2.0745943E-03	 1.1279107E-03	 1.1733493E-05	 3.9600000E+02
