# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs102_216_0436.txt
# SPEC date/time stamp	Thu Jul 14 17:50:49 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657839049.948
# Rayonix Save date/time stamp	07/14 17:50:47.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123912 109093 0 -4.61772 -48.0644 135 0 3.9397 0 103.275 185 46.3651 24.279 90.188 635.518 627.155 1527.93 105.863 105.551 105.721 26.4426 1422.79 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/3-17-3-try2/3-17-3-try2_hs102_216_0436.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1239.12000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	218186.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	199.73
# X-coordinate location of direct beam (mm)	85.01200
# Y-coordinate location of direct beam (mm)	86.44900
# X-coordinate location of direct beam (pix)	959.50
# Y-coordinate location of direct beam (pix)	975.72
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	11.833
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	999
# Width of 2-theta integrated bins (degrees)	0.02543
# Width on detector at 2-theta=0 (mm)	0.08863
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6127127E+00	 6.9341006E-01	 1.2618649E-01	 1.3161309E-03	 4.8081751E-01	 2.3118548E-01	 5.1272724E-04	 5.3477688E-06	 2.4652823E-04	 2.5713009E-06	 6.9341006E-01	 6.9341006E+00	 9.0612837E+00	 9.0612837E-01	 1.1035964E-01	 1.1035964E+00	 2.3253317E+02	 2.4253317E+00	 1.8774720E-01	 1.9582120E-03	 1.0663656E-03	 1.1122242E-05	 3.8000000E+02
 4.6381381E+00	 6.9723008E-01	 1.2702432E-01	 1.3245092E-03	 4.8612978E-01	 2.3632216E-01	 5.2183401E-04	 5.4412726E-06	 2.5367905E-04	 2.6451647E-06	 6.9723008E-01	 6.9723008E+00	 9.0116383E+00	 9.0116383E-01	 1.1096761E-01	 1.1096761E+00	 2.3407711E+02	 2.4407711E+00	 1.8899378E-01	 1.9706778E-03	 1.0734459E-03	 1.1193045E-05	 3.8900000E+02
 4.6635636E+00	 7.0105006E-01	 1.2741332E-01	 1.3283993E-03	 4.9147119E-01	 2.4154393E-01	 5.2918335E-04	 5.5172155E-06	 2.6007837E-04	 2.7115525E-06	 7.0105006E-01	 7.0105006E+00	 8.9625344E+00	 8.9625344E-01	 1.1157558E-01	 1.1157558E+00	 2.3479395E+02	 2.4479395E+00	 1.8957256E-01	 1.9764655E-03	 1.0767332E-03	 1.1225919E-05	 3.9100000E+02
 4.6889890E+00	 7.0487001E-01	 1.2802267E-01	 1.3344927E-03	 4.9684173E-01	 2.4685171E-01	 5.3752443E-04	 5.6030892E-06	 2.6706457E-04	 2.7838485E-06	 7.0487001E-01	 7.0487001E+00	 8.9139632E+00	 8.9139632E-01	 1.1218355E-01	 1.1218355E+00	 2.3591684E+02	 2.4591684E+00	 1.9047917E-01	 1.9855317E-03	 1.0818826E-03	 1.1277413E-05	 3.7700000E+02
 4.7144144E+00	 7.0868992E-01	 1.2843111E-01	 1.3385771E-03	 5.0224141E-01	 2.5224643E-01	 5.4509980E-04	 5.6813191E-06	 2.7377169E-04	 2.8533937E-06	 7.0868992E-01	 7.0868992E+00	 8.8659160E+00	 8.8659160E-01	 1.1279150E-01	 1.1279150E+00	 2.3666950E+02	 2.4666950E+00	 1.9108688E-01	 1.9916087E-03	 1.0853342E-03	 1.1311929E-05	 4.0600000E+02
 4.7398398E+00	 7.1250980E-01	 1.2893213E-01	 1.3435873E-03	 5.0767022E-01	 2.5772905E-01	 5.5314132E-04	 5.7642239E-06	 2.8081338E-04	 2.9263248E-06	 7.1250980E-01	 7.1250980E+00	 8.8183844E+00	 8.8183844E-01	 1.1339946E-01	 1.1339946E+00	 2.3759276E+02	 2.4759276E+00	 1.9183232E-01	 1.9990631E-03	 1.0895682E-03	 1.1354268E-05	 3.8500000E+02
 4.7652653E+00	 7.1632965E-01	 1.3051811E-01	 1.3594471E-03	 5.1312816E-01	 2.6330051E-01	 5.6596539E-04	 5.8949675E-06	 2.9041278E-04	 3.0248739E-06	 7.1632965E-01	 7.1632965E+00	 8.7713601E+00	 8.7713601E-01	 1.1400740E-01	 1.1400740E+00	 2.4051536E+02	 2.5051536E+00	 1.9419202E-01	 2.0226602E-03	 1.1029708E-03	 1.1488295E-05	 3.9900000E+02
 4.7906907E+00	 7.2014946E-01	 1.3142695E-01	 1.3685355E-03	 5.1861524E-01	 2.6896177E-01	 5.7600064E-04	 5.9978363E-06	 2.9872271E-04	 3.1105693E-06	 7.2014946E-01	 7.2014946E+00	 8.7248352E+00	 8.7248352E-01	 1.1461535E-01	 1.1461535E+00	 2.4219016E+02	 2.5219016E+00	 1.9554425E-01	 2.0361825E-03	 1.1106512E-03	 1.1565098E-05	 4.0200000E+02
 4.8161161E+00	 7.2396923E-01	 1.3222513E-01	 1.3765173E-03	 5.2413144E-01	 2.7471377E-01	 5.8566257E-04	 6.0969853E-06	 3.0696417E-04	 3.1956217E-06	 7.2396923E-01	 7.2396923E+00	 8.6788016E+00	 8.6788016E-01	 1.1522328E-01	 1.1522328E+00	 2.4366102E+02	 2.5366102E+00	 1.9673182E-01	 2.0480582E-03	 1.1173964E-03	 1.1632550E-05	 4.0500000E+02
 4.8415415E+00	 7.2778897E-01	 1.3286332E-01	 1.3828992E-03	 5.2967678E-01	 2.8055749E-01	 5.9471556E-04	 6.1900582E-06	 3.1500703E-04	 3.2787301E-06	 7.2778897E-01	 7.2778897E+00	 8.6332517E+00	 8.6332517E-01	 1.1583121E-01	 1.1583121E+00	 2.4483707E+02	 2.5483707E+00	 1.9768136E-01	 2.0575536E-03	 1.1227896E-03	 1.1686482E-05	 3.9600000E+02
