# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs103_216_0021.txt
# SPEC date/time stamp	Thu Jul 14 17:15:54 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836954.070
# Rayonix Save date/time stamp	07/14 17:15:53.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 122917 108222 0 -4.61772 -48.0644 135 0 3.9397 0 102.103 184.857 48.5328 24.292 90.743 635.582 627.22 1528.03 106.209 105.765 105.949 25.6212 1422.6 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2/3-17-3-try2_hs103_216_0021.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1229.17000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216444.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3288244E-01	 1.4124162E-03	 1.7709251E-02	 3.1361756E-04	 1.3013945E-05	 1.3832608E-07	 2.3046722E-07	 2.4496512E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.5896601E+02	 1.6896601E+00	 1.2938856E-01	 1.3752794E-03	 7.3486708E-04	 7.8109502E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3272535E-01	 1.4108452E-03	 1.8113372E-02	 3.2809425E-04	 1.3295184E-05	 1.4132528E-07	 2.4082062E-07	 2.5598775E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.5877807E+02	 1.6877807E+00	 1.2923559E-01	 1.3737498E-03	 7.3399830E-04	 7.8022624E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.3501839E-01	 1.4337756E-03	 1.8522053E-02	 3.4306643E-04	 1.3830033E-05	 1.4686269E-07	 2.5616060E-07	 2.7201985E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6152122E+02	 1.7152122E+00	 1.3146834E-01	 1.3960773E-03	 7.4667930E-04	 7.9290723E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.3738945E-01	 1.4574862E-03	 1.8935292E-02	 3.5854527E-04	 1.4386878E-05	 1.5262218E-07	 2.7241973E-07	 2.8899454E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6435769E+02	 1.7435769E+00	 1.3377706E-01	 1.4191645E-03	 7.5979174E-04	 8.0601968E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.3829569E-01	 1.4665486E-03	 1.9353090E-02	 3.7454208E-04	 1.4801309E-05	 1.5695963E-07	 2.8645106E-07	 3.0376537E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6544182E+02	 1.7544182E+00	 1.3465947E-01	 1.4279886E-03	 7.6480342E-04	 8.1103136E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.3975770E-01	 1.4811687E-03	 1.9775446E-02	 3.9106828E-04	 1.5284218E-05	 1.6198396E-07	 3.0225223E-07	 3.2033051E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.6719081E+02	 1.7719081E+00	 1.3608304E-01	 1.4422243E-03	 7.7288865E-04	 8.1911659E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.3999939E-01	 1.4835856E-03	 2.0202362E-02	 4.0813542E-04	 1.5641179E-05	 1.6575092E-07	 3.1598875E-07	 3.3485601E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.6747994E+02	 1.7747994E+00	 1.3631838E-01	 1.4445776E-03	 7.7422525E-04	 8.2045319E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.3865989E-01	 1.4701906E-03	 2.0633836E-02	 4.2575519E-04	 1.5822388E-05	 1.6776247E-07	 3.2647655E-07	 3.4615834E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6587751E+02	 1.7587751E+00	 1.3501410E-01	 1.4315348E-03	 7.6681755E-04	 8.1304549E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.3836414E-01	 1.4672332E-03	 2.1069869E-02	 4.4393938E-04	 1.6122284E-05	 1.7096301E-07	 3.3969442E-07	 3.6021682E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.6552371E+02	 1.7552371E+00	 1.3472613E-01	 1.4286551E-03	 7.6518200E-04	 8.1140993E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.4163825E-01	 1.4999742E-03	 2.1510461E-02	 4.6269992E-04	 1.6848896E-05	 1.7843280E-07	 3.6242751E-07	 3.8381717E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.6944049E+02	 1.7944049E+00	 1.3791414E-01	 1.4605353E-03	 7.8328846E-04	 8.2951640E-06	 2.1200000E+02
 9.8543299E-01	 1.4817426E-01	 1.4123294E-01	 1.4959211E-03	 2.1955611E-02	 4.8204887E-04	 1.7148365E-05	 1.8163328E-07	 3.7650283E-07	 3.9878696E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 1.6895562E+02	 1.7895562E+00	 1.3751949E-01	 1.4565888E-03	 7.8104702E-04	 8.2727496E-06	 1.9900000E+02
 9.9547423E-01	 1.4968407E-01	 1.4352274E-01	 1.5188191E-03	 2.2405321E-02	 5.0199839E-04	 1.7783329E-05	 1.8819081E-07	 3.9844119E-07	 4.2164754E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 1.7169489E+02	 1.8169489E+00	 1.3974909E-01	 1.4788847E-03	 7.9371010E-04	 8.3993804E-06	 2.1300000E+02
 1.0055155E+00	 1.5119388E-01	 1.4109362E-01	 1.4945279E-03	 2.2859588E-02	 5.2256078E-04	 1.7836801E-05	 1.8893553E-07	 4.0774193E-07	 4.3189884E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 1.6878896E+02	 1.7878896E+00	 1.3738384E-01	 1.4552322E-03	 7.8027657E-04	 8.2650451E-06	 2.0700000E+02
 1.0155567E+00	 1.5270368E-01	 1.4131548E-01	 1.4967466E-03	 2.3318415E-02	 5.4374848E-04	 1.8223423E-05	 1.9301386E-07	 4.2494135E-07	 4.5007772E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 1.6905437E+02	 1.7905437E+00	 1.3759987E-01	 1.4573925E-03	 7.8150352E-04	 8.2773146E-06	 2.1100000E+02
 1.0255979E+00	 1.5421349E-01	 1.4063706E-01	 1.4899623E-03	 2.3781800E-02	 5.6557402E-04	 1.8496336E-05	 1.9595719E-07	 4.3987616E-07	 4.6602148E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 1.6824278E+02	 1.7824278E+00	 1.3693928E-01	 1.4507867E-03	 7.7775171E-04	 8.2397964E-06	 2.1800000E+02
