# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs103_216_0026.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Jul 14 17:16:21 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836981.270
# Rayonix Save date/time stamp	07/14 17:16:18.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123040 108251 0 -4.61772 -48.0644 135 0 3.9397 0 101.639 186.99 49.8786 24.298 90.513 635.576 627.214 1528.01 105.969 105.709 105.695 25.6524 1422.61 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2/3-17-3-try2_hs103_216_0026.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1230.40000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216502.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3473408E-01	 1.4309102E-03	 1.7709251E-02	 3.1361756E-04	 1.3195287E-05	 1.4013730E-07	 2.3367865E-07	 2.4817266E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.6122432E+02	 1.7122432E+00	 1.3109544E-01	 1.3922669E-03	 7.4510704E-04	 7.9132258E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3401299E-01	 1.4236992E-03	 1.8113372E-02	 3.2809425E-04	 1.3424168E-05	 1.4261288E-07	 2.4315696E-07	 2.5832001E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.6036145E+02	 1.7036145E+00	 1.3039382E-01	 1.3852506E-03	 7.4111922E-04	 7.8733476E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.3544210E-01	 1.4379903E-03	 1.8522053E-02	 3.4306643E-04	 1.3873434E-05	 1.4729441E-07	 2.5696447E-07	 2.7281947E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6207154E+02	 1.7207154E+00	 1.3178434E-01	 1.3991558E-03	 7.4902249E-04	 7.9523803E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.3527587E-01	 1.4363280E-03	 1.8935292E-02	 3.5854527E-04	 1.4165552E-05	 1.5040657E-07	 2.6822886E-07	 2.8479923E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6187262E+02	 1.7187262E+00	 1.3162259E-01	 1.3975384E-03	 7.4810320E-04	 7.9431875E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.3645526E-01	 1.4481220E-03	 1.9353090E-02	 3.7454208E-04	 1.4604335E-05	 1.5498749E-07	 2.8263900E-07	 2.9994867E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6328390E+02	 1.7328390E+00	 1.3277014E-01	 1.4090138E-03	 7.5462550E-04	 8.0084105E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.3800816E-01	 1.4636509E-03	 1.9775446E-02	 3.9106828E-04	 1.5092884E-05	 1.6006817E-07	 2.9846852E-07	 3.1654196E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.6514212E+02	 1.7514212E+00	 1.3428110E-01	 1.4241234E-03	 7.6321333E-04	 8.0942888E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.3742381E-01	 1.4578074E-03	 2.0202362E-02	 4.0813542E-04	 1.5353426E-05	 1.6287090E-07	 3.1017547E-07	 3.2903768E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.6444288E+02	 1.7444288E+00	 1.3371253E-01	 1.4184377E-03	 7.5998175E-04	 8.0619730E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.3902244E-01	 1.4737937E-03	 2.0633836E-02	 4.2575519E-04	 1.5863758E-05	 1.6817362E-07	 3.2733017E-07	 3.4700668E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6635582E+02	 1.7635582E+00	 1.3526799E-01	 1.4339923E-03	 7.6882251E-04	 8.1503806E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.3861014E-01	 1.4696707E-03	 2.1069869E-02	 4.4393938E-04	 1.6150948E-05	 1.7124704E-07	 3.4029837E-07	 3.6081527E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.6586245E+02	 1.7586245E+00	 1.3486682E-01	 1.4299807E-03	 7.6654241E-04	 8.1275796E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.3830241E-01	 1.4665934E-03	 2.1510461E-02	 4.6269992E-04	 1.6452073E-05	 1.7446191E-07	 3.5389168E-07	 3.7527561E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.6549422E+02	 1.7549422E+00	 1.3456740E-01	 1.4269864E-03	 7.6484058E-04	 8.1105613E-06	 2.1200000E+02
 9.8543299E-01	 1.4817426E-01	 1.3840042E-01	 1.4675735E-03	 2.1955611E-02	 4.8204887E-04	 1.6804444E-05	 1.7819134E-07	 3.6895183E-07	 3.9122998E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 1.6561150E+02	 1.7561150E+00	 1.3466277E-01	 1.4279401E-03	 7.6538263E-04	 8.1159818E-06	 1.9900000E+02
 9.9547423E-01	 1.4968407E-01	 1.3786954E-01	 1.4622648E-03	 2.2405321E-02	 5.0199839E-04	 1.7082864E-05	 1.8118338E-07	 3.8274705E-07	 4.0594718E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 1.6497625E+02	 1.7497625E+00	 1.3414623E-01	 1.4227747E-03	 7.6244677E-04	 8.0866231E-06	 2.1300000E+02
 1.0055155E+00	 1.5119388E-01	 1.3941539E-01	 1.4777233E-03	 2.2859588E-02	 5.2256078E-04	 1.7624643E-05	 1.8681111E-07	 4.0289208E-07	 4.2704251E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 1.6682603E+02	 1.7682603E+00	 1.3565033E-01	 1.4378157E-03	 7.7099563E-04	 8.1721117E-06	 2.0700000E+02
 1.0155567E+00	 1.5270368E-01	 1.4135690E-01	 1.4971383E-03	 2.3318415E-02	 5.4374848E-04	 1.8228764E-05	 1.9306438E-07	 4.2506589E-07	 4.5019552E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 1.6914926E+02	 1.7914926E+00	 1.3753940E-01	 1.4567065E-03	 7.8173256E-04	 8.2794811E-06	 2.1100000E+02
 1.0255979E+00	 1.5421349E-01	 1.4067607E-01	 1.4903300E-03	 2.3781800E-02	 5.6557402E-04	 1.8501466E-05	 1.9600555E-07	 4.3999817E-07	 4.6613648E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 1.6833457E+02	 1.7833457E+00	 1.3687696E-01	 1.4500820E-03	 7.7796743E-04	 8.2418297E-06	 2.1800000E+02
 1.0356392E+00	 1.5572329E-01	 1.3996751E-01	 1.4832444E-03	 2.4249744E-02	 5.8805009E-04	 1.8770488E-05	 1.9891204E-07	 4.5517954E-07	 4.8235660E-09	 1.5572329E-01	 1.5572329E+00	 4.0348397E+01	 4.0348397E+00	 2.4784132E-02	 2.4784132E-01	 1.6748669E+02	 1.7748669E+00	 1.3618753E-01	 1.4431878E-03	 7.7404892E-04	 8.2026447E-06	 2.1600000E+02
 1.0456804E+00	 1.5723310E-01	 1.4146298E-01	 1.4981991E-03	 2.4722247E-02	 6.1118948E-04	 1.9340688E-05	 2.0483240E-07	 4.7814526E-07	 5.0639172E-09	 1.5723310E-01	 1.5723310E+00	 3.9960959E+01	 3.9960959E+00	 2.5024425E-02	 2.5024425E-01	 1.6927619E+02	 1.7927619E+00	 1.3764262E-01	 1.4577386E-03	 7.8231919E-04	 8.2853474E-06	 2.1900000E+02
 1.0557216E+00	 1.5874290E-01	 1.4163466E-01	 1.4999159E-03	 2.5199308E-02	 6.3500512E-04	 1.9737828E-05	 2.0902427E-07	 4.9737960E-07	 5.2672670E-09	 1.5874290E-01	 1.5874290E+00	 3.9580891E+01	 3.9580891E+00	 2.5264717E-02	 2.5264717E-01	 1.6948163E+02	 1.7948163E+00	 1.3780966E-01	 1.4594091E-03	 7.8326864E-04	 8.2948419E-06	 2.1500000E+02
 1.0657629E+00	 1.6025270E-01	 1.4265652E-01	 1.5101346E-03	 2.5680928E-02	 6.5951005E-04	 2.0260191E-05	 2.1447049E-07	 5.2030050E-07	 5.5078011E-09	 1.6025270E-01	 1.6025270E+00	 3.9207984E+01	 3.9207984E+00	 2.5505009E-02	 2.5505009E-01	 1.7070440E+02	 1.8070440E+00	 1.3880393E-01	 1.4693517E-03	 7.8891974E-04	 8.3513529E-06	 2.2400000E+02
 1.0758041E+00	 1.6176250E-01	 1.4099806E-01	 1.4935500E-03	 2.6167106E-02	 6.8471744E-04	 2.0403752E-05	 2.1613079E-07	 5.3390714E-07	 5.6555173E-09	 1.6176250E-01	 1.6176250E+00	 3.8842039E+01	 3.8842039E+00	 2.5745301E-02	 2.5745301E-01	 1.6871987E+02	 1.7871987E+00	 1.3719026E-01	 1.4532150E-03	 7.7974813E-04	 8.2596367E-06	 2.2900000E+02
 1.0858454E+00	 1.6327230E-01	 1.4169506E-01	 1.5005200E-03	 2.6657843E-02	 7.1064060E-04	 2.0889157E-05	 2.2121164E-07	 5.5685987E-07	 5.8970252E-09	 1.6327230E-01	 1.6327230E+00	 3.8482862E+01	 3.8482862E+00	 2.5985593E-02	 2.5985593E-01	 1.6955391E+02	 1.7955391E+00	 1.3786843E-01	 1.4599968E-03	 7.8360268E-04	 8.2981823E-06	 2.2100000E+02
 1.0958866E+00	 1.6478209E-01	 1.4149585E-01	 1.4985279E-03	 2.7153139E-02	 7.3729294E-04	 2.1247358E-05	 2.2502255E-07	 5.7693246E-07	 6.1100686E-09	 1.6478209E-01	 1.6478209E+00	 3.8130267E+01	 3.8130267E+00	 2.6225885E-02	 2.6225885E-01	 1.6931553E+02	 1.7931553E+00	 1.3767460E-01	 1.4580585E-03	 7.8250100E-04	 8.2871655E-06	 2.3600000E+02
 1.1059278E+00	 1.6629189E-01	 1.4116540E-01	 1.4952233E-03	 2.7652993E-02	 7.6468800E-04	 2.1587959E-05	 2.2865957E-07	 5.9697167E-07	 6.3231215E-09	 1.6629189E-01	 1.6629189E+00	 3.7784075E+01	 3.7784075E+00	 2.6466176E-02	 2.6466176E-01	 1.6892011E+02	 1.7892011E+00	 1.3735307E-01	 1.4548432E-03	 7.8067351E-04	 8.2688906E-06	 2.2400000E+02
 1.1159691E+00	 1.6780168E-01	 1.4327885E-01	 1.5163578E-03	 2.8157405E-02	 7.9283947E-04	 2.2310839E-05	 2.3612149E-07	 6.2821533E-07	 6.6485684E-09	 1.6780168E-01	 1.6780168E+00	 3.7444113E+01	 3.7444113E+00	 2.6706468E-02	 2.6706468E-01	 1.7144908E+02	 1.8144908E+00	 1.3940945E-01	 1.4754069E-03	 7.9236132E-04	 8.3857687E-06	 2.4100000E+02
 1.1260103E+00	 1.6931148E-01	 1.4415815E-01	 1.5251508E-03	 2.8666376E-02	 8.2176114E-04	 2.2853524E-05	 2.4178357E-07	 6.5512773E-07	 6.9310587E-09	 1.6931148E-01	 1.6931148E+00	 3.7110215E+01	 3.7110215E+00	 2.6946759E-02	 2.6946759E-01	 1.7250126E+02	 1.8250126E+00	 1.4026500E-01	 1.4839624E-03	 7.9722403E-04	 8.4343958E-06	 2.3000000E+02
 1.1360515E+00	 1.7082127E-01	 1.4355767E-01	 1.5191461E-03	 2.9179906E-02	 8.5146692E-04	 2.3166024E-05	 2.4514589E-07	 6.7598239E-07	 7.1533340E-09	 1.7082127E-01	 1.7082127E+00	 3.6782219E+01	 3.6782219E+00	 2.7187049E-02	 2.7187049E-01	 1.7178273E+02	 1.8178273E+00	 1.3968074E-01	 1.4781199E-03	 7.9390329E-04	 8.4011884E-06	 2.3800000E+02
 1.1460928E+00	 1.7233106E-01	 1.4261665E-01	 1.5097359E-03	 2.9697994E-02	 8.8197087E-04	 2.3422786E-05	 2.4795295E-07	 6.9560977E-07	 7.3637054E-09	 1.7233106E-01	 1.7233106E+00	 3.6459970E+01	 3.6459970E+00	 2.7427340E-02	 2.7427340E-01	 1.7065670E+02	 1.8065670E+00	 1.3876514E-01	 1.4689638E-03	 7.8869926E-04	 8.3491481E-06	 2.3900000E+02
