# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs103_216_0035.txt
# SPEC date/time stamp	Thu Jul 14 17:17:05 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837025.354
# Rayonix Save date/time stamp	07/14 17:17:04.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123817 108758 0 -4.61772 -48.0644 135 0 3.9397 0 102.817 186.482 47.5769 24.298 90.254 635.572 627.208 1528 105.883 105.592 105.641 25.6523 1422.61 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2/3-17-3-try2_hs103_216_0035.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1238.17000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	217516.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3384990E-01	 1.4216785E-03	 1.7709251E-02	 3.1361756E-04	 1.3108694E-05	 1.3923319E-07	 2.3214515E-07	 2.4657155E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.6091688E+02	 1.7091688E+00	 1.3002396E-01	 1.3810416E-03	 7.4021730E-04	 7.8621728E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3560122E-01	 1.4391918E-03	 1.8113372E-02	 3.2809425E-04	 1.3583263E-05	 1.4416478E-07	 2.4603870E-07	 2.6113103E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.6302235E+02	 1.7302235E+00	 1.3172523E-01	 1.3980542E-03	 7.4990250E-04	 7.9590248E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.3524739E-01	 1.4356534E-03	 1.8522053E-02	 3.4306643E-04	 1.3853490E-05	 1.4705504E-07	 2.5659507E-07	 2.7237612E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6259697E+02	 1.7259697E+00	 1.3138151E-01	 1.3946170E-03	 7.4794572E-04	 7.9394570E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.3637818E-01	 1.4469613E-03	 1.8935292E-02	 3.5854527E-04	 1.4280982E-05	 1.5152005E-07	 2.7041456E-07	 2.8690763E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6395642E+02	 1.7395642E+00	 1.3247997E-01	 1.4056017E-03	 7.5419921E-04	 8.0019919E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.3732366E-01	 1.4564161E-03	 1.9353090E-02	 3.7454208E-04	 1.4697277E-05	 1.5587518E-07	 2.8443771E-07	 3.0166664E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6509310E+02	 1.7509310E+00	 1.3339843E-01	 1.4147863E-03	 7.5942792E-04	 8.0542790E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.3811800E-01	 1.4643595E-03	 1.9775446E-02	 3.9106828E-04	 1.5104897E-05	 1.6014567E-07	 2.9870607E-07	 3.1669520E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.6604807E+02	 1.7604807E+00	 1.3417006E-01	 1.4225026E-03	 7.6382077E-04	 8.0982075E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.3739871E-01	 1.4571667E-03	 2.0202362E-02	 4.0813542E-04	 1.5350623E-05	 1.6279931E-07	 3.1011884E-07	 3.2889306E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.6518333E+02	 1.7518333E+00	 1.3347134E-01	 1.4155154E-03	 7.5984299E-04	 8.0584297E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.3767979E-01	 1.4599775E-03	 2.0633836E-02	 4.2575519E-04	 1.5710549E-05	 1.6659705E-07	 3.2416890E-07	 3.4375363E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6552125E+02	 1.7552125E+00	 1.3374439E-01	 1.4182458E-03	 7.6139741E-04	 8.0739739E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.3810448E-01	 1.4642243E-03	 2.1069869E-02	 4.4393938E-04	 1.6092029E-05	 1.7061242E-07	 3.3905694E-07	 3.5947814E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.6603182E+02	 1.7603182E+00	 1.3415693E-01	 1.4223713E-03	 7.6374602E-04	 8.0974600E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.3942813E-01	 1.4774609E-03	 2.1510461E-02	 4.6269992E-04	 1.6585987E-05	 1.7575468E-07	 3.5677222E-07	 3.7805641E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.6762314E+02	 1.7762314E+00	 1.3544275E-01	 1.4352294E-03	 7.7106608E-04	 8.1706606E-06	 2.1200000E+02
 9.8543299E-01	 1.4817426E-01	 1.3955768E-01	 1.4787563E-03	 2.1955611E-02	 4.8204887E-04	 1.6944956E-05	 1.7954914E-07	 3.7203687E-07	 3.9421111E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 1.6777887E+02	 1.7777887E+00	 1.3556859E-01	 1.4364878E-03	 7.7178248E-04	 8.1778246E-06	 1.9900000E+02
 9.9547423E-01	 1.4968407E-01	 1.4068115E-01	 1.4899910E-03	 2.2405321E-02	 5.0199839E-04	 1.7431239E-05	 1.8461883E-07	 3.9055250E-07	 4.1364442E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 1.6912954E+02	 1.7912954E+00	 1.3665995E-01	 1.4474015E-03	 7.7799553E-04	 8.2399551E-06	 2.1300000E+02
 1.0055155E+00	 1.5119388E-01	 1.3867266E-01	 1.4699061E-03	 2.2859588E-02	 5.2256078E-04	 1.7530747E-05	 1.8582288E-07	 4.0074567E-07	 4.2478345E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 1.6671489E+02	 1.7671489E+00	 1.3470887E-01	 1.4278906E-03	 7.6688814E-04	 8.1288812E-06	 2.0700000E+02
 1.0155567E+00	 1.5270368E-01	 1.3985334E-01	 1.4817129E-03	 2.3318415E-02	 5.4374848E-04	 1.8034872E-05	 1.9107518E-07	 4.2054462E-07	 4.4555704E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 1.6813433E+02	 1.7813433E+00	 1.3585580E-01	 1.4393600E-03	 7.7341756E-04	 8.1941754E-06	 2.1100000E+02
 1.0255979E+00	 1.5421349E-01	 1.4171537E-01	 1.5003333E-03	 2.3781800E-02	 5.6557402E-04	 1.8638153E-05	 1.9732116E-07	 4.4324884E-07	 4.6926523E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 1.7037290E+02	 1.8037290E+00	 1.3766461E-01	 1.4574481E-03	 7.8371499E-04	 8.2971497E-06	 2.1800000E+02
